Experiment: Apr24_2022_tst_expt vial 8, Sun Apr 24 16:07:10 2022
0.0019,28838
0.0065,28789
0.0119,28731
0.0175,28734
0.0232,28801
0.0288,28897
0.0342,29003
0.0398,29150
0.0455,29151
0.0508,29148
0.0565,29143
0.0621,29136
0.0675,29125
0.0731,29106
0.0787,29109
0.0844,29112
0.0897,29127
0.0954,29119
0.101,29124
0.1063,29127
0.112,29143
0.1176,29154
0.1232,29172
0.1286,29168
0.1342,29161
0.1399,29155
0.1455,29152
0.1509,29145
0.1565,29131
0.1621,29115
0.1675,29107
0.1731,29096
0.1786,29083
0.1843,29077
0.1896,29050
0.1953,29056
0.2009,29053
0.2066,29030
0.2119,29028
0.2176,29015
0.2232,29038
0.2286,29046
0.2342,29059
0.2398,29065
0.2454,29060
0.2508,29079
0.2564,29090
0.2621,29085
0.2677,29075
0.2731,29035
0.2787,29019
0.2843,29036
0.2897,29033
0.2953,29038
0.3008,29045
0.3065,29050
0.3121,29054
0.3175,29057
0.3231,29051
0.3287,29044
0.3344,29050
0.3398,29052
0.3452,29049
0.3508,29033
0.3565,29012
0.3621,29011
0.3675,29009
0.373,28986
0.3787,28984
0.3843,28986
0.3899,28989
0.3953,28981
0.4009,28971
0.4066,28974
0.4119,28984
0.4176,28976
0.423,28978
0.4287,28979
0.4343,28983
0.4397,28993
0.4453,28991
0.4509,29030
0.4566,29044
0.4619,29041
0.4676,29026
0.4732,29019
0.4788,29014
0.4842,28989
0.4898,29027
0.4955,29022
0.5008,29021
0.5065,29029
0.5121,29033
0.5177,29043
0.5231,29049
0.5287,29048
0.5344,29054
0.5397,29053
0.5454,29054
0.551,29065
0.5564,29069
0.562,29071
0.5677,29078
0.573,29071
0.5787,29093
0.5843,29094
0.5899,29095
0.5953,29106
0.6009,29106
0.6066,29116
0.6119,29109
0.6176,29098
0.6232,29096
0.6288,29108
0.6342,29088
0.6398,29089
0.6455,29095
0.6508,29110
0.6565,29114
0.6621,29102
0.6675,29095
0.6732,29080
0.6789,29089
0.6843,29095
0.6897,29096
0.6953,29082
0.7009,29090
0.7064,29100
0.712,29092
0.7177,29095
0.723,29036
0.7287,29096
0.7342,29101
0.7398,29085
0.7452,29092
0.7508,29109
0.7564,29096
0.762,29100
0.7675,29094
0.7731,29106
0.7787,29112
0.7844,29133
0.7897,29141
0.7954,29140
0.801,29141
0.8064,29139
0.8121,29136
0.8176,29145
