Experiment: Apr24_2022_tst_expt vial 11, Sun Apr 24 16:07:10 2022
0.0019,1629
0.0065,1626
0.0119,1627
0.0175,1622
0.0232,1626
0.0288,1627
0.0342,1622
0.0398,1625
0.0455,1628
0.0508,1624
0.0565,1626
0.0621,1627
0.0675,1623
0.0731,1625
0.0787,1626
0.0844,1623
0.0897,1626
0.0954,1628
0.101,1623
0.1063,1622
0.112,1630
0.1176,1625
0.1232,1623
0.1286,1628
0.1342,1624
0.1399,1623
0.1455,1629
0.1509,1625
0.1565,1622
0.1621,1627
0.1675,1628
0.1731,1621
0.1786,1625
0.1843,1629
0.1896,1623
0.1953,1624
0.2009,1629
0.2066,1624
0.2119,1624
0.2176,1628
0.2232,1622
0.2286,1624
0.2342,1627
0.2398,1622
0.2454,1623
0.2508,1628
0.2564,1625
0.2621,1623
0.2677,1627
0.2731,1625
0.2787,1622
0.2843,1630
0.2897,1626
0.2953,1623
0.3008,1627
0.3065,1626
0.3121,1622
0.3175,1625
0.3231,1630
0.3287,1623
0.3344,1623
0.3398,1629
0.3452,1623
0.3508,1623
0.3565,1628
0.3621,1624
0.3675,1624
0.373,1627
0.3787,1623
0.3843,1624
0.3899,1626
0.3953,1624
0.4009,1623
0.4066,1628
0.4119,1624
0.4176,1624
0.423,1629
0.4287,1621
0.4343,1625
0.4397,1628
0.4453,1623
0.4509,1622
0.4566,1629
0.4619,1623
0.4676,1623
0.4732,1625
0.4788,1625
0.4842,1623
0.4898,1626
0.4955,1627
0.5008,1622
0.5065,1627
0.5121,1627
0.5177,1623
0.5231,1624
0.5287,1628
0.5344,1623
0.5397,1623
0.5454,1629
0.551,1624
0.5564,1624
0.562,1628
0.5677,1623
0.573,1624
0.5787,1627
0.5843,1624
0.5899,1624
0.5953,1628
0.6009,1625
0.6066,1621
0.6119,1626
0.6176,1628
0.6232,1622
0.6288,1626
0.6342,1627
0.6398,1622
0.6455,1627
0.6508,1628
0.6565,1621
0.6621,1624
0.6675,1626
0.6732,1624
0.6789,1624
0.6843,1628
0.6897,1622
0.6953,1622
0.7009,1628
0.7064,1624
0.712,1622
0.7177,1628
0.723,1631
0.7287,1632
0.7342,1626
0.7398,1622
0.7452,1626
0.7508,1629
0.7564,1623
0.762,1623
0.7675,1627
0.7731,1623
0.7787,1623
0.7844,1628
0.7897,1626
0.7954,1623
0.801,1629
0.8064,1626
0.8121,1620
0.8176,1626
