Experiment: Apr27_cal_tst_expt vial 7, Wed Apr 27 17:25:27 2022
0.004,28699
0.0091,28710
0.0148,28883
0.0201,28548
0.0258,28502
0.0314,28565
0.0368,28573
0.0424,28557
0.0481,28625
0.0534,28638
0.0591,28684
0.0647,28692
0.0704,28731
0.0757,28754
0.0813,28782
0.0869,28767
0.0926,28776
0.0979,28788
0.1035,28785
0.1092,28793
0.1145,28802
0.1202,28783
0.1258,28801
0.1314,28818
0.1368,29017
0.1424,28826
0.148,28833
0.1537,28831
0.159,28832
0.1647,28820
0.1703,28819
0.1756,28820
0.1813,28821
0.1869,28816
0.1925,28783
0.1979,28776
0.2035,28758
0.2091,28759
0.2148,28772
0.2201,28763
0.2257,28757
0.2314,28738
0.2368,28747
0.2424,28750
0.2481,28731
0.2537,28729
0.259,28729
0.2647,28738
0.2703,28726
0.2757,28723
0.2813,28709
0.2869,28723
0.2923,28711
0.2979,28717
0.3035,28702
0.3092,28693
0.3148,28696
0.3202,28691
0.3258,28702
0.3312,28688
0.3368,28696
0.3424,28704
0.3481,28703
0.3534,28724
0.3591,28714
0.3647,28723
0.3701,28729
0.3757,28714
0.3813,28713
0.387,28705
0.3923,28713
0.3979,28722
0.4036,28712
0.4092,28715
0.4146,28716
0.4202,28720
0.4258,28722
0.4314,28712
0.4368,28726
0.4424,28720
0.448,28723
0.4537,28730
0.459,28731
0.4647,28716
0.4703,28739
0.4757,28736
0.4813,28734
0.4869,28744
0.4926,28739
0.4979,28716
0.5036,28727
0.5092,28733
0.5146,28732
0.5202,28732
0.5259,28736
0.5312,28727
0.5369,28738
0.5426,28725
0.5479,28729
0.5536,28732
0.559,28731
0.5646,28730
0.5703,28728
0.5757,28737
0.5813,28740
0.587,28722
0.5924,28745
0.5981,28734
0.6037,28741
0.6091,28738
0.6148,28748
0.6201,28739
0.6257,28746
0.6314,28735
0.6368,28746
0.6424,28742
0.6481,28732
0.6535,28733
0.6591,28746
0.6648,28740
0.6701,28749
0.6758,28746
0.6814,28742
0.687,28743
0.6924,28739
0.698,28743
0.7037,28744
0.709,28743
0.7147,28751
0.7203,28744
0.7256,28758
0.7313,28752
0.7369,28749
0.7425,28751
0.7481,28748
0.7537,28756
0.759,28748
0.7647,28738
0.7703,28734
0.7759,28741
0.7813,28736
0.7869,28733
0.7925,28743
0.7979,28738
0.8035,28727
0.8091,28740
0.8147,28750
0.8203,28740
