Experiment: Apr27_cal_tst_expt vial 2, Wed Apr 27 17:25:27 2022
0.004,1709
0.0091,1703
0.0148,1697
0.0201,1693
0.0258,1687
0.0314,1683
0.0368,1676
0.0424,1672
0.0481,1666
0.0534,1660
0.0591,1656
0.0647,1652
0.0704,1647
0.0757,1645
0.0813,1637
0.0869,1634
0.0926,1629
0.0979,1625
0.1035,1621
0.1092,1615
0.1145,1613
0.1202,1607
0.1258,1608
0.1314,1601
0.1368,1598
0.1424,1594
0.148,1593
0.1537,1593
0.159,1594
0.1647,1591
0.1703,1591
0.1756,1592
0.1813,1590
0.1869,1595
0.1925,1595
0.1979,1590
0.2035,1591
0.2091,1596
0.2148,1593
0.2201,1590
0.2257,1594
0.2314,1596
0.2368,1589
0.2424,1595
0.2481,1598
0.2537,1593
0.259,1591
0.2647,1594
0.2703,1595
0.2757,1590
0.2813,1591
0.2869,1594
0.2923,1591
0.2979,1591
0.3035,1595
0.3092,1591
0.3148,1593
0.3202,1595
0.3258,1591
0.3312,1591
0.3368,1596
0.3424,1595
0.3481,1588
0.3534,1592
0.3591,1595
0.3647,1590
0.3701,1590
0.3757,1596
0.3813,1592
0.387,1589
0.3923,1595
0.3979,1594
0.4036,1589
0.4092,1593
0.4146,1594
0.4202,1589
0.4258,1590
0.4314,1596
0.4368,1592
0.4424,1590
0.448,1594
0.4537,1593
0.459,1588
0.4647,1593
0.4703,1595
0.4757,1591
0.4813,1594
0.4869,1596
0.4926,1590
0.4979,1592
0.5036,1597
0.5092,1591
0.5146,1591
0.5202,1593
0.5259,1593
0.5312,1588
0.5369,1594
0.5426,1595
0.5479,1589
0.5536,1589
0.559,1596
0.5646,1592
0.5703,1592
0.5757,1597
0.5813,1591
0.587,1590
0.5924,1594
0.5981,1592
0.6037,1589
0.6091,1594
0.6148,1592
0.6201,1588
0.6257,1595
0.6314,1593
0.6368,1588
0.6424,1593
0.6481,1595
0.6535,1590
0.6591,1592
0.6648,1595
0.6701,1591
0.6758,1590
0.6814,1596
0.687,1590
0.6924,1589
0.698,1595
0.7037,1595
0.709,1590
0.7147,1591
0.7203,1596
0.7256,1591
0.7313,1589
0.7369,1595
0.7425,1593
0.7481,1589
0.7537,1593
0.759,1597
0.7647,1589
0.7703,1591
0.7759,1595
0.7813,1590
0.7869,1589
0.7925,1594
0.7979,1594
0.8035,1588
