Experiment: Apr28_cal_tst_expt vial 9, Thu Apr 28 17:02:30 2022
0.0027,53688
0.0078,53687
0.0131,53686
0.0188,53676
0.0244,53676
0.03,53662
0.0354,53589
0.041,53670
0.0466,53658
0.052,53673
0.0576,53670
0.0632,53645
0.0689,53663
0.0742,53543
0.0799,53656
0.0855,53650
0.0911,53653
0.0964,53649
0.1021,53639
0.1077,53637
0.1134,53653
0.1187,53648
0.1243,53654
0.1299,53650
0.1356,53660
0.1409,51114
0.1465,52176
0.1521,52228
0.1577,52149
0.1633,52199
0.1687,52217
0.1743,52168
0.1799,52197
0.1855,52170
0.1909,52153
0.1965,52149
0.2022,52103
0.2078,52154
0.2131,52075
0.2188,52137
0.2244,52110
0.23,52051
0.2354,52086
0.241,52069
0.2467,52033
0.252,52090
0.2577,52046
0.2633,52024
0.2689,52037
0.2743,52029
0.2799,52062
0.2855,52023
0.2911,52017
0.2965,51989
0.3021,52031
0.3078,52006
0.3134,51969
0.3187,51968
0.3243,51978
0.33,51968
0.3353,51950
0.341,51854
0.3466,51907
0.3522,51904
0.3576,51915
0.3632,51890
0.3688,51900
0.3745,51891
0.3798,51853
0.3854,51867
0.391,51861
0.3967,51856
0.4023,51837
0.4076,51813
0.4133,51808
0.4189,51809
0.4243,51793
0.4299,51797
0.4355,51766
0.4409,51780
0.4465,51766
0.4521,51722
0.4578,51743
0.4631,51725
0.4688,51714
0.4744,51704
0.48,51733
0.4854,51680
0.491,51702
0.4966,51682
0.5022,51640
0.5076,51666
0.5132,51658
0.5188,51643
0.5245,51636
0.5298,51649
0.5354,51622
0.541,51616
0.5467,51597
0.552,51570
0.5576,51617
0.5633,51538
0.5689,51554
0.5742,51525
0.5799,51520
0.5854,51519
0.591,51497
0.5966,51513
0.6022,51484
0.6076,51452
0.6132,51500
0.6188,51456
0.6244,51460
0.63,51446
0.6354,51452
0.641,51435
0.6466,51436
0.6522,51415
0.6576,51394
0.6632,51398
0.6688,51370
0.6744,51361
0.6798,51365
0.6854,51361
0.691,51349
0.6966,51304
0.7022,51349
0.7076,51264
0.7132,51241
0.7188,51180
0.7244,51228
0.73,51229
0.7354,51228
0.741,51128
