Experiment: Apr28_cal_tst_expt vial 4, Thu Apr 28 17:02:30 2022
0.0027,1636
0.0078,1640
0.0131,1636
0.0188,1629
0.0244,1621
0.03,1615
0.0354,1616
0.041,1623
0.0466,1622
0.052,1614
0.0576,1617
0.0632,1623
0.0689,1620
0.0742,1614
0.0799,1617
0.0855,1622
0.0911,1619
0.0964,1616
0.1021,1620
0.1077,1623
0.1134,1615
0.1187,1616
0.1243,1621
0.1299,1620
0.1356,1615
0.1409,1618
0.1465,1623
0.1521,1618
0.1577,1616
0.1633,1622
0.1687,1621
0.1743,1616
0.1799,1617
0.1855,1623
0.1909,1619
0.1965,1616
0.2022,1619
0.2078,1622
0.2131,1617
0.2188,1617
0.2244,1622
0.23,1617
0.2354,1616
0.241,1621
0.2467,1619
0.252,1616
0.2577,1617
0.2633,1623
0.2689,1617
0.2743,1615
0.2799,1620
0.2855,1620
0.2911,1617
0.2965,1620
0.3021,1622
0.3078,1617
0.3134,1620
0.3187,1621
0.3243,1617
0.33,1617
0.3353,1622
0.341,1618
0.3466,1617
0.3522,1625
0.3576,1618
0.3632,1616
0.3688,1622
0.3745,1621
0.3798,1615
0.3854,1616
0.391,1621
0.3967,1620
0.4023,1614
0.4076,1619
0.4133,1623
0.4189,1617
0.4243,1617
0.4299,1619
0.4355,1620
0.4409,1617
0.4465,1618
0.4521,1623
0.4578,1618
0.4631,1616
0.4688,1620
0.4744,1622
0.48,1616
0.4854,1619
0.491,1622
0.4966,1617
0.5022,1617
0.5076,1622
0.5132,1620
0.5188,1615
0.5245,1619
0.5298,1622
0.5354,1617
0.541,1616
0.5467,1623
0.552,1621
0.5576,1616
0.5633,1618
0.5689,1623
0.5742,1616
0.5799,1614
0.5854,1620
0.591,1621
0.5966,1617
0.6022,1617
0.6076,1622
0.6132,1620
0.6188,1615
0.6244,1619
0.63,1621
0.6354,1616
0.641,1617
0.6466,1622
0.6522,1618
0.6576,1615
0.6632,1618
0.6688,1622
0.6744,1618
0.6798,1614
0.6854,1621
0.691,1621
0.6966,1616
0.7022,1615
0.7076,1622
0.7132,1620
0.7188,1616
0.7244,1619
0.73,1621
0.7354,1616
0.741,1616
0.7467,1621
0.7522,1621
0.7576,1615
0.7632,1617
0.7688,1622
0.7744,1616
0.7798,1616
0.7854,1620
0.791,1620
0.7966,1616
0.8023,1620
0.8076,1622
0.8132,1618
0.8188,1615
0.8245,1619
0.8298,1622
0.8354,1615
0.8411,1618
0.8467,1622
0.852,1617
0.8576,1618
0.8633,1622
0.8689,1621
0.8742,1617
0.8799,1618
0.8855,1621
0.8911,1616
0.8967,1617
0.9021,1622
0.9077,1619
0.9133,1616
0.919,1618
0.9243,1623
0.9299,1618
0.9355,1617
0.9409,1622
0.9465,1620
0.9522,1615
0.9578,1618
0.9631,1623
0.9688,1619
0.9744,1615
0.98,1620
0.9854,1621
0.991,1615
0.9966,1619
1.0022,1624
1.0076,1621
1.0133,1616
1.0188,1619
1.0244,1622
1.0298,1615
1.0354,1617
1.041,1621
1.0467,1619
1.052,1616
1.0577,1619
1.0633,1622
1.0689,1618
1.0743,1617
1.0799,1621
1.0855,1620
1.0911,1617
1.0965,1619
1.1021,1621
1.1077,1617
1.1133,1616
1.1187,1620
1.1243,1620
1.1299,1615
1.1355,1622
1.1412,1622
1.1465,1616
1.1522,1617
1.1578,1623
1.1631,1619
1.1688,1615
1.1744,1619
1.18,1622
1.1854,1618
1.191,1617
1.1966,1623
1.2023,1619
1.2076,1617
1.2132,1620
1.2189,1621
1.2245,1614
1.2298,1619
1.2355,1621
1.2411,1618
1.2465,1614
1.2521,1620
1.2577,1621
1.2634,1613
1.2687,1616
1.2743,1622
1.2799,1618
1.2856,1617
1.291,1619
1.2966,1622
1.3022,1617
1.3076,1618
1.3132,1622
1.3188,1618
1.3245,1616
1.3298,1619
1.3354,1620
1.341,1616
1.3467,1617
1.352,1623
1.3577,1618
1.3633,1617
1.3689,1621
1.3743,1623
1.3799,1617
1.3855,1618
1.3912,1621
1.3965,1618
1.4021,1617
1.4077,1620
1.4131,1620
1.4187,1617
1.4244,1619
1.43,1623
1.4356,1618
1.441,1614
1.4466,1622
1.4522,1622
1.4578,1618
1.4632,1618
1.4688,1621
1.4745,1617
1.4798,1615
1.4854,1618
1.4911,1621
1.4967,1618
1.502,1618
1.5077,1623
1.5133,1617
1.5189,1616
1.5243,1621
1.5299,1621
1.5355,1616
1.5412,1618
1.5465,1623
1.5521,1620
1.5577,1616
1.5634,1622
1.5687,1620
1.5743,1617
1.58,1619
1.5856,1621
1.5909,1617
1.5966,1618
1.6022,1622
1.6078,1621
1.6132,1616
1.6188,1619
1.6244,1621
1.63,1617
1.6354,1618
1.641,1623
1.6466,1618
1.6523,1618
1.6576,1619
1.6632,1621
1.6688,1615
1.6745,1619
1.6798,1624
1.6855,1617
1.6911,1618
1.6967,1619
1.7021,1622
1.7077,1617
1.7133,1623
1.7189,1621
1.7243,1617
1.7299,1619
1.7355,1622
1.7411,1620
1.7465,1617
1.7521,1618
1.7578,1621
1.7631,1618
1.7687,1617
1.7744,1618
1.78,1620
1.7854,1615
1.791,1619
1.7966,1621
1.8023,1618
1.8076,1616
1.8132,1622
1.8189,1622
1.8242,1619
1.8299,1618
1.8355,1622
1.8411,1621
1.8465,1617
1.8521,1619
1.8577,1621
1.8634,1618
1.8687,1616
1.8744,1621
1.88,1619
1.8854,1617
1.891,1619
1.8966,1621
1.9022,1616
1.9076,1616
1.9132,1621
1.9189,1620
1.9245,1616
1.9298,1621
1.9355,1621
1.9411,1617
1.9465,1617
1.9521,1622
1.9577,1618
1.9634,1619
1.9687,1622
1.9743,1619
1.9799,1617
1.9856,1620
1.9909,1622
1.9966,1615
2.0022,1618
2.0079,1622
2.0132,1618
2.0189,1617
2.0245,1621
2.0298,1621
2.0354,1616
2.0411,1619
2.0467,1623
2.052,1619
2.0576,1616
2.0633,1618
2.0689,1622
2.0742,1616
2.0799,1618
2.0855,1622
2.0911,1619
2.0965,1617
2.1021,1620
2.1076,1622
2.1132,1616
2.1188,1618
2.1244,1621
2.1301,1617
2.1354,1617
2.141,1623
2.1467,1618
2.1523,1616
2.1576,1621
2.1632,1622
2.1688,1618
2.1744,1619
2.1798,1621
2.1854,1619
2.191,1616
2.1966,1619
2.2023,1621
2.2076,1618
2.2132,1618
2.2188,1619
2.2244,1617
2.23,1618
2.2354,1620
2.241,1619
2.2466,1617
2.2522,1620
2.2576,1621
2.2632,1617
2.2688,1619
2.2744,1622
2.2801,1619
2.2854,1618
2.291,1621
2.2966,1621
2.3023,1616
2.3076,1618
2.3132,1623
2.3188,1619
2.3245,1616
2.3298,1622
2.3354,1621
2.341,1617
2.3467,1619
2.352,1621
2.3576,1617
2.3633,1618
2.3689,1620
2.3745,1618
2.3799,1617
2.3855,1619
2.3911,1620
2.3965,1615
2.4021,1617
2.4077,1622
2.4133,1619
2.4187,1616
2.4243,1620
2.4299,1622
2.4356,1617
2.4409,1622
2.4465,1621
2.4522,1619
2.4578,1616
2.4634,1619
2.4688,1621
2.4744,1616
2.48,1618
2.4854,1622
2.491,1619
2.4966,1616
2.5022,1620
2.5076,1621
2.5132,1616
2.5188,1618
2.5245,1623
2.5298,1618
2.5354,1616
2.5411,1622
2.5467,1620
2.552,1617
2.5577,1616
2.5633,1623
2.5689,1620
2.5743,1616
2.5799,1616
2.5855,1622
2.5911,1619
2.5965,1617
2.6021,1622
2.6077,1621
2.6133,1616
2.619,1618
2.6243,1622
2.6299,1616
2.6355,1615
2.6412,1622
2.6465,1622
2.6521,1617
2.6578,1620
2.6634,1623
2.6687,1618
2.6743,1615
2.68,1620
2.6856,1622
2.6911,1617
2.6965,1618
2.7021,1623
2.7077,1617
2.7134,1617
2.7187,1622
2.7243,1620
2.73,1616
2.7356,1618
2.7409,1623
2.7466,1619
2.7522,1616
2.7578,1621
2.7632,1622
2.7688,1617
2.7744,1619
2.7798,1621
2.7854,1617
2.7911,1616
2.7967,1621
2.8021,1620
2.8077,1617
2.8133,1620
2.8189,1622
2.8245,1618
2.8299,1617
2.8355,1620
2.8411,1619
2.8465,1618
2.8521,1621
2.8577,1622
2.8634,1616
2.8687,1620
2.8743,1621
2.8799,1616
2.8856,1618
2.8909,1620
2.8965,1618
2.9022,1615
2.9078,1622
2.9132,1622
2.9188,1616
2.9244,1616
2.93,1621
2.9354,1619
2.941,1618
2.9466,1621
2.9522,1619
2.9576,1617
2.9632,1619
2.9688,1622
2.9744,1619
2.98,1616
2.9854,1620
2.991,1622
2.9966,1617
3.0023,1618
3.0076,1623
3.0133,1619
3.0189,1615
3.0243,1620
3.0299,1620
3.0355,1616
3.0411,1617
3.0465,1621
3.0521,1619
3.0577,1618
3.0634,1619
3.0687,1620
3.0743,1616
3.08,1617
3.0856,1623
3.0909,1621
3.0966,1616
3.1022,1618
3.1078,1623
3.1132,1615
3.1188,1617
3.1244,1620
3.1301,1620
3.1354,1617
3.141,1619
3.1466,1623
3.1523,1616
3.1576,1615
3.1632,1621
3.1689,1619
3.1745,1617
3.1798,1620
3.1855,1618
3.1911,1617
3.1967,1618
3.2021,1622
3.2077,1618
3.2133,1615
3.2189,1621
3.2243,1620
3.2299,1616
3.2355,1619
3.2411,1622
3.2465,1618
3.2521,1618
3.2577,1621
3.2634,1622
3.2687,1616
3.2743,1618
3.28,1622
3.2856,1617
3.2912,1615
3.2966,1619
3.3022,1622
3.3078,1618
3.3132,1618
3.3188,1623
3.3244,1619
3.3298,1617
3.3354,1618
3.341,1621
3.3467,1618
3.352,1618
3.3577,1621
3.3633,1621
3.3689,1616
3.3745,1618
3.3799,1622
3.3855,1618
3.3911,1616
3.3967,1621
3.4021,1622
3.4077,1617
3.4133,1617
3.419,1623
3.4243,1618
3.4299,1616
3.4356,1620
3.4412,1621
3.4465,1616
3.4521,1619
3.4577,1621
3.4634,1620
3.4687,1617
3.4744,1618
3.48,1622
3.4856,1618
3.4909,1617
3.4966,1621
3.5022,1621
3.5078,1616
3.5132,1620
3.5188,1622
3.5244,1617
3.53,1617
3.5354,1622
3.541,1620
3.5466,1617
3.5523,1617
3.5576,1621
3.5632,1618
3.5689,1616
3.5745,1621
3.5799,1620
3.5855,1615
3.5911,1618
3.5967,1622
3.6021,1619
3.6077,1615
3.6133,1620
3.6187,1620
3.6243,1615
3.6298,1618
3.6355,1623
3.6411,1619
3.6467,1617
3.6521,1621
3.6576,1619
3.6633,1620
3.6689,1620
3.6745,1622
3.6799,1617
3.6854,1617
3.6911,1621
3.6967,1620
3.702,1618
3.7077,1621
3.7133,1620
3.7189,1617
3.7245,1617
3.7298,1620
3.7355,1620
3.7411,1617
3.7467,1619
3.7523,1619
3.7576,1617
3.7633,1617
3.7689,1622
3.7745,1616
3.7798,1617
3.7854,1621
3.7911,1619
3.7967,1618
3.8023,1621
3.8076,1621
3.8133,1618
3.8189,1620
3.8245,1621
3.8301,1618
3.8354,1618
3.8411,1622
3.8467,1619
3.8523,1616
3.8576,1620
3.8632,1619
3.8689,1618
3.8745,1618
3.8798,1622
3.8855,1618
3.8911,1617
3.8967,1620
3.9021,1618
3.9077,1616
3.9133,1617
3.9189,1622
3.9243,1617
