Experiment: Apr29_NP_tst_expt vial 7, Fri Apr 29 15:50:36 2022
0.0017,1633
0.0067,1632
0.0124,1626
0.018,1626
0.0233,1633
0.0289,1631
0.0346,1625
0.0402,1629
0.0456,1635
2.857,1635
2.8626,1628
2.8679,1623
2.8737,1628
2.879,1636
2.8847,1631
2.8903,1625
2.8957,1630
2.9013,1635
2.9069,1630
2.9126,1625
2.9179,1632
2.9236,1631
2.9293,1625
2.9346,1625
2.9403,1633
2.9459,1634
2.9513,1625
2.9569,1625
2.9625,1635
2.9679,1633
2.9735,1625
2.9792,1626
2.9848,1632
2.9901,1630
2.9958,1625
3.0014,1629
3.0068,1633
3.0125,1628
3.0182,1623
3.0235,1628
3.0292,1634
3.0348,1627
3.0402,1624
3.0458,1631
3.0513,1635
3.057,1627
3.0626,1624
3.0679,1631
3.0736,1634
3.0791,1630
3.0847,1624
3.0904,1629
3.0957,1634
3.1013,1630
3.1069,1623
3.1126,1630
3.1179,1634
3.1235,1628
3.1291,1622
3.1348,1629
3.1404,1634
3.1457,1629
3.1514,1624
3.157,1631
3.1626,1636
3.1679,1628
3.1735,1625
3.1792,1630
3.1848,1636
3.1902,1630
3.1958,1625
3.2014,1629
3.2068,1636
3.2124,1631
3.218,1624
3.2237,1627
3.229,1635
3.2346,1630
3.2403,1622
3.246,1629
3.2513,1635
3.2569,1630
3.2626,1625
3.2679,1631
3.2735,1636
3.2792,1629
3.2848,1624
3.2901,1631
3.2958,1634
3.3014,1629
3.307,1625
3.3124,1631
3.318,1635
3.3236,1628
3.3292,1626
3.3349,1631
3.3402,1634
3.3458,1629
3.3515,1624
3.3571,1631
3.3624,1636
3.3681,1630
3.3737,1626
3.3793,1630
3.3846,1633
3.3903,1626
3.3959,1625
3.4013,1635
3.4069,1634
3.4125,1624
3.4182,1626
3.4235,1634
3.4291,1633
3.4348,1626
3.4404,1628
3.4458,1634
3.4514,1632
3.457,1625
3.4624,1627
3.468,1633
3.4736,1634
3.4792,1626
3.4846,1627
3.4902,1634
3.4958,1632
3.5014,1626
3.5068,1625
3.5124,1633
3.518,1633
3.5237,1626
3.529,1626
3.5346,1633
3.5402,1634
3.5459,1627
3.5515,1625
3.5568,1633
3.5624,1632
3.5681,1628
3.5737,1626
3.579,1633
3.5846,1632
3.5902,1625
3.5959,1628
3.6015,1636
3.6068,1628
3.6125,1625
3.618,1628
3.6237,1634
3.6293,1632
3.6346,1625
3.6403,1630
3.6458,1635
3.6515,1629
3.6571,1625
3.6624,1631
3.668,1634
3.6736,1629
3.6793,1623
3.6846,1630
3.6903,1636
3.6959,1631
3.7012,1624
3.7069,1630
3.7125,1634
3.7181,1628
3.7234,1625
3.7291,1630
3.7347,1633
3.7403,1625
3.746,1626
3.7513,1632
3.7569,1631
3.7625,1624
3.7682,1629
3.7735,1633
3.7791,1632
3.7848,1624
3.7904,1630
3.7957,1635
3.8013,1630
3.807,1623
3.8126,1627
3.8182,1635
3.8235,1632
3.8292,1626
3.8348,1628
3.8404,1634
3.8458,1632
3.8514,1625
3.8571,1630
3.8624,1635
3.868,1628
3.8737,1625
3.879,1631
3.8846,1635
3.8903,1626
3.8959,1623
3.9015,1631
3.9069,1634
3.9125,1626
3.9181,1626
3.9237,1632
3.9291,1633
3.9347,1627
3.9403,1625
3.946,1631
3.9513,1633
3.957,1628
3.9626,1625
3.9679,1632
3.9736,1636
3.9792,1627
3.9848,1624
3.9902,1632
3.9958,1633
4.0014,1627
4.0071,1625
4.0124,1632
4.018,1634
4.0237,1628
4.0293,1624
4.0346,1632
4.0403,1634
4.0459,1628
4.0512,1625
4.0569,1632
4.0625,1636
4.0681,1627
4.0735,1626
4.0791,1632
4.0847,1632
4.0903,1625
4.096,1627
4.1013,1633
4.107,1633
4.1126,1628
