Experiment: Apr29_heat_tst_expt vial 7, Fri Apr 29 15:10:13 2022
0.0028,104
0.0084,104
0.0141,103
0.0194,105
0.0251,105
0.0307,106
0.0361,105
0.0417,105
0.0474,104
0.0528,103
0.0584,104
0.0641,105
0.0695,104
0.0751,109
0.0808,106
0.0861,102
0.0918,101
0.0972,104
0.1028,103
0.1085,104
0.1138,100
0.1195,106
0.1252,104
0.1306,104
0.1362,107
0.1419,107
0.1472,106
0.1529,106
0.1583,103
0.1639,105
0.1696,108
0.175,104
0.1806,103
0.1863,103
0.1917,103
0.1973,108
0.203,107
0.2084,108
0.2139,107
0.2196,106
0.225,105
0.2306,108
0.2363,106
0.2417,106
0.2473,107
0.253,104
0.2583,106
0.264,104
0.2696,103
0.2751,107
