Experiment: Apr29_heat_tst_expt vial 13, Fri Apr 29 15:10:13 2022
0.0028,1627
0.0084,1624
0.0141,1622
0.0194,1629
0.0251,1624
0.0307,1625
0.0361,1623
0.0417,1629
0.0474,1630
0.0528,1623
0.0584,1621
0.0641,1626
0.0695,1629
0.0751,1625
0.0808,1622
0.0861,1622
0.0918,1626
0.0972,1628
0.1028,1623
0.1085,1621
0.1138,1624
0.1195,1627
0.1252,1626
0.1306,1620
0.1362,1620
0.1419,1624
0.1472,1629
0.1529,1625
0.1583,1621
0.1639,1622
0.1696,1628
0.175,1628
0.1806,1625
0.1863,1621
0.1917,1622
0.1973,1628
0.203,1627
0.2084,1626
0.2139,1619
0.2196,1621
0.225,1627
0.2306,1629
0.2363,1622
0.2417,1620
0.2473,1625
0.253,1628
0.2583,1628
0.264,1622
0.2696,1619
0.2751,1622
