Experiment: April_27_Phage_Osmo_expt vial 11, Tue Apr 27 19:11:23 2021
0.0049,56239
0.0106,56206
0.016,56176
0.0216,56236
0.0273,56230
0.0327,56221
0.0383,56242
0.0439,56227
0.0493,56236
0.0548,56229
0.0605,56193
0.066,56220
0.0716,56234
0.077,56223
0.0826,56234
0.0883,56213
0.0939,56217
0.0992,56189
0.1049,56229
0.1105,56231
0.1159,56195
0.1215,56201
0.1272,56151
0.1327,56197
0.1383,56236
0.1437,56233
0.1493,56235
0.155,56216
0.1603,56205
0.166,56141
0.1716,56220
0.1772,56223
0.1827,56227
0.1883,56227
0.1937,56228
0.1994,56208
0.205,56172
0.2104,56164
0.216,56193
0.2216,56215
0.2273,56216
0.2326,56208
0.2382,56221
0.2439,56208
0.2492,56224
0.2549,56214
0.2605,56218
0.2661,56221
0.2714,56219
0.2771,56223
0.2827,56229
0.2883,56224
0.2937,56215
0.2993,56225
0.305,56190
0.3103,56217
0.316,56223
0.3216,56226
0.3272,56221
0.3326,56198
0.3383,56217
0.3439,56215
0.3492,56219
0.3549,56220
0.3605,56214
0.3659,56179
0.3715,56157
0.3772,56217
0.3828,56213
0.3881,56214
0.3938,56221
0.3994,56218
0.405,56216
0.4104,56218
0.416,56216
0.4217,56219
0.427,56222
0.4327,56216
0.4383,56221
0.4437,56223
0.4493,56210
0.4549,56221
0.4606,56231
0.4659,56224
0.4716,56222
0.4772,56224
0.4828,56225
0.4881,56227
0.4938,56222
0.4994,56223
0.5048,56224
0.5105,56225
0.5161,56227
0.5214,56225
0.5271,56223
0.5327,56222
0.5383,56220
0.544,56229
0.5493,56230
0.5549,56231
0.5606,56226
0.566,56231
0.5716,56225
0.5772,56226
0.5826,56227
0.5882,56229
0.5938,56237
0.5995,56231
0.6048,56227
0.6105,56238
0.6161,56226
0.6215,56233
0.6271,56235
0.6327,56232
0.6384,56231
0.6437,56235
0.6494,56229
0.6548,56235
0.6604,56239
0.6661,56235
0.6717,56230
0.6771,56231
0.6827,56237
0.6883,56237
0.6937,56234
0.6994,56235
0.705,56227
0.7106,56222
0.716,56222
0.7216,56227
0.7272,56226
0.7326,56227
0.7382,56226
0.7438,56219
0.7495,56223
0.7548,56222
0.7605,56212
0.7661,56226
0.7715,56224
0.7771,56225
0.7828,56223
0.7881,56219
0.7938,56223
0.7994,56221
0.8048,56225
0.8104,56232
0.8159,56229
0.8216,56224
0.8272,56238
0.8329,56232
0.8382,56229
0.8437,56225
0.8494,56229
0.855,56234
0.8604,56229
0.866,56226
0.8715,56232
0.8772,56227
0.8825,56232
0.8882,56224
0.8938,56228
0.8994,56232
0.905,56229
0.9103,56228
0.916,56231
0.9216,56231
0.9272,56222
0.9328,56228
0.9382,56230
0.9438,56225
0.9495,56226
0.9548,56229
0.9604,56234
0.9661,56232
0.9717,56231
0.9771,56233
0.9827,56230
0.9883,56230
0.9937,56230
0.9993,56226
1.005,56221
1.0104,56224
1.016,56227
1.0216,56229
1.027,56231
1.0326,56223
1.0383,56226
1.0439,56226
1.0493,56224
1.0549,56223
1.0605,56226
1.0659,56219
1.0715,56217
1.0772,56222
1.0828,56222
1.0881,56222
1.0938,56229
1.0994,56223
1.105,56219
1.1104,56217
1.1161,56214
1.1217,56213
1.127,56213
1.1327,56216
1.1383,56220
1.144,56218
1.1493,56220
1.1549,56222
1.1606,56226
1.1659,56224
1.1716,56227
1.1772,56221
1.1826,56220
1.1882,56220
1.1939,56220
1.1995,56224
1.2048,56221
1.2105,56223
1.2161,56227
1.2215,56227
1.2271,56228
1.2328,56231
1.2384,56231
1.2437,56224
1.2494,56228
1.255,56226
1.2604,56225
1.266,56228
1.2717,56231
1.277,56227
1.2827,56224
1.2883,56228
1.2937,56229
1.2993,56226
1.3049,56229
1.3106,56229
1.3159,56224
1.3216,56225
1.3272,56231
1.3328,56228
1.3382,56225
1.3438,56231
1.3494,56226
1.3548,56230
1.3605,56229
1.3661,56227
1.3717,56231
1.3771,56235
1.3827,56230
1.3884,56225
1.3937,56231
1.3994,56228
1.405,56224
1.4104,56225
1.416,56224
1.4216,56226
1.4273,56231
1.4327,56229
1.4383,56224
1.4439,56229
1.4493,56227
1.4549,56225
1.4606,56230
1.4659,56229
1.4716,56227
1.4772,56228
1.4826,56231
1.4882,56231
1.4938,56234
1.4995,56230
1.5049,56231
1.5105,56228
1.5161,56228
1.5215,56233
1.5271,56230
1.5328,56230
1.5381,56231
1.5438,56227
1.5494,56235
1.5548,56233
1.5604,56229
1.5661,56230
1.5717,56232
1.5771,56231
1.5827,56230
1.5883,56233
1.5937,56229
1.5994,56228
1.605,56227
1.6104,56224
1.6161,56225
1.6217,56229
1.627,56226
1.6327,56230
1.6383,56229
1.6437,56228
1.6493,56229
1.655,56227
1.6606,56227
1.666,56226
1.6716,56232
1.6772,56226
1.6826,56225
1.6882,56232
1.6939,56227
1.6992,56229
1.7049,56232
1.7105,56230
1.7161,56225
1.7215,56228
1.7272,56231
1.7328,56233
1.7382,56228
1.7438,56226
1.7494,56231
1.7551,56226
1.7604,56232
1.7661,56229
1.7717,56226
1.777,56226
1.7827,56228
1.7884,56225
1.7937,56225
1.7993,56226
1.805,56222
1.8103,56225
1.816,56224
1.8216,56229
1.8272,56224
1.8326,56228
1.8382,56231
1.8439,56224
1.8495,56225
1.8549,56233
1.8605,56226
1.8659,56228
1.8715,56227
1.8771,56226
1.8828,56231
1.8884,56228
1.8938,56227
1.8994,56226
1.9048,56229
1.9104,56227
1.9161,56229
1.9217,56227
1.9271,56228
1.9327,56226
1.9384,56230
1.9437,56229
1.9494,56228
1.955,56229
1.9604,56231
1.966,56227
1.9717,56227
1.977,56228
1.9827,56224
1.9883,56227
1.9939,56229
1.9993,56224
2.005,56225
2.0103,56223
2.016,56224
2.0216,56227
2.0273,56228
2.0327,56228
2.0383,56222
2.0439,56229
2.0493,56225
2.0549,56225
2.0606,56227
2.0659,56224
2.0716,56228
2.0772,56224
2.0825,56224
2.0882,56221
2.0938,56229
2.0994,56227
2.1051,56224
2.1104,56232
2.1161,56229
2.1217,56226
2.1271,56227
2.1327,56229
2.1383,56230
2.1437,56228
2.1493,56227
2.155,56228
2.1606,56230
2.166,56230
2.1717,56228
2.177,56229
2.1826,56230
2.1883,56228
2.1939,56226
2.1993,56225
2.2049,56232
2.2105,56229
2.2159,56225
2.2216,56229
2.2272,56228
2.2328,56226
2.2382,56232
2.2438,56230
2.2495,56229
2.2548,56232
2.2604,56234
2.2661,56229
2.2717,56230
2.2771,56231
2.2827,56229
2.2884,56233
2.2937,56232
2.2994,56231
2.305,56228
2.3104,56236
2.316,56236
2.3216,56231
2.3273,56231
2.3326,56238
2.3383,56235
2.3439,56235
2.3493,56235
2.3549,56230
2.3605,56236
2.3659,56233
2.3715,56230
2.3772,56233
2.3828,56234
2.3882,56237
2.3937,56235
2.3994,56233
2.405,56236
2.4104,56231
2.416,56237
2.4215,56232
2.4272,56234
2.4328,56233
2.4381,56237
2.4438,56233
2.4493,56234
2.455,56235
2.4606,56236
2.466,56235
2.4716,56237
2.4771,56231
2.4828,56237
2.4881,56234
2.4938,56229
2.4994,56233
2.505,56234
2.5106,56236
2.516,56232
2.5216,56232
2.5273,56234
2.5326,56231
2.5383,56234
2.5439,56236
2.5493,56232
2.5549,56235
2.5605,56235
2.5662,56230
2.5715,56237
2.5772,56237
2.5828,56234
2.5881,56236
2.5938,56238
2.5994,56231
2.6051,56231
2.6105,56236
2.6161,56236
2.6217,56231
2.6271,56234
2.6327,56234
2.6384,56229
2.6437,56235
2.6493,56237
2.655,56230
2.6603,56230
2.666,56238
2.6716,56229
2.6773,56230
2.6826,56235
