Experiment: April_28_Phage_Osmo_expt vial 3, Wed Apr 28 17:10:52 2021
0,0
0.0245,0.4
13.0916,0.2
13.1082,0.4
14.3639,0.2
14.3806,0.4
15.5805,0.2
15.5972,0.4
16.7917,0.2
16.8082,0.4
18.2807,0.2
18.2975,0.4
19.8864,0.2
19.9029,0.4
20.9252,0.2
20.9418,0.4
30.3978,0.2
30.409,0.4
43.9479,0.2
43.9646,0.4
51.9483,0.2
51.965,0.4
54.4152,0.2
54.4318,0.4
56.6097,0.2
56.6263,0.4
58.7208,0.2
58.7377,0.4
60.8264,0.2
60.843,0.4
62.7597,0.2
62.7763,0.4
65.1432,0.2
65.1601,0.4
67.2989,0.2
67.3156,0.4
69.2325,0.2
69.2489,0.4
71.3267,0.2
71.3434,0.4
73.4215,0.2
73.4379,0.4
75.5937,0.2
75.6104,0.4
77.6824,0.2
77.6993,0.4
79.7605,0.2
79.777,0.4
81.9771,0.2
81.9939,0.4
84.1162,0.2
84.1327,0.4
86.1939,0.2
86.2106,0.4
88.1439,0.2
88.1606,0.4
90.0606,0.2
90.0774,0.4
91.9495,0.2
91.9664,0.4
93.9776,0.2
93.9941,0.4
95.9997,0.2
96.0165,0.4
97.9719,0.2
97.9887,0.4
100.011,0.2
100.0274,0.4
102.0555,0.2
102.0722,0.4
104.1723,0.2
104.1887,0.4
106.261,0.2
106.2777,0.4
108.3445,0.2
108.3611,0.4
110.4334,0.2
110.4501,0.4
112.5335,0.2
112.5503,0.4
114.6057,0.2
114.6223,0.4
116.6558,0.2
116.6725,0.4
119.0947,0.2
119.1114,0.4
121.017,0.2
121.0336,0.4
123.2727,0.2
123.2893,0.4
125.5061,0.2
125.5226,0.4
127.6673,0.2
127.6839,0.4
129.8118,0.2
129.8283,0.4
131.9617,0.2
131.9784,0.4
134.1728,0.2
134.1897,0.4
136.273,0.2
136.2896,0.4
138.5508,0.2
138.5675,0.4
140.6677,0.2
140.6846,0.4
142.6622,0.2
142.6792,0.4
144.8069,0.2
144.8234,0.4
146.8182,0.2
146.8348,0.4
148.9069,0.2
148.9236,0.4
151.0126,0.2
151.0293,0.4
153.0572,0.2
153.0738,0.4
155.2071,0.2
155.2238,0.4
157.2961,0.2
157.3127,0.4
159.2128,0.2
159.2294,0.4
161.1629,0.2
161.1796,0.4
163.1961,0.2
163.2128,0.4
