Experiment: April_28_Phage_Osmo_expt vial 12, Wed Apr 28 17:10:52 2021
0,0
12.5861,21.88
14.2917,21.8
16.0583,21.85
17.9751,21.83
19.7864,21.87
21.4308,21.77
23.3809,21.89
25.1976,22.06
27.1032,21.86
29.1698,21.87
60.771,21.8
63.2319,26.6
66.3487,21.76
68.4323,21.84
70.4544,22.05
73.2269,21.79
76.6214,21.79
79.5549,21.77
82.4382,21.82
85.2162,21.77
87.6883,21.87
90.0774,21.78
92.244,21.82
94.4719,21.79
96.6774,21.79
98.9774,21.78
101.1942,21.8
103.4944,21.77
105.7499,21.84
108.1001,21.77
110.3889,21.82
112.7502,21.77
114.9834,21.8
117.4335,21.78
119.6116,21.81
121.9558,21.9
124.3782,21.79
126.7173,21.82
128.9896,21.82
131.3394,21.82
133.6953,21.77
135.884,21.76
138.2507,21.85
140.6068,21.79
142.8901,21.78
145.1513,21.77
147.3348,21.77
149.507,21.77
151.796,21.79
154.007,21.79
156.1682,21.78
158.2906,21.78
160.4462,21.85
162.4351,21.86
164.7129,21.79
166.8353,21.82
169.0409,21.77
171.1465,21.82
173.4132,21.76
175.8244,21.84
178.241,21.81
180.8077,21.87
183.5247,21.77
186.408,21.76
189.1523,21.78
