Experiment: Feb_19_eric7_chem_expt vial 0, Thu Feb 18 15:47:28 2021
0.0023,54456
0.0072,54450
0.0125,54450
0.0182,54459
0.0236,54458
0.0292,54527
0.0349,54530
0.0403,54531
0.046,54529
0.0516,54535
0.057,54538
0.0627,54529
0.0681,54528
0.0737,54527
0.0794,54523
0.0848,54523
0.0905,54529
0.0959,54525
0.1015,54524
0.1072,54522
0.1126,54526
0.1182,54528
0.1236,54518
0.1293,54518
0.135,54525
0.1403,54519
0.1459,54521
0.1516,54527
0.157,54525
0.1627,54520
0.1681,54527
0.1738,54526
0.1849,54526
0.1905,54523
0.196,54526
0.4459,54529
0.4516,54522
0.457,54528
0.4627,54526
0.4681,54527
0.4738,54530
0.4792,54525
0.4849,54528
0.4906,54525
0.496,54522
0.5016,54527
0.507,54531
