Experiment: Feb_19_eric7_chem_expt vial 0, Thu Feb 18 15:47:28 2021
0.0023,1631
0.0072,1635
0.0125,1636
0.0182,1629
0.0236,1633
0.0292,1634
0.0349,1630
0.0403,1635
0.046,1637
0.0516,1630
0.057,1633
0.0627,1635
0.0681,1630
0.0737,1636
0.0794,1633
0.0848,1632
0.0905,1636
0.0959,1631
0.1015,1635
0.1072,1634
0.1126,1631
0.1182,1636
0.1236,1632
0.1293,1632
0.135,1638
0.1403,1631
0.1459,1632
0.1516,1637
0.157,1631
0.1627,1631
0.1681,1638
0.1738,1633
0.1849,1636
0.1905,1636
0.196,1634
0.4459,1636
0.4516,1631
0.457,1638
0.4627,1636
0.4681,1629
0.4738,1638
0.4792,1633
0.4849,1632
0.4906,1637
0.496,1632
0.5016,1632
0.507,1635
