Experiment: Feb_19_real_eric2_expt vial 3, Fri Feb 19 13:52:14 2021
0.0021,28488
0.0078,28507
0.0132,28497
0.0188,28487
0.0242,28484
0.0298,28473
0.0355,28486
0.0408,28438
0.0465,28474
0.0521,28476
0.0575,28482
0.0632,28469
0.0688,28471
0.0742,28466
0.0798,28465
0.0855,28500
0.0909,28506
0.0965,28471
0.1022,28512
0.1075,28502
0.1132,28531
0.1188,28510
0.1242,28455
0.1298,28512
0.1355,28564
0.1409,28547
0.1465,28547
0.1522,28550
0.1575,28517
0.1632,28561
0.1688,28545
0.1742,28517
0.1799,28558
0.1855,28545
0.1909,28546
0.1965,28518
0.2022,28496
0.2076,28507
0.2132,28490
0.2189,28536
0.2242,28496
0.2299,28433
0.2355,28436
0.2409,28465
0.2466,28505
0.2519,28468
0.2576,28515
0.2632,28492
0.2689,28487
0.2743,28509
0.2799,28461
0.2856,28416
0.2909,28471
0.2966,28494
0.302,28511
0.3076,28490
0.3133,28527
0.3187,28491
0.3243,28498
0.33,28470
0.3353,28493
0.341,28448
0.3466,28504
0.352,28491
0.3577,28485
0.3633,28484
0.3687,28483
0.3743,28495
0.38,28461
0.3853,28476
0.391,28497
0.3966,28485
0.402,28478
0.4077,28508
0.4131,28500
0.4187,28507
0.4244,28517
0.4298,28507
0.4354,28520
0.4411,28498
0.4464,28511
0.4521,28530
0.4577,28515
0.4631,28504
0.4688,28509
0.4744,28502
0.4798,28508
0.4854,28509
0.4911,28529
0.4964,28509
0.5021,28491
0.5077,28505
0.5131,28518
0.5188,28520
0.5242,28531
0.5299,28492
0.5355,28529
0.5409,28492
0.5466,28444
0.552,28530
0.5577,28523
0.5631,28337
0.5688,28525
0.5744,28527
0.5798,28508
0.5854,28481
0.5911,28497
0.5964,28529
0.6021,28500
0.6076,28503
0.6132,28537
0.6189,28517
0.6242,28485
0.6299,28503
0.6354,28468
0.641,28525
0.6464,28524
0.6521,28509
0.6577,28506
0.6631,28538
0.6688,28533
0.6745,28527
0.6798,28496
0.6855,28535
0.6909,28539
0.6965,28541
0.7022,28485
0.7076,28526
0.7132,28510
0.7188,28529
0.7242,28539
0.7299,28523
0.7355,28537
0.7409,28541
0.7465,28553
0.7522,28543
0.7576,28538
0.7632,28556
0.7689,28523
0.7742,28509
0.7799,28561
0.7853,28541
0.791,28520
0.7966,28538
0.802,28547
0.8077,28542
0.8133,28547
0.8187,28533
0.8243,28552
0.83,28524
0.8354,28551
0.841,28547
0.8467,28493
0.852,28531
0.8577,28547
0.8631,28562
0.8687,28486
