Experiment: Feb_19_real_eric2_expt vial 5, Fri Feb 19 13:52:14 2021
0.0021,1613
0.0078,1611
0.0132,1608
0.0188,1613
0.0242,1609
0.0298,1612
0.0355,1614
0.0408,1610
0.0465,1611
0.0521,1614
0.0575,1608
0.0632,1612
0.0688,1617
0.0742,1607
0.0798,1609
0.0855,1614
0.0909,1610
0.0965,1612
0.1022,1612
0.1075,1610
0.1132,1612
0.1188,1614
0.1242,1608
0.1298,1614
0.1355,1611
0.1409,1611
0.1465,1614
0.1522,1609
0.1575,1609
0.1632,1615
0.1688,1609
0.1742,1612
0.1799,1613
0.1855,1610
0.1909,1614
0.1965,1612
0.2022,1610
0.2076,1614
0.2132,1610
0.2189,1611
0.2242,1613
0.2299,1609
0.2355,1611
0.2409,1614
0.2466,1609
0.2519,1612
0.2576,1613
0.2632,1611
0.2689,1613
0.2743,1612
0.2799,1609
0.2856,1614
0.2909,1608
0.2966,1612
0.302,1613
0.3076,1608
0.3133,1612
0.3187,1612
0.3243,1610
0.33,1614
0.3353,1611
0.341,1612
0.3466,1614
0.352,1608
0.3577,1610
0.3633,1613
0.3687,1609
0.3743,1610
0.38,1613
0.3853,1609
0.391,1615
0.3966,1611
0.402,1612
0.4077,1612
0.4131,1610
0.4187,1613
0.4244,1609
0.4298,1610
0.4354,1614
0.4411,1610
0.4464,1610
0.4521,1615
0.4577,1608
0.4631,1612
0.4688,1611
0.4744,1611
0.4798,1614
0.4854,1611
0.4911,1611
0.4964,1614
0.5021,1609
0.5077,1612
0.5131,1612
0.5188,1608
0.5242,1612
0.5299,1611
0.5355,1607
0.5409,1614
0.5466,1612
0.552,1606
0.5577,1613
0.5631,1615
0.5688,1609
0.5744,1613
0.5798,1613
0.5854,1608
0.5911,1615
0.5964,1612
0.6021,1609
0.6076,1613
0.6132,1611
0.6189,1609
0.6242,1613
0.6299,1611
0.6354,1611
0.641,1614
0.6464,1610
0.6521,1613
0.6577,1612
0.6631,1612
0.6688,1611
0.6745,1610
0.6798,1612
0.6855,1612
0.6909,1609
0.6965,1613
0.7022,1611
0.7076,1611
