Experiment: Feb_22_tst3_chemo_expt vial 10, Mon Feb 22 14:25:20 2021
0.0045,36346
0.0102,36454
0.0158,36461
0.0215,36353
0.0272,36505
0.0325,36356
0.0382,36286
0.0438,36189
0.0492,36238
0.0548,36004
0.0605,35890
0.0658,35778
0.0714,35842
0.0771,35800
0.0824,35995
0.0881,35901
0.0937,35758
0.0991,35821
0.1048,35878
0.1104,35571
0.1161,35541
0.1216,35263
0.1269,35224
0.1326,35106
0.1382,35080
0.1436,35058
0.1492,35117
0.1549,34884
0.1605,34778
0.1658,34919
0.1715,34912
0.1772,34844
0.1825,34870
0.1882,34616
