Experiment: Feb_23_T2_chemo_expt vial 5, Tue Feb 23 14:55:02 2021
0.0047,53769
0.0107,53779
0.0163,53742
0.022,53787
0.0273,53760
0.033,53773
0.0386,53735
0.044,53761
0.0496,53763
0.0553,53731
0.0609,53758
0.0662,53735
0.0719,53770
0.0775,53728
0.0829,53715
0.0885,53727
0.0942,53694
0.0995,53704
0.1052,53651
0.1108,53702
0.1164,53687
0.1218,53663
0.1274,53624
0.1331,53637
0.1385,53666
0.1441,53623
0.1497,53643
0.1551,53623
0.1607,53629
0.1664,53581
0.1717,53606
0.1774,53540
0.183,53568
0.1886,53604
0.194,53533
0.1997,53543
0.2051,53556
0.2108,53525
0.2162,53523
0.2219,53509
0.2275,53488
0.2332,53452
0.2385,53425
0.2442,53466
0.2498,53413
0.2552,53441
0.2608,53408
0.2664,53393
0.2718,53369
0.2774,53387
0.2831,53331
0.2884,53340
0.2941,53346
0.2997,53274
0.3051,53229
0.3107,53277
0.3164,53278
0.322,53203
0.3274,53196
0.333,53204
0.3386,53186
0.344,53167
0.3496,53133
0.3553,53144
0.3606,53047
0.3663,53088
0.3719,53070
0.3775,53030
0.3829,53044
0.3886,52982
0.3942,53001
0.3996,52944
0.4052,52893
0.4109,52944
0.4162,52899
0.4219,52932
0.4275,52851
0.4332,52861
0.4385,52789
0.4442,52813
0.4498,52828
0.4552,52748
0.4608,52734
0.4665,52726
0.4718,52675
0.4775,52688
0.4829,52624
0.4885,52638
0.4941,52598
0.4998,52604
0.5051,52551
0.5108,52505
0.5164,52496
0.522,52440
0.5274,52401
0.533,52393
0.5387,52391
0.544,52353
0.5497,52291
0.5553,52283
0.5607,52300
0.5663,52257
0.5719,52226
0.5776,52194
0.5829,52194
0.5886,52175
0.5942,52169
0.5996,52027
0.6052,52026
0.6108,51981
0.6162,52012
0.6217,51938
0.6274,51938
0.633,51946
0.6386,51825
0.644,51836
0.6496,51815
0.6553,51807
0.6609,51695
0.6663,51726
0.6719,51679
0.6773,51652
0.683,51634
0.6886,51558
0.694,51576
0.6996,51511
0.7051,51471
0.7108,51395
0.7165,51444
0.7218,51400
0.7275,51294
0.7329,51269
0.7386,51199
0.7442,51251
0.7496,51167
0.7552,51092
0.7608,51064
0.7664,51048
0.7718,50972
0.7774,50953
0.7831,50880
0.7886,50942
0.7942,50844
0.7996,50780
0.8052,50705
0.8108,50695
0.8164,50716
0.822,50610
0.8274,50522
0.8331,50571
0.8384,50454
0.8441,50418
0.8497,50477
0.8554,50352
0.8607,50355
0.8664,50291
0.872,50192
0.8773,50167
0.883,50074
0.8886,50059
0.894,50031
0.8996,49928
0.9053,49868
0.9106,49779
0.9163,49785
0.9219,49756
0.9273,49679
0.933,49636
0.9386,49590
0.9443,49517
0.9496,49489
0.9552,49435
0.9609,49436
0.9662,49392
0.9719,49333
0.9775,49255
0.9829,49230
0.9885,49100
0.9942,49111
0.9998,48952
1.0052,48946
1.0109,48845
1.0162,48816
1.0219,48752
1.0275,48712
1.0329,48587
1.0385,48678
1.0442,48577
1.0495,48348
1.0552,48369
1.0608,48386
1.0662,48362
1.0719,48242
1.0775,48144
1.0829,48201
1.0885,48022
1.0942,47985
1.0995,48047
1.1052,47876
1.1108,47771
1.1162,47825
1.1219,47766
1.1275,47689
1.1331,47645
1.1385,47607
1.1441,47382
1.1498,47403
1.1551,47325
1.1608,47212
1.1664,47081
1.1718,46992
1.1774,47006
1.1831,47022
1.1885,46935
1.1941,46848
1.1997,46646
1.2051,46612
1.2107,46703
1.2164,46569
1.222,46309
1.2274,46532
1.233,46230
1.2387,46197
1.244,46186
1.2497,46194
1.2553,46121
1.2607,46065
1.2663,45808
1.2719,45820
1.2776,45856
1.2829,45719
1.2886,45676
1.2942,45427
1.2996,45368
1.3052,45458
1.3109,45374
1.3165,45335
1.3219,45332
1.3275,44951
1.3329,44930
1.3385,44833
1.3442,44922
1.3498,44842
1.3552,44627
1.3608,44462
1.3664,44605
1.3718,44451
1.3774,44420
1.383,44183
1.3884,44148
1.394,44071
1.3997,43873
1.4053,43864
1.411,43920
1.4163,43695
1.422,43590
1.4273,43731
1.433,43479
1.4386,43538
1.4442,43433
1.4496,43348
1.4553,43260
1.4606,43076
1.4663,43028
1.4719,43117
1.4776,43104
1.4829,42661
1.4886,42719
1.4943,42807
1.4996,42810
1.5053,42591
1.5109,42397
1.5163,42310
1.5219,42248
1.5276,42217
1.5329,42394
1.5386,41986
1.544,42003
1.5496,41988
1.5552,41908
1.5609,41880
1.5665,41797
1.5719,41774
1.5775,41547
1.5832,41484
1.5885,41464
1.5942,41387
1.5995,41339
1.6052,41385
1.6108,41238
1.6165,41310
1.6218,41249
1.6275,40885
1.6328,40955
1.6385,40762
1.6441,41016
1.6497,40725
1.6554,40720
1.6607,40218
1.6664,40397
1.672,40379
1.6774,40275
1.683,40531
1.6887,40285
1.694,40099
1.6997,40148
1.7053,40086
1.7107,39776
1.7163,39667
1.722,39572
1.7276,39459
1.733,39639
1.7386,39214
1.7443,39299
1.7496,39153
1.7553,39118
1.7609,39090
1.7663,39227
1.7719,39048
1.7775,38841
1.7829,38820
1.7886,38778
1.7942,38732
1.7995,38666
1.8052,38591
1.8108,38217
1.8165,38701
1.8218,38333
1.8274,38198
1.8331,38365
1.8387,38242
1.8441,38325
1.8497,38091
1.8554,38064
1.8607,37962
1.8664,38143
1.8721,37950
1.8774,37846
1.8831,37848
1.8885,38220
1.8941,38104
1.8998,38139
1.9052,37857
1.9108,37969
1.9165,37838
1.9218,37725
1.9275,38216
1.9329,38095
1.9385,38103
1.9442,37844
1.9495,38107
1.9552,38262
1.9609,37910
1.9662,37930
1.9719,38099
1.9775,37989
1.9832,37951
1.9885,38003
1.9942,38394
1.9998,37822
2.0052,38103
2.0109,38268
2.0165,37989
2.0218,38113
2.0275,38081
2.0331,37954
2.0386,37929
2.0442,38023
2.0499,37892
2.0552,37764
2.0609,38034
2.0663,38128
2.0719,37939
2.0776,37899
2.083,38144
2.0886,38120
2.0943,37731
2.0997,37994
2.1053,37896
2.111,37960
2.1164,37728
2.122,37795
2.1276,37784
2.1331,37721
2.1387,37940
2.1441,37856
2.1497,37641
2.1554,37623
2.1607,37694
2.1664,37542
2.172,37825
2.1774,37908
2.1831,37657
2.1887,37497
2.1941,37658
2.1997,37659
2.2051,37771
2.2108,37616
2.2164,37536
2.2221,37417
2.2274,37483
2.2331,37436
2.2388,37464
2.2441,37454
2.2498,37458
2.2552,37441
2.2608,37215
2.2664,37493
2.2721,37281
2.2775,37451
2.2831,37309
2.2887,37276
2.2941,37328
2.2998,37305
2.3052,37249
2.3108,37203
2.3165,37349
2.3221,37150
2.3275,37128
2.3331,37366
2.3387,37059
2.3441,37209
2.3498,37287
2.3554,37156
2.3608,36952
2.3665,37287
2.3719,37306
2.3775,37102
2.3829,37225
2.3885,37476
2.3941,37258
2.3998,36938
2.4054,37169
2.4108,37160
2.4165,36885
2.4219,36987
2.4275,37354
2.4332,37141
2.4386,37338
2.4442,37392
2.4497,36800
2.4553,37259
2.461,36958
2.4663,37084
2.472,36894
2.4775,37114
2.4832,37358
2.4885,37335
2.4942,37038
2.4998,36982
2.5052,37018
2.5108,37368
2.5165,37079
2.5218,36936
2.5275,37138
2.5331,37066
2.5388,37147
2.5441,37293
2.5498,37099
2.5554,37265
2.5608,37031
2.5665,37216
2.5721,36972
2.5775,36905
2.5831,37346
2.5886,37188
2.5942,37116
2.5999,37322
2.6052,37023
2.6109,37042
2.6165,37061
2.6219,37132
2.6276,37142
2.6332,36942
2.6386,37286
2.6442,37176
2.6499,36986
2.6553,37264
2.6609,37215
2.6665,36987
2.6719,36876
2.6775,36953
2.6832,37107
2.6886,37114
2.6942,36914
2.6999,36940
2.7052,37086
2.7109,37354
2.7163,37407
2.7219,37211
2.7276,36944
2.7332,37066
2.7386,37114
2.7442,36676
2.7496,37210
2.7553,37257
2.7609,37058
2.7663,36748
2.7719,37063
2.7776,37061
2.783,37148
2.7886,36909
2.7943,36946
2.7996,37074
2.8053,36981
2.811,36920
2.8163,36971
2.822,37163
2.8276,37334
2.833,36920
2.8387,36970
2.8443,36880
2.8497,36984
2.8553,37047
2.861,37163
2.8664,37253
2.872,37102
2.8777,37090
2.8831,36939
2.8887,36969
2.8941,37020
2.8998,36801
2.9054,36989
2.9108,37315
2.9165,37091
2.9219,37028
2.9275,37247
2.9332,37061
2.9388,36991
2.9442,37081
2.9498,37169
2.9552,37127
2.9609,36880
2.9666,37053
2.972,36814
2.9776,37084
2.983,37048
2.9886,36897
2.9943,37062
2.9996,36906
3.0054,37135
3.011,37090
3.0164,37067
3.022,37149
3.0276,37239
3.0332,37139
3.0386,37109
3.0442,37330
3.0499,37058
3.0553,36891
3.0609,37000
3.0666,37040
3.0719,36998
3.0776,37118
3.0832,37118
3.0886,36934
3.0943,37008
3.0996,37043
3.1053,37010
3.111,36925
3.1164,37082
3.122,36972
3.1276,37227
3.133,36953
3.1387,37079
3.1441,36966
3.1497,36955
3.1554,37008
3.161,37065
3.1665,36856
3.1718,36936
3.1775,37116
3.1831,37019
3.1888,36961
3.1941,37013
3.1998,36931
3.2054,36901
3.2108,36866
3.2165,36842
3.2221,36904
3.2275,36954
3.2332,37022
3.2386,36986
3.2442,36952
3.2499,37102
3.2552,36867
3.2609,36662
3.2665,36785
3.2722,36983
3.2776,36976
3.2832,36878
3.2886,36902
3.2942,36934
3.2999,36595
3.3053,36902
3.3109,37064
3.3166,37024
3.3219,37107
3.3276,36817
3.3332,36968
3.3386,36986
3.3443,36896
3.3499,36916
3.3553,36590
3.3609,37040
3.3666,37005
3.372,36913
3.3776,36910
3.3832,36878
3.3886,36804
3.3943,36908
3.3999,36905
3.4053,36976
3.4109,37175
3.4165,37057
3.422,36779
3.4276,37042
3.433,36807
3.4386,37014
3.4443,37159
3.4499,36702
3.4553,36689
3.4609,36912
3.4666,36770
3.472,36702
3.4776,36914
3.4833,36884
3.4886,36878
3.4943,36627
3.4997,37006
3.5053,36789
3.5109,36815
3.5166,37005
3.5219,36831
3.5276,36906
