Experiment: Feb_23_T2_chemo_expt vial 12, Tue Feb 23 14:55:02 2021
0.0047,1614
0.0107,1616
0.0163,1610
0.022,1608
0.0273,1615
0.033,1615
0.0386,1610
0.044,1610
0.0496,1614
0.0553,1615
0.0609,1610
0.0662,1612
0.0719,1612
0.0775,1614
0.0829,1609
0.0885,1610
0.0942,1616
0.0995,1614
0.1052,1608
0.1108,1610
0.1164,1615
0.1218,1613
0.1274,1608
0.1331,1613
0.1385,1615
0.1441,1615
0.1497,1611
0.1551,1611
0.1607,1615
0.1664,1616
0.1717,1611
0.1774,1609
0.183,1613
0.1886,1616
0.194,1610
0.1997,1609
0.2051,1615
0.2108,1615
0.2162,1612
0.2219,1609
0.2275,1613
0.2332,1615
0.2385,1612
0.2442,1609
0.2498,1611
0.2552,1614
0.2608,1613
0.2664,1609
0.2718,1614
0.2774,1615
0.2831,1612
0.2884,1607
0.2941,1613
0.2997,1615
0.3051,1610
0.3107,1608
0.3164,1615
0.322,1613
0.3274,1609
0.333,1610
0.3386,1615
0.344,1613
0.3496,1610
0.3553,1610
0.3606,1613
0.3663,1614
0.3719,1609
0.3775,1609
0.3829,1613
0.3886,1614
0.3942,1610
0.3996,1612
0.4052,1615
0.4109,1615
0.4162,1608
0.4219,1611
0.4275,1614
0.4332,1614
0.4385,1607
0.4442,1612
0.4498,1616
0.4552,1612
0.4608,1607
0.4665,1612
0.4718,1617
0.4775,1613
0.4829,1611
0.4885,1613
0.4941,1616
0.4998,1610
0.5051,1607
0.5108,1613
0.5164,1615
0.522,1610
0.5274,1610
0.533,1615
0.5387,1614
0.544,1610
0.5497,1609
0.5553,1615
0.5607,1614
0.5663,1606
0.5719,1610
0.5776,1615
0.5829,1612
0.5886,1608
0.5942,1610
0.5996,1614
0.6052,1615
0.6108,1610
0.6162,1609
0.6217,1614
0.6274,1615
0.633,1610
0.6386,1606
0.644,1615
0.6496,1617
0.6553,1612
0.6609,1610
0.6663,1614
0.6719,1615
0.6773,1611
0.683,1610
0.6886,1610
0.694,1616
0.6996,1613
0.7051,1608
0.7108,1610
0.7165,1618
0.7218,1612
0.7275,1609
0.7329,1611
0.7386,1615
0.7442,1613
0.7496,1608
0.7552,1612
0.7608,1615
0.7664,1614
0.7718,1608
0.7774,1612
0.7831,1615
0.7886,1613
0.7942,1606
0.7996,1610
0.8052,1616
0.8108,1613
0.8164,1609
0.822,1612
0.8274,1615
0.8331,1612
0.8384,1608
0.8441,1612
0.8497,1616
0.8554,1611
0.8607,1607
0.8664,1613
0.872,1616
0.8773,1613
0.883,1611
0.8886,1612
0.894,1615
0.8996,1612
0.9053,1609
0.9106,1611
0.9163,1616
0.9219,1613
0.9273,1609
0.933,1611
0.9386,1618
0.9443,1614
0.9496,1608
0.9552,1610
0.9609,1614
0.9662,1615
0.9719,1608
0.9775,1609
0.9829,1615
0.9885,1615
0.9942,1609
0.9998,1609
1.0052,1615
1.0109,1616
1.0162,1610
1.0219,1609
1.0275,1613
1.0329,1615
1.0385,1611
1.0442,1610
1.0495,1613
1.0552,1615
1.0608,1610
1.0662,1608
1.0719,1614
1.0775,1617
1.0829,1610
1.0885,1610
1.0942,1614
1.0995,1618
1.1052,1613
1.1108,1608
1.1162,1613
1.1219,1616
1.1275,1611
1.1331,1609
1.1385,1615
1.1441,1616
1.1498,1609
1.1551,1609
1.1608,1615
1.1664,1616
1.1718,1610
1.1774,1608
1.1831,1613
1.1885,1616
1.1941,1610
1.1997,1608
1.2051,1612
1.2107,1616
1.2164,1612
1.222,1608
1.2274,1613
1.233,1616
1.2387,1611
1.244,1609
1.2497,1612
1.2553,1616
1.2607,1614
1.2663,1609
1.2719,1610
1.2776,1616
1.2829,1613
1.2886,1610
1.2942,1612
1.2996,1614
1.3052,1613
1.3109,1611
1.3165,1610
1.3219,1615
1.3275,1614
1.3329,1610
1.3385,1611
1.3442,1614
1.3498,1614
1.3552,1609
1.3608,1610
1.3664,1616
1.3718,1614
1.3774,1610
1.383,1614
1.3884,1615
1.394,1612
1.3997,1610
1.4053,1614
1.411,1615
1.4163,1610
1.422,1611
1.4273,1614
1.433,1616
