Experiment: Feb_23_chemo_expt vial 7, Tue Feb 23 14:42:27 2021
0.0045,55867
0.0102,55866
0.0159,55866
0.0215,55861
0.0269,55870
0.0325,55862
0.0382,55854
0.0435,55868
0.0492,55868
0.0548,55861
0.0604,55866
0.0658,55861
0.0714,55853
0.0771,55858
0.0825,55853
0.0881,55857
0.0937,55864
0.0991,55872
0.1047,55871
0.1104,55885
0.1157,55890
0.1214,55885
0.127,55894
0.1327,55894
0.138,55893
0.1437,55886
0.1493,55885
0.1547,55888
0.1603,55890
0.166,55892
0.1713,55890
0.177,55888
0.1824,55888
0.188,55877
0.1936,55878
0.1993,55880
