Experiment: Feb_24_Turb_expt vial 12, Wed Feb 24 18:13:41 2021
0.0013,56402
0.0067,56412
0.0121,56409
0.0177,56417
0.0233,56412
0.0287,56414
0.0343,56419
0.04,56428
0.0456,56435
0.051,56441
0.0566,56460
0.0622,56455
0.0676,56459
0.0732,56463
0.0789,56468
0.0845,56454
0.0899,56454
0.0955,56460
0.1011,56466
0.1065,56465
0.1121,56474
0.1177,56483
0.1234,56496
0.1288,56502
0.1344,56508
0.14,56502
0.1454,56505
0.151,56506
0.1567,56512
0.162,56502
0.1677,56505
0.1733,56518
0.1789,56525
0.1843,56530
0.1899,56534
0.1955,56541
0.2012,56540
0.2065,56543
0.2122,56547
0.2178,56537
0.2232,56538
0.2288,56536
0.2344,56543
0.2401,56551
0.2454,56545
0.2511,56539
0.2567,56546
0.2621,56550
0.2677,56534
0.2733,56547
0.2787,56549
0.2844,56556
0.29,56553
0.2956,56558
0.301,56558
0.3066,56557
0.3123,56560
0.3176,56561
0.3233,56555
0.3289,56565
0.3343,56560
0.3399,56565
0.3456,56565
0.3509,56566
0.3566,56572
0.3622,56569
0.3676,56575
0.3732,56572
0.3789,56567
0.3845,56567
0.3899,56567
0.3955,56559
0.4011,56560
0.4065,56566
0.4121,56564
0.4178,56556
0.4231,56550
0.4288,56567
0.4345,56560
0.4398,56560
0.4454,56568
0.4511,56571
0.4567,56559
0.4621,56563
0.4677,56561
0.4733,56561
0.4787,56561
0.4843,56548
0.49,56541
0.4953,56546
0.501,56546
0.5066,56537
0.5122,56544
0.5176,56557
0.5232,56554
0.5289,56551
0.5345,56550
0.5399,56549
0.5455,56561
0.5512,56558
0.5565,56562
0.5622,56554
0.5678,56540
0.5732,56557
0.5788,56552
0.5844,56554
0.59,56559
0.5954,56546
0.601,56556
0.6067,56562
0.6121,56553
0.6177,56561
0.6233,56554
0.6289,56545
0.6343,56548
0.6399,56560
0.6456,56551
0.6509,56555
0.6565,56563
0.6622,56562
0.6678,56562
0.6732,56554
0.6788,56549
0.6844,56548
0.6898,56553
0.6954,56563
0.7011,56552
0.7067,56557
0.712,56550
0.7177,56558
0.7233,56564
0.7289,56557
0.7343,56550
0.7399,56548
0.7456,56554
0.7509,56563
0.7566,56555
0.7622,56559
0.7678,56558
0.7732,56547
0.7789,56549
0.7842,56558
0.7899,56562
0.7955,56560
0.8012,56561
0.8065,56549
0.8121,56558
0.8177,56555
0.8234,56542
0.8287,56539
0.8343,56556
0.8399,56554
0.8456,56556
0.8512,56553
0.8566,56541
0.8621,56559
0.8677,56564
0.8734,56565
