Experiment: Feb_24_Turb_expt vial 1, Wed Feb 24 18:13:41 2021
0.0013,1724
0.0067,1716
0.0121,1709
0.0177,1703
0.0233,1700
0.0287,1693
0.0343,1688
0.04,1683
0.0456,1676
0.051,1674
0.0566,1667
0.0622,1664
0.0676,1658
0.0732,1652
0.0789,1649
0.0845,1644
0.0899,1638
0.0955,1635
0.1011,1628
0.1065,1628
0.1121,1631
0.1177,1632
0.1234,1628
0.1288,1629
0.1344,1631
0.14,1629
0.1454,1630
0.151,1631
0.1567,1628
0.162,1625
0.1677,1633
0.1733,1632
0.1789,1627
0.1843,1629
0.1899,1632
0.1955,1630
0.2012,1627
0.2065,1631
0.2122,1631
0.2178,1627
0.2232,1631
0.2288,1631
0.2344,1626
0.2401,1629
0.2454,1632
0.2511,1626
0.2567,1627
0.2621,1632
0.2677,1630
0.2733,1625
0.2787,1628
0.2844,1634
0.29,1629
0.2956,1627
0.301,1630
0.3066,1632
0.3123,1627
0.3176,1625
0.3233,1630
0.3289,1633
0.3343,1626
0.3399,1627
0.3456,1633
0.3509,1631
0.3566,1625
0.3622,1627
0.3676,1632
0.3732,1628
0.3789,1623
0.3845,1630
0.3899,1631
0.3955,1628
0.4011,1626
0.4065,1631
0.4121,1634
0.4178,1626
0.4231,1626
0.4288,1632
0.4345,1631
0.4398,1627
0.4454,1629
0.4511,1633
0.4567,1628
0.4621,1627
0.4677,1632
0.4733,1628
0.4787,1628
0.4843,1630
0.49,1631
0.4953,1626
0.501,1627
0.5066,1631
0.5122,1627
0.5176,1628
0.5232,1631
0.5289,1629
0.5345,1625
0.5399,1629
0.5455,1635
0.5512,1629
0.5565,1623
0.5622,1631
0.5678,1632
0.5732,1627
0.5788,1628
0.5844,1633
0.59,1627
0.5954,1626
0.601,1630
0.6067,1634
0.6121,1624
0.6177,1626
0.6233,1632
0.6289,1631
0.6343,1626
0.6399,1627
0.6456,1631
0.6509,1630
0.6565,1627
0.6622,1631
0.6678,1630
0.6732,1628
0.6788,1630
0.6844,1632
0.6898,1626
0.6954,1628
0.7011,1632
0.7067,1630
0.712,1626
0.7177,1629
0.7233,1631
0.7289,1624
0.7343,1629
0.7399,1633
0.7456,1629
0.7509,1629
0.7566,1632
0.7622,1630
0.7678,1625
0.7732,1630
0.7789,1632
0.7842,1629
0.7899,1625
0.7955,1631
0.8012,1633
0.8065,1626
0.8121,1626
0.8177,1633
0.8234,1630
0.8287,1626
0.8343,1627
0.8399,1633
0.8456,1629
0.8512,1626
0.8566,1631
0.8621,1630
0.8677,1628
0.8734,1631
0.8787,1632
0.8844,1626
0.8899,1628
0.8955,1631
0.9012,1629
0.9065,1627
0.9122,1630
0.9177,1631
0.9233,1629
0.9287,1630
0.9343,1631
0.94,1626
0.9455,1628
0.9511,1633
0.9565,1628
0.9622,1629
0.9678,1629
0.9732,1628
0.9788,1629
0.9844,1632
0.9898,1629
0.9954,1626
1.0067,1629
1.0121,1627
1.0177,1627
1.0234,1632
1.0287,1628
1.0344,1628
1.04,1632
1.0456,1631
1.051,1625
1.0566,1628
1.0622,1634
1.0676,1629
1.0732,1625
1.0788,1629
1.0842,1632
1.0898,1626
1.0955,1628
1.1011,1632
1.1065,1631
1.1121,1625
1.1178,1630
1.1231,1633
1.1288,1628
1.1344,1627
1.14,1632
1.1454,1629
1.151,1632
1.1566,1632
1.1623,1626
1.1676,1627
1.1733,1632
1.1789,1628
1.1842,1625
1.1899,1629
1.1955,1634
1.2011,1626
1.2065,1628
1.2122,1633
1.2178,1631
1.2231,1624
1.2288,1632
1.2344,1631
1.2398,1627
1.2454,1628
