Experiment: Feb_25_Turb_expt vial 12, Thu Feb 25 15:27:00 2021
0.0014,56554
0.0066,56550
0.0122,56549
0.0176,56547
0.0232,56558
0.0288,56561
0.0344,56558
0.04,56554
0.0454,56553
0.0509,56553
0.0565,56561
0.0622,56557
0.0677,56563
0.0734,56560
0.0787,56560
0.0843,56561
0.09,56566
0.0956,56551
0.1009,56576
0.1065,56544
0.1121,56550
0.1177,56555
0.1231,56547
0.1287,56546
0.1343,56554
0.1399,56548
0.1453,56545
0.151,56544
0.1566,56550
0.1621,56552
0.1677,56558
0.1731,56553
0.1788,56558
0.1844,56560
0.1899,56565
0.1956,56563
0.201,56556
0.2066,56557
0.2122,56545
0.2176,56549
0.2232,56549
0.2289,56557
0.2342,56561
0.2399,56557
0.2455,56559
0.2511,56555
0.2565,56559
0.2621,56563
0.2677,56563
0.2733,56557
0.2787,56561
0.2843,56562
0.2899,56557
0.2955,56558
0.3011,56561
0.3065,56562
0.3121,56562
0.3177,56561
0.3233,56553
0.3287,56552
0.3343,56558
0.34,56561
0.3456,56557
0.3509,56556
0.3566,56558
0.3622,56560
0.3678,56563
0.3732,56567
0.3788,56562
0.3844,56565
0.3898,56566
0.3954,56568
0.4011,56555
0.4067,56562
0.4121,56564
0.4177,56558
0.4233,56565
0.4287,56558
0.4343,56560
0.4399,56557
0.4456,56558
0.4509,56554
0.4566,56556
0.4622,56566
0.4678,56566
0.4732,56568
0.4788,56566
0.4844,56565
0.4898,56564
0.4954,56564
0.501,56569
0.5067,56569
0.512,56562
0.5176,56563
0.5233,56566
0.5289,56568
0.5343,56562
0.5399,56566
0.5455,56566
0.5511,56565
0.5565,56561
0.5621,56566
0.5678,56567
0.5731,56568
0.5787,56568
0.5844,56564
0.59,56559
0.5954,56563
0.601,56574
0.6066,56568
0.6122,56573
0.6176,56576
0.6232,56576
0.6288,56572
0.6345,56574
0.6398,56579
0.6455,56569
0.6511,56570
0.6567,56571
0.662,56573
0.6677,56575
0.6733,56575
0.6786,56577
0.6843,56572
0.6899,56570
0.6956,56570
0.7009,56574
0.7066,56570
0.7122,56573
0.7175,56572
0.7232,56574
0.7288,56572
0.7344,56569
0.7398,56566
0.7454,56576
0.7511,56570
0.7567,56574
0.762,56570
0.7677,56572
0.7733,56578
0.7787,56568
0.7843,56571
0.7899,56569
0.7953,56572
0.8009,56569
0.8065,56567
0.8122,56569
0.8178,56569
0.8232,56570
0.8288,56567
0.8344,56576
0.8398,56579
0.8454,56571
0.851,56575
0.8567,56575
0.862,56567
0.8676,56568
0.8733,56572
0.8786,56569
0.8843,56571
0.8899,56564
0.8955,56565
0.9009,56563
0.9065,56572
0.9121,56572
0.9178,56578
0.9231,56577
0.9287,56576
0.9344,56577
0.94,56573
0.9453,56575
0.951,56572
0.9566,56573
0.962,56575
0.9676,56570
0.9732,56574
0.9789,56570
0.9842,56569
0.9898,56564
0.9955,56561
1.0011,56567
1.0065,56564
1.0121,56565
1.0177,56561
1.0231,56565
1.0287,56564
1.0343,56565
1.0399,56566
1.0456,56560
1.0509,56560
1.0566,56568
1.0622,56567
1.0676,56565
1.0732,56568
1.0788,56566
1.0844,56557
1.0898,56564
1.0954,56564
1.101,56569
1.1064,56561
1.112,56562
1.1177,56568
1.1233,56571
1.1289,56566
1.1342,56568
1.1399,56572
1.1455,56561
1.1511,56559
1.1565,56569
1.1621,56560
1.1677,56559
1.1731,56560
1.1787,56565
1.1844,56568
1.1897,56569
1.1954,56574
1.201,56566
1.2066,56572
1.212,56571
1.2176,56573
1.2232,56569
1.2289,56569
1.2342,56560
1.2399,56569
1.2455,56568
1.2508,56569
1.2565,56574
1.2621,56566
1.2677,56572
1.2733,56566
1.2787,56568
1.2843,56574
1.2899,56569
1.2956,56569
1.3009,56575
1.3065,56578
1.3122,56579
1.3175,56577
1.3232,56574
1.3288,56571
1.3344,56577
1.3398,56579
1.3454,56575
1.351,56577
1.3567,56581
1.362,56576
1.3676,56578
1.3733,56577
1.3786,56574
1.3842,56573
1.3899,56580
1.3955,56580
1.4009,56577
1.4065,56579
1.4121,56584
1.4175,56576
1.4231,56569
1.4287,56581
1.4344,56575
1.44,56578
1.4454,56577
1.451,56578
1.4566,56581
1.462,56576
1.4676,56569
1.4732,56577
1.4786,56573
1.4842,56576
1.4898,56578
1.4955,56577
1.5011,56563
1.5065,56565
1.5121,56571
1.5177,56571
1.5233,56572
1.5287,56579
1.5343,56577
1.5399,56573
1.5453,56572
1.5509,56575
1.5566,56575
1.5622,56565
1.5676,56574
1.5732,56572
1.5788,56576
1.5842,56583
1.5898,56574
1.5955,56561
1.6008,56570
1.6065,56573
1.6121,56572
1.6177,56569
1.6231,56566
1.6287,56566
1.6343,56562
1.64,56573
1.6453,56574
1.651,56564
1.6566,56565
1.6619,56565
1.6676,56568
1.6732,56572
1.6788,56569
1.6842,56579
1.6898,56576
1.6954,56578
1.7011,56586
1.7064,56579
1.712,56577
1.7176,56586
1.7232,56582
1.7289,56583
1.7342,56585
1.7398,56583
1.7454,56582
1.7511,56580
1.7564,56579
1.7621,56579
1.7676,56586
1.7733,56589
1.7786,56591
1.7843,56588
1.7899,56588
1.7954,56586
1.8011,56587
1.8064,56588
1.8121,56585
1.8177,56588
1.8233,56589
1.8286,56588
1.8342,56572
1.8399,56578
1.8455,56576
1.8511,56585
1.8564,56579
1.8621,56573
1.8677,56579
1.8733,56575
1.8787,56574
1.8843,56567
1.89,56574
1.8953,56576
1.901,56578
1.9066,56565
1.912,56562
1.9176,56566
1.9232,56563
1.9289,56562
1.9342,56553
1.9399,56555
1.9455,56557
1.9509,56554
1.9565,56560
1.9621,56560
1.9678,56552
1.9731,56552
1.9787,56551
1.9844,56550
1.99,56553
1.9953,56558
2.0066,56561
2.012,56553
2.0176,56544
2.0233,56560
2.0289,56553
2.0343,56555
2.0399,56558
2.0455,56556
2.0511,56555
2.0565,56555
2.0621,56558
2.0677,56563
2.0734,56559
2.0787,56551
2.0843,56551
2.09,56558
2.0956,56548
2.1009,56549
2.1066,56553
2.1122,56556
2.1175,56554
2.1232,56553
2.1288,56545
2.1344,56550
2.1398,56553
2.1454,56559
2.1511,56561
2.1567,56555
2.162,56552
2.1677,56544
2.1733,56555
2.1787,56562
2.1843,56563
2.1899,56556
2.1956,56546
2.2009,56547
2.2065,56558
2.2122,56552
2.2178,56552
2.2232,56555
2.2288,56563
2.2344,56554
2.2398,56550
2.2454,56566
2.251,56563
2.2567,56553
2.2621,56550
2.2677,56549
2.2733,56545
2.279,56553
2.2843,56543
2.29,56554
2.2956,56553
2.3009,56556
2.3065,56560
2.3122,56566
2.3178,56567
2.3231,56559
2.3288,56564
2.3344,56563
2.34,56576
2.3454,56575
2.351,56576
2.3566,56585
2.3623,56578
2.3676,56586
2.3732,56586
2.3789,56581
2.3842,56588
2.3899,56583
2.3955,56589
2.4011,56580
2.4065,56583
2.4121,56582
2.4177,56589
2.4234,56588
2.4287,56579
2.4344,56580
2.44,56582
2.4456,56578
2.451,56569
2.4566,56567
2.4622,56576
2.4676,56579
2.4732,56572
2.4788,56561
2.4845,56544
2.4898,56557
2.4954,56568
2.5011,56568
2.5067,56572
2.512,56569
2.5177,56565
2.5233,56568
2.5289,56575
2.5343,56574
2.5399,56576
2.5456,56576
2.5509,56569
2.5566,56566
2.5622,56575
2.5678,56570
2.5732,56572
2.5788,56576
2.5845,56574
2.5898,56577
2.5954,56586
2.601,56578
2.6067,56574
2.6123,56578
2.6176,56581
2.6233,56580
2.6289,56583
2.6345,56586
2.6399,56584
2.6455,56578
2.6511,56580
2.6567,56575
2.6621,56575
2.6677,56583
2.6733,56583
2.679,56579
2.6843,56579
2.6899,56578
2.6956,56582
2.7012,56571
2.7065,56578
2.7122,56580
2.7178,56579
2.7232,56586
2.7288,56581
2.7344,56580
2.74,56575
2.7454,56581
2.751,56582
2.7567,56582
2.7623,56581
2.7676,56582
2.7733,56579
2.7789,56577
2.7843,56578
2.7899,56582
2.7955,56580
2.8012,56578
2.8065,56570
2.8122,56577
2.8178,56579
2.8234,56576
2.8288,56567
2.8344,56568
2.84,56570
2.8454,56572
2.851,56574
2.8566,56578
2.8623,56572
2.8676,56568
2.8733,56568
2.8789,56574
2.8842,56580
2.8899,56579
2.8955,56579
2.9012,56576
2.9065,56578
2.9121,56576
2.9178,56581
2.9234,56584
2.9287,56576
2.9344,56571
2.94,56572
2.9454,56575
2.951,56572
2.9566,56579
2.9623,56577
2.9677,56577
2.9733,56573
2.9789,56575
2.9845,56575
2.9899,56580
2.9955,56580
3.0065,56581
3.0122,56578
3.0178,56582
3.0234,56574
3.0288,56578
3.0344,56575
3.04,56582
3.0456,56571
3.051,56574
3.0566,56577
3.0622,56576
3.0676,56575
3.0733,56578
3.0789,56582
3.0845,56584
3.0899,56573
3.0955,56578
3.1012,56582
3.1065,56577
3.1121,56578
3.1178,56581
3.1234,56579
3.1287,56583
3.1344,56582
3.14,56582
3.1456,56578
3.151,56573
3.1566,56580
3.1623,56579
3.1676,56579
3.1733,56581
3.1789,56583
3.1843,56584
3.1899,56583
3.1955,56579
3.2012,56583
3.2065,56578
3.2122,56579
3.2178,56578
3.2234,56574
3.2288,56579
3.2343,56566
3.2399,56570
3.2455,56572
3.2511,56568
3.2567,56571
3.2621,56579
3.2677,56567
3.2734,56578
3.2787,56559
3.2843,56548
3.2899,56558
3.2955,56545
3.3011,56549
3.3065,56543
3.3121,56541
3.3177,56533
3.3233,56517
3.3289,56538
3.3343,56531
3.3399,56534
3.3455,56522
3.3511,56524
3.3567,56522
3.3621,56531
3.3677,56526
3.3733,56525
3.3789,56539
3.3843,56528
3.3899,56519
3.3955,56518
3.4011,56530
3.4067,56522
3.4121,56524
3.4177,56517
3.4233,56510
3.4289,56505
3.4345,56507
3.4399,56515
3.4455,56510
3.4512,56506
3.4565,56505
3.4622,56507
3.4678,56512
3.4732,56507
3.4788,56507
3.4845,56508
3.4901,56511
3.4954,56508
3.5011,56515
3.5067,56505
3.5121,56511
3.5177,56520
3.5233,56517
3.529,56519
3.5343,56515
3.5399,56516
3.5456,56511
3.5512,56506
3.5565,56517
3.5622,56510
3.5678,56517
3.5732,56505
3.5788,56505
3.5844,56508
3.5901,56510
3.5954,56506
3.601,56503
3.6067,56508
3.6123,56508
3.6177,56501
3.6233,56527
3.6289,56514
3.6343,56512
3.6399,56513
3.6455,56515
3.6511,56521
3.6565,56524
3.6621,56528
3.6678,56519
3.6734,56515
3.6788,56523
3.6844,56523
3.69,56516
3.6954,56516
3.701,56523
3.7067,56521
3.712,56516
3.7176,56504
3.7233,56505
3.7289,56504
3.7345,56506
3.7399,56511
3.7455,56513
3.7511,56508
3.7565,56508
3.7621,56514
3.7678,56515
3.7731,56523
3.7788,56526
3.7844,56517
3.79,56508
3.7954,56520
3.801,56527
3.8066,56527
3.8122,56526
3.8179,56529
3.8232,56526
3.8288,56517
3.8345,56520
3.8398,56520
3.8454,56534
3.8511,56531
3.8567,56527
3.8623,56521
3.8677,56521
3.8733,56526
3.8789,56535
3.8843,56537
3.8899,56525
3.8956,56540
3.9012,56528
3.9065,56535
3.9122,56519
3.9178,56523
3.9234,56523
3.9288,56529
3.9344,56528
3.94,56515
3.9454,56520
3.951,56524
3.9567,56519
3.9623,56520
3.9677,56517
3.9733,56526
3.9789,56527
3.9843,56538
3.9899,56542
3.9956,56546
4.0009,56543
4.0066,56550
4.0123,56540
4.0176,56536
4.0232,56534
4.0289,56540
4.0345,56542
4.0399,56553
4.0455,56553
4.0511,56563
4.0565,56557
4.0621,56563
4.0677,56543
4.0734,56551
4.0787,56567
4.0844,56551
4.09,56559
4.0956,56555
4.101,56561
4.1066,56559
4.1123,56551
4.1176,56559
4.1232,56561
4.1289,56557
4.1345,56549
4.1398,56542
4.1455,56537
4.1511,56547
4.1565,56543
4.1621,56538
4.1677,56543
4.1734,56545
4.179,56537
4.1843,56533
4.19,56535
4.1956,56545
4.2009,56541
4.2066,56548
4.2122,56536
4.2178,56544
4.2232,56544
4.2288,56551
4.2345,56543
4.2398,56530
4.2454,56541
4.2511,56535
4.2567,56535
4.262,56534
4.2677,56549
4.2733,56542
4.2787,56536
4.2843,56533
4.2899,56539
4.2956,56544
4.3009,56538
4.3065,56544
4.3121,56531
4.3178,56529
4.3234,56525
4.3288,56535
4.3344,56522
4.34,56520
4.3454,56524
4.351,56522
4.3567,56522
4.362,56528
4.3676,56525
4.3733,56525
4.3789,56534
4.3843,56530
4.3899,56523
4.3955,56523
4.4012,56526
4.4065,56524
4.4121,56522
4.4178,56516
4.4234,56528
4.4287,56533
4.4344,56545
4.44,56532
4.4456,56520
4.4509,56534
4.4565,56532
4.4622,56531
4.4678,56524
4.4731,56537
4.4788,56548
4.4844,56541
4.49,56549
4.4954,56542
4.501,56549
4.5066,56539
4.5123,56538
4.5176,56542
4.5233,56542
4.5289,56544
4.5342,56547
4.5399,56548
4.5455,56555
4.5511,56551
4.5565,56546
4.5621,56554
4.5678,56552
4.5734,56557
4.5787,56562
4.5844,56562
4.59,56563
4.5954,56565
4.601,56564
4.6066,56566
4.6123,56565
4.6176,56568
4.6232,56565
4.6289,56572
4.6345,56569
4.6398,56575
4.6455,56575
4.6511,56571
4.6567,56572
4.6621,56578
4.6677,56575
4.6734,56576
4.6787,56573
4.6843,56571
4.69,56583
4.6956,56579
4.7009,56576
4.7066,56577
4.7122,56577
4.7178,56579
4.7232,56571
4.7288,56575
4.7344,56576
4.7401,56565
4.7454,56568
4.751,56571
4.7565,56573
4.7621,56576
4.7677,56573
4.7733,56566
4.7787,56572
4.7843,56570
4.7899,56562
4.7955,56572
4.8009,56569
4.8065,56570
4.8121,56573
4.8177,56574
4.8233,56575
4.8287,56571
4.8343,56577
4.8399,56572
4.8455,56576
4.8512,56577
4.8565,56579
4.8622,56576
4.8677,56577
4.8734,56577
4.8787,56573
4.8843,56575
4.89,56577
4.8955,56578
4.9011,56573
4.9065,56575
4.9121,56577
4.9178,56577
4.9233,56570
4.9287,56577
4.9343,56575
4.9399,56574
4.9456,56575
4.9509,56572
4.9565,56573
4.9622,56572
4.9676,56568
4.9732,56571
4.9788,56577
4.9844,56579
4.9898,56575
4.9954,56574
5.001,56576
5.0067,56580
5.012,56576
5.0177,56578
5.0233,56573
5.0289,56575
5.0343,56577
5.0399,56578
5.0455,56582
5.0511,56577
5.0565,56579
5.0621,56585
5.0678,56584
5.0731,56583
5.0787,56582
5.0844,56587
5.09,56581
5.0954,56582
