Experiment: Feb_25_Turb_expt vial 2, Thu Feb 25 15:27:00 2021
0.0014,1613
0.0066,1609
0.0122,1606
0.0176,1607
0.0232,1610
0.0288,1608
0.0344,1609
0.04,1606
0.0454,1607
0.0509,1609
0.0565,1605
0.0622,1610
0.0677,1610
0.0734,1605
0.0787,1606
0.0843,1610
0.09,1605
0.0956,1608
0.1009,1611
0.1065,1605
0.1121,1607
0.1177,1611
0.1231,1608
0.1287,1602
0.1343,1609
0.1399,1609
0.1453,1605
0.151,1608
0.1566,1610
0.1621,1607
0.1677,1610
0.1731,1610
0.1788,1605
0.1844,1607
0.1899,1610
0.1956,1609
0.201,1607
0.2066,1611
0.2122,1611
0.2176,1605
0.2232,1605
0.2289,1610
0.2342,1613
0.2399,1604
0.2455,1608
0.2511,1609
0.2565,1606
0.2621,1606
0.2677,1609
0.2733,1605
0.2787,1607
0.2843,1612
0.2899,1607
0.2955,1606
0.3011,1609
0.3065,1609
0.3121,1605
0.3177,1610
0.3233,1609
0.3287,1605
0.3343,1609
0.34,1610
0.3456,1606
0.3509,1609
0.3566,1609
0.3622,1605
0.3678,1607
0.3732,1611
0.3788,1606
0.3844,1604
0.3898,1611
0.3954,1611
0.4011,1604
0.4067,1609
0.4121,1610
0.4177,1606
0.4233,1609
0.4287,1611
0.4343,1605
0.4399,1607
0.4456,1612
0.4509,1607
0.4566,1604
0.4622,1608
0.4678,1608
0.4732,1604
0.4788,1607
0.4844,1612
0.4898,1606
0.4954,1605
0.501,1611
0.5067,1610
0.512,1605
0.5176,1610
0.5233,1610
0.5289,1606
0.5343,1608
0.5399,1610
0.5455,1609
0.5511,1610
0.5565,1610
0.5621,1611
0.5678,1607
0.5731,1608
0.5787,1611
0.5844,1607
0.59,1607
0.5954,1612
0.601,1606
0.6066,1606
0.6122,1610
0.6176,1611
0.6232,1605
0.6288,1607
0.6345,1611
0.6398,1607
0.6455,1606
0.6511,1611
0.6567,1611
0.662,1606
0.6677,1609
0.6733,1611
0.6786,1606
0.6843,1608
0.6899,1612
0.6956,1608
0.7009,1604
0.7066,1607
0.7122,1610
0.7175,1606
0.7232,1608
0.7288,1611
0.7344,1608
0.7398,1608
0.7454,1610
0.7511,1605
0.7567,1607
0.762,1610
0.7677,1607
0.7733,1605
0.7787,1611
0.7843,1607
0.7899,1607
0.7953,1610
0.8009,1608
0.8065,1608
0.8122,1610
0.8178,1610
0.8232,1605
0.8288,1610
0.8344,1610
0.8398,1604
0.8454,1609
0.851,1611
0.8567,1605
0.862,1606
0.8676,1611
0.8733,1606
0.8786,1608
0.8843,1612
0.8899,1606
0.8955,1607
0.9009,1611
0.9065,1606
0.9121,1605
0.9178,1611
0.9231,1606
0.9287,1604
0.9344,1610
0.94,1609
0.9453,1603
0.951,1607
0.9566,1611
0.962,1606
0.9676,1607
0.9732,1610
0.9789,1608
0.9842,1604
0.9898,1609
0.9955,1611
1.0011,1605
1.0065,1609
1.0121,1612
1.0177,1607
1.0231,1606
1.0287,1610
1.0343,1609
1.0399,1605
1.0456,1608
1.0509,1610
1.0566,1606
1.0622,1607
1.0676,1611
1.0732,1606
1.0788,1608
1.0844,1612
1.0898,1608
1.0954,1605
1.101,1610
1.1064,1608
1.112,1604
1.1177,1608
1.1233,1613
1.1289,1608
1.1342,1606
1.1399,1611
1.1455,1608
1.1511,1606
1.1565,1611
1.1621,1611
1.1677,1606
1.1731,1606
1.1787,1612
1.1844,1608
1.1897,1603
1.1954,1610
1.201,1610
1.2066,1605
1.212,1608
1.2176,1616
1.2232,1606
1.2289,1607
1.2342,1612
1.2399,1608
1.2455,1606
1.2508,1610
1.2565,1609
1.2621,1605
1.2677,1606
1.2733,1611
1.2787,1607
1.2843,1606
1.2899,1612
1.2956,1610
1.3009,1604
1.3065,1605
1.3122,1612
1.3175,1609
1.3232,1606
1.3288,1610
1.3344,1610
1.3398,1604
1.3454,1606
1.351,1612
1.3567,1606
1.362,1606
1.3676,1610
1.3733,1607
1.3786,1605
1.3842,1612
1.3899,1610
1.3955,1603
1.4009,1607
1.4065,1611
1.4121,1605
1.4175,1607
1.4231,1608
1.4287,1606
1.4344,1608
1.44,1613
1.4454,1606
1.451,1608
1.4566,1612
1.462,1607
1.4676,1605
1.4732,1611
1.4786,1608
1.4842,1605
1.4898,1610
1.4955,1607
1.5011,1604
1.5065,1609
1.5121,1609
1.5177,1604
1.5233,1609
1.5287,1609
1.5343,1608
1.5399,1609
1.5453,1608
1.5509,1606
1.5566,1607
1.5622,1608
1.5676,1607
1.5732,1609
1.5788,1609
1.5842,1606
1.5898,1610
1.5955,1607
1.6008,1605
1.6065,1609
1.6121,1609
1.6177,1606
1.6231,1611
1.6287,1610
1.6343,1604
1.64,1608
1.6453,1611
1.651,1606
1.6566,1608
1.6619,1614
1.6676,1606
1.6732,1605
1.6788,1610
1.6842,1609
1.6898,1605
1.6954,1608
1.7011,1612
1.7064,1606
1.712,1606
1.7176,1610
1.7232,1606
1.7289,1607
1.7342,1609
1.7398,1609
1.7454,1606
1.7511,1609
1.7564,1610
1.7621,1604
1.7676,1608
1.7733,1610
1.7786,1606
1.7843,1607
1.7899,1612
1.7954,1608
1.8011,1607
1.8064,1611
1.8121,1608
1.8177,1607
1.8233,1611
1.8286,1609
1.8342,1606
1.8399,1607
1.8455,1611
1.8511,1605
1.8564,1607
1.8621,1612
1.8677,1608
1.8733,1609
1.8787,1611
1.8843,1605
1.89,1605
1.8953,1611
1.901,1609
1.9066,1607
1.912,1607
1.9176,1612
1.9232,1606
1.9289,1606
1.9342,1612
1.9399,1608
1.9455,1609
1.9509,1610
1.9565,1607
1.9621,1607
1.9678,1610
1.9731,1607
1.9787,1606
1.9844,1611
1.99,1606
1.9953,1606
2.0066,1607
2.012,1607
2.0176,1610
2.0233,1611
2.0289,1607
2.0343,1611
2.0399,1609
2.0455,1606
2.0511,1607
2.0565,1609
2.0621,1605
2.0677,1608
2.0734,1610
2.0787,1606
2.0843,1607
2.09,1610
2.0956,1607
2.1009,1606
2.1066,1611
2.1122,1608
2.1175,1605
2.1232,1611
2.1288,1610
2.1344,1605
2.1398,1609
2.1454,1610
2.1511,1608
2.1567,1606
2.162,1611
2.1677,1608
2.1733,1605
2.1787,1611
2.1843,1609
2.1899,1603
2.1956,1609
2.2009,1610
2.2065,1607
2.2122,1607
2.2178,1610
2.2232,1605
2.2288,1609
2.2344,1610
2.2398,1607
2.2454,1606
2.251,1612
2.2567,1608
2.2621,1605
2.2677,1610
2.2733,1610
2.279,1605
2.2843,1608
2.29,1611
2.2956,1608
2.3009,1607
2.3065,1610
2.3122,1609
2.3178,1605
2.3231,1611
2.3288,1608
2.3344,1607
2.34,1609
2.3454,1610
2.351,1605
2.3566,1605
2.3623,1611
2.3676,1608
2.3732,1605
2.3789,1610
2.3842,1608
2.3899,1605
2.3955,1607
2.4011,1609
2.4065,1605
2.4121,1607
2.4177,1612
2.4234,1607
2.4287,1604
2.4344,1611
2.44,1610
2.4456,1606
2.451,1610
2.4566,1606
2.4622,1606
2.4676,1615
2.4732,1605
2.4788,1606
2.4845,1609
2.4898,1610
2.4954,1605
2.5011,1610
2.5067,1610
2.512,1606
2.5177,1607
2.5233,1611
2.5289,1608
2.5343,1605
2.5399,1613
2.5456,1608
2.5509,1605
2.5566,1608
2.5622,1610
2.5678,1604
2.5732,1607
2.5788,1611
2.5845,1604
2.5898,1607
2.5954,1612
2.601,1607
2.6067,1607
2.6123,1611
2.6176,1608
2.6233,1606
2.6289,1610
2.6345,1611
2.6399,1606
2.6455,1609
2.6511,1610
2.6567,1605
2.6621,1606
2.6677,1612
2.6733,1606
2.679,1607
2.6843,1610
2.6899,1608
2.6956,1605
2.7012,1609
2.7065,1611
2.7122,1604
2.7178,1606
2.7232,1610
2.7288,1609
2.7344,1607
2.74,1611
2.7454,1609
2.751,1607
2.7567,1611
2.7623,1608
2.7676,1609
2.7733,1611
2.7789,1609
2.7843,1606
2.7899,1612
2.7955,1609
2.8012,1605
2.8065,1608
2.8122,1611
2.8178,1607
2.8234,1608
2.8288,1612
2.8344,1607
2.84,1607
