Experiment: Feb_26_Turb_expt vial 3, Fri Feb 26 16:54:25 2021
0.0055,54982
0.0111,54982
0.0168,54987
0.0221,55013
0.0277,55017
0.0334,55021
0.0387,55041
0.0444,55046
0.05,55057
0.0556,55070
0.061,55067
0.0666,55088
0.0723,55084
0.0776,55064
0.0833,55067
0.0889,55045
0.0945,55046
0.0999,55037
0.1055,55033
0.1111,55024
0.1168,55025
0.1221,55006
0.1278,55015
0.1334,55011
0.1387,55006
0.1444,55001
0.15,54994
0.1556,54997
0.161,54996
0.1666,55006
0.1723,54991
0.1776,54986
0.1833,55003
0.1889,55020
0.1945,55012
0.1999,55011
0.2055,55009
0.2111,55006
0.2167,55018
0.2221,55001
0.2277,55005
0.2334,55009
0.239,55011
0.2443,55006
0.2499,55002
0.2556,55001
0.2612,55009
0.2665,55009
0.2722,54999
0.2778,55003
0.2834,55008
0.2888,55002
0.2944,55006
0.3,55001
0.3057,55007
0.311,55004
0.3166,54999
0.3223,55001
0.3279,55002
0.3332,55001
0.3389,55002
0.3445,55007
0.3499,55005
0.3555,54997
0.3611,55004
0.3668,55004
0.3724,54999
0.3777,54999
0.3834,55000
0.389,54996
0.3943,55000
0.4,55003
0.4056,54997
0.411,54997
0.4166,54993
0.4222,54998
0.4279,54992
0.4333,54984
0.4389,54990
0.4445,54997
0.4499,54996
0.4555,54994
0.4612,54993
0.4668,54991
0.4722,54995
0.4778,54992
0.4834,55001
0.4888,54998
0.4944,54992
0.5,54996
0.5057,54997
0.511,54989
0.5166,54994
0.5223,54996
0.5279,54999
0.5332,54993
0.5389,54993
0.5445,54996
0.5501,54993
0.5555,54990
0.5611,54997
0.5668,54988
0.5724,54983
0.5777,54991
0.5834,54997
0.589,54991
0.5943,55001
0.5999,54999
0.6056,54998
0.6112,55002
0.6166,54996
0.6222,54997
0.6278,55001
0.6335,55001
0.6388,55001
0.6444,54992
0.6501,54999
0.6557,55003
0.6611,54997
0.6667,54985
0.6723,54983
0.6777,54996
0.6833,54994
0.6889,54990
0.6946,55002
0.6999,54992
0.7055,54992
0.7112,54982
0.7168,54985
0.7222,54993
0.7278,55000
0.7334,54987
0.7388,54999
0.7444,54985
0.7499,54987
0.7555,54991
0.7611,54984
0.7668,54989
0.7721,54993
0.7777,54995
0.7833,54997
0.7889,54997
0.7946,55000
0.7999,54997
0.8055,54994
0.8111,54987
0.8167,54994
0.8224,54989
0.8277,54983
0.8333,54991
0.8389,54987
0.8446,54994
0.8499,54994
0.8555,54990
0.8611,54989
0.8667,54990
0.8724,54988
0.8778,54996
0.8834,54993
0.8889,54994
0.8945,55004
0.9002,54994
0.9055,54995
0.9112,54998
0.9167,54989
0.9223,54997
0.9277,55003
0.9333,54995
0.939,54992
0.9445,54993
0.9502,54995
0.9555,54998
0.9611,54994
0.9668,54993
0.9721,54998
0.9778,54990
0.9834,55000
0.9888,55002
0.9944,54992
1.0001,55004
1.0055,54998
1.0111,54999
1.0167,55004
1.0223,54988
1.0277,54992
1.0333,55001
1.039,54995
1.0446,54996
1.05,54997
1.0556,54986
1.0612,54993
1.0668,54997
1.0722,54992
1.0778,54987
1.0834,54989
1.0888,54994
1.0944,54987
1.1,54989
1.1056,54991
1.1113,54992
1.1166,54987
1.1222,54982
1.1279,54991
1.1335,54996
1.1388,54986
1.1445,54990
1.1501,54991
1.1557,54992
1.1611,54993
1.1667,54995
1.1723,54988
1.1779,54990
1.1833,54997
1.1889,54992
1.1946,54998
1.1999,55003
1.2056,54998
1.2112,55006
1.2168,54998
1.2222,55001
1.2278,55002
1.2335,54997
1.2388,54996
1.2445,55006
1.2501,54998
1.2554,54993
1.2611,54997
1.2667,54995
1.2724,54994
1.2777,55000
1.2833,54997
1.289,55004
1.2946,55002
1.3,55002
1.3056,55000
1.3112,54999
1.3166,55001
1.3222,54999
1.3279,54994
1.3335,54998
1.3388,55002
1.3445,54999
1.3501,54995
1.3555,55000
1.3611,55000
1.3667,55003
1.3724,54999
1.3777,54995
1.3834,55000
1.389,55003
1.3946,54983
1.3999,54996
1.4056,54993
1.4112,54998
1.4168,54996
1.4222,54996
1.4278,55000
1.4334,55000
1.439,54990
1.4446,54996
1.45,54998
1.4556,54992
1.4613,54992
1.4666,54998
1.4723,54999
1.4779,54997
1.4832,54990
1.4889,54995
1.4945,54997
1.5001,54997
1.5058,55002
1.5111,54997
1.5168,55001
1.5224,55004
1.5278,54993
1.5334,54997
1.539,55000
1.5444,54994
1.55,54997
1.5556,54987
1.5613,54986
1.5666,55001
1.5723,54987
1.5779,54995
1.5835,54998
1.5889,54987
1.5945,54994
1.6001,54999
1.6055,54987
1.6111,54990
1.6167,54993
1.6224,55000
1.6277,54995
1.6334,54996
1.639,54998
1.6446,54997
1.65,54994
1.6556,54997
1.6612,55000
1.6666,55003
1.6722,54999
1.6778,55001
1.6834,54998
1.6888,54989
1.6944,54996
1.7,54993
1.7057,54999
1.7113,54997
1.7166,54991
1.7222,54995
1.7279,54999
1.7335,54996
1.7388,55000
1.7445,54999
1.7501,54996
1.7557,54993
1.7611,55000
1.7667,54996
1.7724,54998
1.7777,54998
1.7834,55002
1.789,54995
1.7943,54997
1.8,54993
1.8056,54996
1.8112,54998
1.8169,54997
1.8222,55002
1.8278,54999
1.8335,54998
1.8388,54997
1.8444,54994
1.8501,54992
1.8555,54995
1.8611,54995
1.8667,54994
1.8724,54987
1.8777,54990
1.8834,54993
1.889,54985
1.8946,54994
1.9,54996
1.9056,54987
1.9112,54992
1.9166,54989
1.9222,54983
1.9278,54986
1.9335,54988
1.9388,54986
1.9445,54992
1.9501,54993
1.9557,54989
1.9611,54990
1.9667,54989
1.9723,54992
1.978,54987
1.9833,54991
1.9889,54992
1.9945,54994
2.0002,54986
2.0056,54988
2.0112,54988
2.0168,54988
2.0222,54996
2.0278,54987
2.0334,54989
2.039,54989
2.0446,54982
2.05,54981
2.0556,54987
2.0613,54987
2.0666,54984
2.0722,54986
2.0779,54986
2.0832,54984
2.0889,54981
2.0945,54985
2.0999,54982
2.1056,54983
2.1112,54981
2.1168,54982
2.1221,54982
2.1278,54983
2.1332,54978
2.1389,54984
2.1445,54982
2.1499,54985
2.1556,54987
2.1612,54981
2.1666,54989
2.1722,54986
2.1779,54981
2.1833,54979
2.1889,54985
2.1945,54981
2.1999,54982
2.2056,54981
2.2112,54980
2.2166,54986
2.2222,54981
2.2279,54983
2.2333,54977
2.2389,54980
2.2445,54975
2.2499,54977
2.2556,54976
2.2612,54974
2.2666,54982
2.2722,54978
2.2779,54978
2.2833,54976
2.2889,54984
2.2945,54979
2.2999,54977
2.3055,54977
2.3111,54976
2.3166,54986
2.3223,54978
2.3277,54982
2.3333,54984
2.3389,54980
2.3446,54980
2.35,54982
2.3555,54981
2.3612,54981
2.3666,54985
2.3723,54978
2.3779,54977
2.3833,54983
2.389,54973
2.3946,54983
2.3999,54988
2.4056,54981
2.4111,54971
2.4167,54975
2.4223,54967
2.4279,54982
2.4333,54980
2.4389,54977
2.4445,54986
2.45,54980
2.4556,54984
2.4612,54988
2.4667,54981
2.4723,54993
2.4779,54985
2.4833,54986
2.4889,54986
2.4945,54990
2.5,54982
2.5056,54987
2.5113,54983
2.5166,54985
2.5222,54985
2.5279,54987
2.5334,54979
2.539,54981
2.5446,54978
2.55,54973
2.5556,54983
2.5613,54982
2.5666,54978
2.5723,54988
2.5779,54977
2.5834,54983
2.589,54984
2.5946,54985
2.6,54982
2.6056,54981
2.6112,54984
2.6166,54980
2.6222,54975
2.6278,54980
2.6334,54981
2.639,54981
2.6446,54974
2.65,54982
2.6556,54980
2.6613,54977
2.6666,54973
2.6722,54981
2.6779,54978
2.6834,54978
2.689,54973
2.6946,54971
2.7,54972
2.7056,54973
2.7113,54972
2.7166,54972
2.7222,54977
2.7279,54972
2.7334,54963
2.739,54966
2.7444,54974
2.75,54971
2.7557,54975
2.7613,54977
2.7666,54970
2.7723,54972
2.7779,54978
2.7833,54967
2.7889,54976
2.7945,54972
2.8001,54974
2.8057,54978
2.8111,54980
2.8167,54977
2.8223,54978
2.828,54975
2.8333,54976
2.8389,54975
2.8445,54972
2.8501,54970
2.8557,54974
2.8611,54965
2.8667,54973
2.8723,54976
2.8779,54975
2.8833,54978
2.8889,54976
2.8945,54965
2.9001,54975
2.9057,54968
2.9111,54972
2.9167,54974
2.9223,54975
2.9277,54973
2.9333,54974
2.939,54981
2.9446,54980
2.9499,54977
2.9556,54978
2.9612,54969
2.9668,54972
2.9721,54979
2.9778,54977
2.9834,54978
2.989,54979
2.9944,54979
3.0,54979
3.0057,54975
3.011,54976
3.0166,54976
3.0223,54974
3.0279,54975
3.0332,54977
3.0389,54970
3.0445,54976
3.0501,54978
3.0555,54978
3.0611,54974
3.0668,54976
3.0721,54976
3.0778,54970
3.0834,54976
3.089,54978
3.0944,54971
3.1,54979
3.1056,54981
3.1112,54974
3.1166,54968
3.1222,54971
3.1279,54976
3.1335,54973
3.1388,54966
3.1445,54975
3.1501,54973
3.1555,54972
3.1611,54980
3.1667,54977
3.1723,54978
3.1777,54978
3.1833,54980
3.189,54977
3.1946,54978
3.1999,54971
3.2056,54973
3.2112,54977
3.2168,54976
3.2222,54976
3.2278,54975
3.2334,54978
3.239,54982
3.2444,54973
3.25,54980
3.2556,54981
3.2613,54972
3.2666,54981
3.2722,54976
3.2779,54979
3.2832,54981
3.2888,54976
3.2945,54972
3.3001,54982
3.3055,54980
3.3111,54975
3.3168,54981
3.3224,54982
3.3277,54976
3.3334,54975
3.339,54976
3.3444,54981
3.35,54982
3.3556,54981
3.361,54984
3.3667,54980
3.3723,54974
3.3779,54976
3.3833,54980
3.3889,54986
3.3945,54987
3.4002,54988
3.4055,54990
3.4112,54988
3.4166,54987
3.4222,54983
3.4278,54980
3.4335,54976
3.4388,54978
3.4445,54988
3.4501,54980
3.4557,54977
3.4611,54981
3.4667,54976
3.4723,54983
3.4777,54981
3.4833,54980
3.489,54983
3.4943,54993
3.5,54989
3.5056,54987
3.5113,54984
3.5166,54982
3.5223,54991
3.5279,54980
3.5333,54978
3.5389,54982
3.5445,54984
