Experiment: Feb_26_Turb_expt vial 5, Fri Feb 26 16:54:25 2021
0.0055,1608
0.0111,1610
0.0168,1614
0.0221,1610
0.0277,1613
0.0334,1612
0.0387,1610
0.0444,1615
0.05,1614
0.0556,1610
0.061,1614
0.0666,1612
0.0723,1611
0.0776,1614
0.0833,1610
0.0889,1613
0.0945,1612
0.0999,1609
0.1055,1612
0.1111,1613
0.1168,1610
0.1221,1616
0.1278,1611
0.1334,1608
0.1387,1615
0.1444,1612
0.15,1610
0.1556,1614
0.161,1611
0.1666,1612
0.1723,1613
0.1776,1608
0.1833,1613
0.1889,1613
0.1945,1610
0.1999,1614
0.2055,1611
0.2111,1614
0.2167,1615
0.2221,1610
0.2277,1613
0.2334,1614
0.239,1610
0.2443,1609
0.2499,1614
0.2556,1610
0.2612,1611
0.2665,1615
0.2722,1608
0.2778,1610
0.2834,1614
0.2888,1609
0.2944,1614
0.3,1614
0.3057,1609
0.311,1611
0.3166,1611
0.3223,1608
0.3279,1612
0.3332,1611
0.3389,1609
0.3445,1615
0.3499,1611
0.3555,1611
0.3611,1615
0.3668,1611
0.3724,1611
0.3777,1613
0.3834,1609
0.389,1611
0.3943,1613
0.4,1609
0.4056,1613
0.411,1615
0.4166,1608
0.4222,1610
0.4279,1616
0.4333,1607
0.4389,1609
0.4445,1614
0.4499,1611
0.4555,1608
0.4612,1615
0.4668,1614
0.4722,1609
0.4778,1612
0.4834,1611
0.4888,1609
0.4944,1612
0.5,1612
0.5057,1611
0.511,1615
0.5166,1610
0.5223,1611
0.5279,1615
0.5332,1609
0.5389,1612
0.5445,1613
0.5501,1610
0.5555,1611
0.5611,1613
0.5668,1610
0.5724,1612
0.5777,1613
0.5834,1608
0.589,1613
0.5943,1615
0.5999,1608
0.6056,1612
0.6112,1611
0.6166,1608
0.6222,1613
0.6278,1615
0.6335,1611
0.6388,1613
0.6444,1612
0.6501,1610
0.6557,1612
0.6611,1611
0.6667,1612
0.6723,1614
0.6777,1610
0.6833,1611
0.6889,1615
0.6946,1609
0.6999,1613
0.7055,1613
0.7112,1608
0.7168,1614
0.7222,1613
0.7278,1609
0.7334,1615
0.7388,1613
0.7444,1607
0.7499,1611
0.7555,1613
0.7611,1611
0.7668,1614
0.7721,1610
0.7777,1611
0.7833,1614
0.7889,1609
0.7946,1613
0.7999,1613
0.8055,1610
0.8111,1613
0.8167,1613
0.8224,1611
0.8277,1613
0.8333,1612
0.8389,1609
0.8446,1614
0.8499,1610
0.8555,1610
0.8611,1614
0.8667,1609
0.8724,1612
0.8778,1612
0.8834,1611
0.8889,1615
0.8945,1610
0.9002,1610
0.9055,1613
0.9112,1612
0.9167,1610
0.9223,1612
0.9277,1611
0.9333,1614
0.939,1613
0.9445,1610
0.9502,1612
0.9555,1613
0.9611,1610
0.9668,1613
0.9721,1614
0.9778,1611
0.9834,1615
0.9888,1610
0.9944,1610
1.0001,1613
1.0055,1612
1.0111,1612
1.0167,1613
1.0223,1608
1.0277,1614
1.0333,1613
1.039,1610
1.0446,1614
1.05,1611
1.0556,1609
1.0612,1614
1.0668,1614
1.0722,1608
1.0778,1616
1.0834,1609
1.0888,1608
1.0944,1613
1.1,1610
1.1056,1610
1.1113,1615
1.1166,1610
1.1222,1609
1.1279,1615
1.1335,1610
1.1388,1610
1.1445,1614
1.1501,1608
1.1557,1610
1.1611,1612
1.1667,1612
1.1723,1610
1.1779,1613
1.1833,1612
1.1889,1611
1.1946,1614
1.1999,1609
1.2056,1615
1.2112,1613
1.2168,1611
1.2222,1614
1.2278,1609
1.2335,1611
1.2388,1614
1.2445,1611
1.2501,1613
1.2554,1611
1.2611,1612
1.2667,1612
1.2724,1609
1.2777,1615
1.2833,1611
1.289,1610
1.2946,1614
1.3,1611
1.3056,1609
1.3112,1613
1.3166,1610
1.3222,1610
1.3279,1614
1.3335,1609
1.3388,1614
1.3445,1612
1.3501,1612
1.3555,1613
1.3611,1613
1.3667,1610
1.3724,1612
1.3777,1614
1.3834,1610
1.389,1613
1.3946,1612
1.3999,1610
1.4056,1614
1.4112,1612
1.4168,1610
1.4222,1612
1.4278,1613
1.4334,1610
1.439,1613
1.4446,1610
1.45,1609
1.4556,1614
1.4613,1610
1.4666,1611
1.4723,1617
1.4779,1611
1.4832,1609
1.4889,1614
1.4945,1608
1.5001,1610
1.5058,1614
1.5111,1612
1.5168,1614
1.5224,1611
1.5278,1609
1.5334,1613
1.539,1609
1.5444,1612
1.55,1615
1.5556,1611
1.5613,1610
1.5666,1613
1.5723,1610
1.5779,1610
1.5835,1614
1.5889,1608
1.5945,1609
1.6001,1615
1.6055,1609
1.6111,1613
1.6167,1615
1.6224,1607
1.6277,1612
1.6334,1613
1.639,1609
1.6446,1613
1.65,1613
1.6556,1610
1.6612,1613
1.6666,1610
1.6722,1612
1.6778,1613
1.6834,1608
1.6888,1613
1.6944,1614
1.7,1610
1.7057,1614
1.7113,1612
1.7166,1609
1.7222,1612
1.7279,1614
1.7335,1609
1.7388,1611
1.7445,1613
1.7501,1612
1.7557,1612
1.7611,1613
1.7667,1610
1.7724,1612
1.7777,1611
1.7834,1612
1.789,1613
1.7943,1609
1.8,1614
1.8056,1610
1.8112,1610
1.8169,1613
1.8222,1611
1.8278,1611
1.8335,1613
1.8388,1611
1.8444,1611
1.8501,1614
1.8555,1610
1.8611,1610
1.8667,1613
1.8724,1611
1.8777,1610
1.8834,1615
1.889,1610
1.8946,1611
1.9,1615
1.9056,1609
1.9112,1610
1.9166,1613
1.9222,1610
1.9278,1612
1.9335,1613
1.9388,1608
1.9445,1611
1.9501,1613
1.9557,1610
1.9611,1611
1.9667,1611
1.9723,1610
1.978,1615
1.9833,1612
1.9889,1612
1.9945,1614
2.0002,1611
2.0056,1611
2.0112,1615
2.0168,1609
2.0222,1613
2.0278,1614
2.0334,1611
2.039,1612
2.0446,1614
2.05,1610
2.0556,1611
2.0613,1615
2.0666,1611
2.0722,1613
2.0779,1613
2.0832,1611
2.0889,1614
2.0945,1611
2.0999,1610
2.1056,1614
2.1112,1609
2.1168,1612
2.1221,1613
2.1278,1608
2.1332,1610
2.1389,1613
2.1445,1610
2.1499,1613
2.1556,1611
2.1612,1610
2.1666,1612
2.1722,1611
2.1779,1610
2.1833,1615
2.1889,1612
2.1945,1610
2.1999,1613
2.2056,1610
2.2112,1611
2.2166,1614
2.2222,1609
2.2279,1608
2.2333,1613
2.2389,1609
2.2445,1610
2.2499,1614
2.2556,1609
2.2612,1612
2.2666,1613
2.2722,1608
2.2779,1613
2.2833,1613
2.2889,1609
2.2945,1613
2.2999,1612
2.3055,1610
2.3111,1614
2.3166,1613
2.3223,1609
2.3277,1616
2.3333,1610
2.3389,1611
2.3446,1614
2.35,1611
2.3555,1611
2.3612,1615
2.3666,1609
2.3723,1611
2.3779,1615
2.3833,1609
2.389,1610
2.3946,1615
2.3999,1610
2.4056,1611
2.4111,1614
2.4167,1609
2.4223,1612
2.4279,1612
2.4333,1608
2.4389,1614
2.4445,1611
2.45,1611
2.4556,1613
2.4612,1613
2.4667,1608
2.4723,1614
2.4779,1612
2.4833,1609
2.4889,1615
2.4945,1611
2.5,1609
2.5056,1614
2.5113,1609
2.5166,1610
2.5222,1615
2.5279,1612
2.5334,1612
2.539,1614
2.5446,1611
2.55,1612
2.5556,1613
2.5613,1610
2.5666,1616
2.5723,1613
2.5779,1610
2.5834,1612
2.589,1609
2.5946,1611
2.6,1615
2.6056,1609
2.6112,1610
2.6166,1615
2.6222,1610
2.6278,1612
2.6334,1612
2.639,1609
2.6446,1613
2.65,1614
2.6556,1610
2.6613,1611
2.6666,1612
2.6722,1611
2.6779,1614
2.6834,1611
2.689,1610
2.6946,1616
2.7,1614
2.7056,1609
2.7113,1614
2.7166,1612
2.7222,1609
2.7279,1614
2.7334,1610
2.739,1611
2.7444,1614
2.75,1609
2.7557,1613
2.7613,1613
2.7666,1611
2.7723,1611
2.7779,1615
2.7833,1609
2.7889,1612
2.7945,1612
2.8001,1611
2.8057,1614
2.8111,1611
2.8167,1609
2.8223,1613
2.828,1610
2.8333,1608
2.8389,1613
2.8445,1609
2.8501,1611
2.8557,1614
2.8611,1611
2.8667,1612
2.8723,1615
2.8779,1608
2.8833,1608
2.8889,1614
2.8945,1610
2.9001,1612
2.9057,1611
2.9111,1611
2.9167,1611
2.9223,1611
2.9277,1607
2.9333,1615
2.939,1611
2.9446,1610
2.9499,1613
2.9556,1611
2.9612,1610
2.9668,1614
2.9721,1614
2.9778,1608
2.9834,1615
2.989,1611
2.9944,1608
3.0,1614
3.0057,1610
3.011,1611
3.0166,1616
3.0223,1611
3.0279,1610
3.0332,1615
3.0389,1610
3.0445,1609
3.0501,1614
3.0555,1610
3.0611,1611
3.0668,1615
3.0721,1611
3.0778,1608
3.0834,1614
3.089,1609
3.0944,1612
3.1,1613
3.1056,1608
3.1112,1615
3.1166,1612
3.1222,1612
3.1279,1614
3.1335,1609
3.1388,1613
3.1445,1611
3.1501,1611
3.1555,1613
3.1611,1610
3.1667,1612
3.1723,1613
3.1777,1610
3.1833,1614
3.189,1610
3.1946,1612
3.1999,1612
3.2056,1612
3.2112,1614
3.2168,1612
3.2222,1614
3.2278,1610
3.2334,1613
3.239,1611
3.2444,1612
3.25,1615
3.2556,1613
3.2613,1611
3.2666,1613
3.2722,1610
3.2779,1611
3.2832,1614
3.2888,1609
3.2945,1613
3.3001,1614
3.3055,1610
3.3111,1612
3.3168,1611
3.3224,1610
3.3277,1616
3.3334,1611
3.339,1613
3.3444,1616
3.35,1609
3.3556,1611
3.361,1615
3.3667,1608
3.3723,1611
3.3779,1615
3.3833,1610
3.3889,1611
3.3945,1615
3.4002,1610
3.4055,1609
3.4112,1616
3.4166,1612
3.4222,1610
3.4278,1612
3.4335,1610
3.4388,1613
3.4445,1614
3.4501,1608
3.4557,1615
3.4611,1612
3.4667,1610
3.4723,1613
3.4777,1610
3.4833,1610
3.489,1614
3.4943,1609
3.5,1612
3.5056,1614
3.5113,1609
3.5166,1611
3.5223,1614
3.5279,1609
3.5333,1614
3.5389,1611
3.5445,1609
3.5502,1613
3.5555,1613
3.5611,1607
3.5668,1614
3.5721,1614
3.5777,1610
3.5834,1612
3.589,1616
3.5946,1610
3.6,1612
3.6056,1615
3.6112,1611
3.6168,1615
3.6222,1611
3.6278,1610
3.6335,1612
3.6388,1609
3.6444,1609
3.6501,1614
3.6554,1611
3.6611,1609
3.6667,1615
3.6723,1610
3.6777,1609
3.6833,1615
3.689,1611
3.6946,1607
3.6999,1613
3.7056,1612
3.7112,1610
3.7165,1612
3.7222,1609
3.7278,1609
3.7334,1613
3.7391,1611
3.7444,1611
3.7501,1615
3.7554,1611
3.7611,1611
3.7667,1616
3.7724,1610
3.7777,1610
3.7833,1613
3.7889,1608
3.7943,1611
3.8,1616
3.8056,1607
3.8112,1611
3.8166,1613
3.8222,1609
3.8278,1612
3.8335,1614
3.8388,1610
3.8445,1613
3.8501,1613
3.8557,1607
3.8611,1612
3.8667,1614
3.8723,1607
3.8777,1615
3.8833,1613
3.8889,1608
3.8946,1614
3.8999,1615
3.9055,1608
3.9111,1613
3.9167,1613
3.9224,1609
3.9277,1613
3.9333,1611
3.9389,1612
3.9445,1612
3.9499,1609
3.9555,1613
3.9611,1613
3.9667,1610
3.9724,1614
3.9778,1613
3.9834,1609
3.9889,1613
3.9945,1615
4.0002,1610
4.0056,1614
4.0112,1612
4.0165,1609
4.0222,1616
4.0278,1611
4.0334,1611
4.0391,1615
4.0444,1611
4.0501,1611
4.0557,1615
4.0611,1611
4.0667,1612
4.0723,1615
4.0777,1610
4.0833,1610
4.0889,1612
4.0946,1608
4.0999,1613
4.1055,1616
4.1112,1609
4.1168,1611
4.1221,1614
4.1278,1610
4.1334,1614
4.139,1613
4.1444,1609
4.15,1613
4.1556,1612
4.161,1609
4.1666,1616
4.1722,1609
4.1779,1609
4.1832,1613
4.1888,1612
4.1945,1614
4.2001,1612
4.2055,1611
4.2111,1614
4.2167,1610
4.2223,1610
4.2277,1615
4.2333,1609
4.2389,1611
4.2446,1614
4.2499,1609
4.2555,1610
4.2612,1614
4.2668,1609
4.2721,1612
4.2778,1617
4.2834,1613
4.289,1609
4.2944,1616
4.3,1612
4.3056,1613
4.3113,1615
4.3166,1610
4.3222,1612
4.3279,1614
4.3332,1610
4.3389,1613
4.3445,1613
4.3501,1611
4.3555,1614
4.3611,1611
4.3668,1611
4.3721,1612
4.3777,1608
4.3834,1613
4.389,1611
4.3944,1609
4.4,1614
4.4056,1610
4.411,1610
4.4166,1615
4.4223,1610
4.4279,1612
4.4332,1614
4.4389,1610
4.4445,1611
4.4499,1613
4.4555,1609
4.4611,1613
4.4668,1613
4.4721,1607
4.4778,1615
4.4834,1611
4.489,1610
4.4943,1614
4.5,1613
4.5056,1609
4.5112,1613
4.5166,1614
4.5222,1611
4.5278,1616
4.5332,1610
4.5388,1612
4.5445,1614
4.5501,1610
4.5555,1611
4.5611,1615
4.5667,1608
4.5721,1612
4.5777,1614
4.5834,1609
4.589,1614
4.5943,1615
4.6,1608
4.6056,1614
4.6112,1612
4.6166,1609
4.6222,1613
4.6279,1611
4.6332,1611
4.6389,1613
4.6445,1611
4.6501,1613
4.6555,1613
4.6611,1610
4.6668,1612
4.6721,1614
4.6777,1608
4.6834,1613
4.689,1611
4.6943,1607
4.7,1614
4.7056,1614
4.711,1611
4.7166,1614
4.7222,1609
4.7279,1611
4.7332,1613
4.7388,1611
4.7445,1612
4.7501,1615
4.7554,1608
4.7611,1613
4.7667,1613
4.7723,1609
4.7777,1612
4.7833,1610
4.7889,1609
