Experiment: Feb_5_Batch_expt_zeroed vial 5, Fri Feb  5 18:54:21 2021
0.0037,0.0
0.0094,-0.002452368215080769
0.0147,-0.0043048851573703195
0.0204,-0.007286104289513873
0.026,-0.009094471148038574
0.0314,-0.012389936894993347
0.0371,-0.014891666296646233
0.0428,-0.016303616553667466
0.0481,-0.021165639937658798
0.0538,-0.017347326968325416
0.0594,-0.020584961369596533
0.0648,-0.024109290631469993
0.0705,-0.018607908779950777
0.0758,-0.027618197056581972
0.0815,-0.03226588871514646
0.0871,-0.02880964447214507
0.0925,-0.0339054125474576
0.0982,-0.03881419840976402
0.1038,-0.04281945454526637
0.1092,-0.03990502183763689
0.1149,-0.04724540270979072
0.1205,-0.048824320059234705
0.1259,-0.049212142200060593
0.1315,-0.048426459197820126
0.1372,-0.05140807664096003
0.1426,-0.054078495350878886
0.1482,-0.04462576283776204
0.1538,-0.05675136908999978
0.1592,-0.05216771995819941
0.1649,-0.05112144722122042
0.1702,-0.057548894205195045
0.1759,-0.0574462288362067
0.1815,-0.04827196593206862
0.1872,-0.047998425794101074
0.1926,-0.05509481033899333
0.1982,-0.05194127044668578
0.2039,-0.04020349837545012
0.2093,-0.04821289600841411
0.2149,-0.044153834419708604
0.2203,-0.04647750680050439
