Experiment: Feb_5_Batch_expt_zeroed vial 12, Fri Feb  5 18:54:24 2021
0.0037,27707
0.0094,27719
0.0147,27750
0.0204,27763
0.026,27762
0.0314,27778
0.0371,27782
0.0428,27782
0.0481,27788
0.0538,27762
0.0594,27765
0.0648,27814
0.0705,27833
0.0758,27853
0.0815,27814
0.0871,27809
0.0925,27866
0.0982,27834
0.1038,27904
0.1092,27894
0.1149,27859
0.1205,27875
0.1259,27923
0.1315,27913
0.1372,27885
0.1426,27930
0.1482,27965
0.1538,27959
0.1592,27959
0.1649,27974
0.1702,27976
0.1759,27986
0.1815,27969
0.1872,27998
0.1926,27980
0.1982,27977
0.2039,27978
0.2093,28007
0.2149,28016
0.2203,28003
