Experiment: Feb_5_Batch_expt_zeroed vial 6, Fri Feb  5 18:54:24 2021
0.0037,1747
0.0094,1740
0.0147,1732
0.0204,1725
0.026,1717
0.0314,1710
0.0371,1704
0.0428,1699
0.0481,1692
0.0538,1684
0.0594,1678
0.0648,1673
0.0705,1667
0.0758,1661
0.0815,1656
0.0871,1651
0.0925,1645
0.0982,1641
0.1038,1636
0.1092,1630
0.1149,1624
0.1205,1619
0.1259,1615
0.1315,1611
0.1372,1606
0.1426,1605
0.1482,1611
0.1538,1610
0.1592,1604
0.1649,1604
0.1702,1609
0.1759,1611
0.1815,1607
0.1872,1604
0.1926,1608
0.1982,1609
0.2039,1604
0.2093,1605
0.2149,1609
0.2203,1608
