Experiment: Feb_8_Batch_expt_zeroed vial 8, Mon Feb  8 17:45:11 2021
0.0049,29135
0.0103,29134
0.0159,29138
0.0213,29148
0.0269,29164
0.0326,29161
0.0382,29161
0.0436,29167
0.0492,29170
0.0546,29167
0.0602,29175
0.0659,29171
0.0715,29180
0.0769,29184
0.0826,29171
0.088,29174
0.0936,29180
0.0992,29173
0.1046,29178
0.1102,29169
0.1159,29167
0.1215,29166
0.1269,29161
0.1325,29167
0.1381,29162
0.1435,29164
0.1491,29177
0.1548,29180
0.1604,29179
0.1658,29180
0.1715,29174
0.1768,29182
0.1825,29176
0.1881,29183
0.1938,29190
0.2032,29183
0.2046,29188
0.2103,29180
0.216,29175
0.2213,29190
0.2269,29188
0.2359,29181
0.238,29187
0.2436,29196
0.2493,29188
0.2607,29183
0.2622,29185
0.2659,29184
0.2713,29194
0.282,29190
0.2827,29194
0.2881,29195
0.2937,29189
0.3039,29186
0.3046,29184
0.3103,29190
0.3159,29197
0.3254,29187
0.3271,29189
0.3324,29186
0.3381,29183
0.3437,29181
0.354,29188
0.3567,29177
0.3604,29185
0.3658,29188
0.3764,29180
0.3788,29184
0.3825,29179
0.3881,29183
0.398,29176
0.3991,29174
0.4047,29176
0.4104,29173
0.4158,29175
0.4214,29180
0.427,29179
0.4327,29170
0.438,29175
0.4437,29175
0.4493,29166
0.4547,29171
0.4603,29171
0.466,29167
0.4713,29171
0.477,29169
0.4826,29165
0.488,29160
0.4937,29158
0.4993,29166
0.5047,29165
0.5103,29158
0.5159,29160
0.5216,29162
0.5269,29159
0.5326,29151
0.5379,29155
0.5436,29159
0.5492,29154
0.5549,29153
0.5602,29156
0.5659,29155
0.5715,29156
0.5769,29150
0.5825,29156
0.5881,29153
0.5938,29141
0.5992,29150
0.6048,29149
0.6102,29152
0.6159,29138
0.6215,29146
0.6269,29147
0.6324,29141
0.6381,29140
0.6437,29140
0.6491,29140
0.6547,29144
0.6603,29134
0.666,29132
0.6713,29132
0.6769,29139
0.6826,29134
0.6882,29136
0.6935,29136
0.6992,29131
0.7048,29128
0.7102,29127
0.7158,29126
0.7214,29124
0.7271,29119
0.7324,29122
0.7381,29117
0.7437,29116
0.7493,29117
0.7547,29120
0.7603,29116
0.766,29113
0.7713,29111
0.777,29118
0.7826,29114
0.7882,29113
0.7936,29104
0.7992,29109
0.8049,29103
0.8102,29107
