Experiment: Feb_8_Batch_expt_zeroed vial 1, Mon Feb  8 17:45:06 2021
0,0
2.5493,16.97
2.6048,17.73
2.6603,18.32
2.7103,18.85
2.7604,19.22
2.8159,19.75
2.866,20
2.9214,20
2.9716,20
3.0269,20
3.0771,20
3.1327,20
3.1882,20
3.2437,20
3.2938,20
3.3491,20
3.3992,20
3.4493,20
3.4994,20
3.5548,20
3.6102,20
3.6604,20
3.7105,20
3.7659,20
3.8159,20
3.866,20
3.9214,20
3.9715,20
4.0272,20
4.0772,20
4.1325,20
4.1826,20
4.2327,20
4.2881,20
4.3382,20
4.3938,20
4.4438,20
4.4992,20
4.5548,20
4.6105,20
4.6661,20
4.7215,20
4.7771,20
4.8327,20
4.8881,20
4.9382,20
4.9938,20
5.0494,20
5.1049,20
5.1606,20
5.216,20
5.2661,20
5.3215,20
5.3771,20
5.4272,20
5.4827,20
5.5328,20
5.5881,20
5.6383,20
5.6938,20
5.7494,20
5.7994,20
5.8548,20
5.9049,20
5.9604,20
6.0159,20
6.066,20
6.1217,20
6.1717,20
6.227,20
6.2771,20
6.3328,20
6.3881,20
6.4382,20
6.4938,20
6.5494,20
6.6048,20
6.6549,20
6.7049,20
6.7605,20
6.8159,20
6.8662,20
6.9215,20
6.9771,20
7.0272,20
7.0772,20
7.1273,20
7.1826,20
7.2328,20
7.2882,20
7.3438,20
7.3939,20
7.4493,20
7.505,20
7.5605,20
7.6106,20
7.6659,20
7.7162,20
7.7715,20
7.8218,20
7.8771,20
7.9327,20
7.9882,20
8.0383,20
8.0939,20
8.1439,20
8.1995,20
8.2551,20
8.3106,20
8.3662,20
8.4217,20
8.4717,20
8.5273,20
8.5828,20
8.6383,20
8.6883,20
8.7438,20
8.7995,20
8.8551,20
8.9104,20
8.9606,20
9.0162,20
9.0716,20
9.1216,20
9.1772,20
9.2328,20
9.2884,20
9.3384,20
9.3884,20
9.444,20
9.4995,20
9.5495,20
9.5995,20
9.6551,20
9.7106,20
9.7606,20
9.8106,20
9.866,20
9.9162,20
9.9662,20
10.0217,20
10.0717,20
10.1273,20
10.1829,20
10.2384,20
10.2938,20
10.3439,20
10.3939,20
10.4496,20
10.5049,20
10.5551,20
10.6051,20
10.6605,20
10.716,20
10.7661,20
10.8217,20
10.8717,20
10.9273,20
10.9828,20
11.0383,20
11.0883,20
11.1439,20
11.1996,20
11.255,20
11.3106,20
11.3662,20
11.4162,20
11.4663,20
11.5216,20
11.5716,20
11.6216,20
11.6772,20
11.7273,20
11.7773,20
11.8329,20
11.8885,20
11.9441,20
11.9994,20
12.0494,20
12.1051,20
12.1607,20
12.216,20
12.2663,20
12.3163,20
12.3717,20
12.4218,20
12.4773,20
12.5273,20
12.5829,20
12.633,20
12.6883,20
12.7383,20
12.794,20
12.8494,20
12.8996,20
12.9496,20
13.0051,20
13.0607,20
13.1163,20
13.1717,20
13.2217,20
13.2772,20
13.3274,20
13.383,20
13.4385,20
13.4885,20
13.5439,20
13.5995,20
13.6551,20
13.7107,20
13.7607,20
13.8163,20
13.8719,20
13.9272,20
13.9772,20
14.0274,20
14.0774,20
14.1328,20
14.1829,20
14.2329,20
14.2885,20
14.3439,20
14.3939,20
14.4441,20
14.4995,20
14.5495,20
14.5996,20
14.655,20
14.7051,20
14.7607,20
14.8107,20
14.8662,20
14.9162,20
14.9662,20
15.0217,20
15.0718,20
15.1218,20
15.1774,20
15.2328,20
15.2828,20
15.3328,20
15.383,20
15.4385,20
15.4885,20
15.5385,20
15.5941,20
15.6494,20
15.6995,20
15.7497,20
15.8051,20
15.8551,20
15.9108,20
15.9608,20
16.0163,20
16.0664,20
16.1218,20
16.1773,20
16.2274,20
16.283,20
16.3384,20
16.3885,20
16.4385,20
16.4886,20
16.544,20
16.5995,20
16.6496,20
16.705,20
16.7551,20
16.8051,20
16.8551,20
16.9051,20
16.9551,20
17.0052,20
17.0552,20
