Experiment: Feb_8_Batch_expt_zeroed vial 1, Mon Feb  8 17:45:11 2021
0.0049,1641
0.0103,1633
0.0159,1627
0.0213,1627
0.0269,1631
0.0326,1632
0.0382,1628
0.0436,1629
0.0492,1633
0.0546,1630
0.0602,1628
0.0659,1631
0.0715,1629
0.0769,1627
0.0826,1632
0.088,1632
0.0936,1627
0.0992,1629
0.1046,1634
0.1102,1629
0.1159,1625
0.1215,1632
0.1269,1631
0.1325,1626
0.1381,1627
0.1435,1633
0.1491,1629
0.1548,1625
0.1604,1631
0.1658,1633
0.1715,1626
0.1768,1625
0.1825,1631
0.1881,1629
0.1938,1624
0.2032,1627
0.2046,1633
0.2103,1630
0.216,1623
0.2213,1628
0.2269,1634
0.2359,1625
0.238,1628
0.2436,1631
0.2493,1631
0.2607,1626
0.2622,1626
0.2659,1633
0.2713,1631
0.282,1624
0.2827,1626
0.2881,1633
0.2937,1630
0.3039,1624
0.3046,1630
0.3103,1634
0.3159,1630
0.3254,1625
0.3271,1629
0.3324,1633
0.3381,1626
0.3437,1627
0.354,1633
0.3567,1627
0.3604,1625
0.3658,1629
0.3764,1630
0.3788,1626
0.3825,1630
0.3881,1630
0.398,1627
0.3991,1629
0.4047,1631
0.4104,1627
0.4158,1626
0.4214,1631
0.427,1632
0.4327,1626
0.438,1629
0.4437,1632
0.4493,1625
0.4547,1629
0.4603,1633
0.466,1626
0.4713,1627
0.477,1633
0.4826,1628
0.488,1626
0.4937,1633
0.4993,1629
0.5047,1626
0.5103,1629
0.5159,1633
0.5216,1626
0.5269,1628
0.5326,1633
0.5379,1627
0.5436,1628
0.5492,1630
0.5549,1628
0.5602,1624
0.5659,1629
0.5715,1631
0.5769,1625
0.5825,1628
0.5881,1632
0.5938,1627
0.5992,1627
0.6048,1632
0.6102,1628
0.6159,1626
0.6215,1632
0.6269,1628
0.6324,1628
0.6381,1630
0.6437,1630
0.6491,1625
0.6547,1631
0.6603,1631
0.666,1627
0.6713,1628
0.6769,1630
0.6826,1628
0.6882,1627
0.6935,1632
0.6992,1630
0.7048,1625
0.7102,1630
0.7158,1633
0.7214,1625
0.7271,1628
0.7324,1632
0.7381,1627
0.7437,1626
0.7493,1631
0.7547,1630
0.7603,1627
0.766,1629
0.7713,1631
0.777,1627
0.7826,1630
0.7882,1631
0.7936,1625
0.7992,1629
0.8049,1629
0.8102,1627
0.8159,1627
0.8215,1631
0.8271,1631
0.8325,1627
0.8381,1632
0.8438,1632
0.8491,1628
0.8548,1630
0.8604,1634
0.8658,1628
0.8714,1628
0.877,1631
0.8827,1629
0.888,1626
0.8936,1631
0.8993,1630
0.9049,1624
0.9102,1629
0.9159,1632
0.9215,1626
0.9269,1624
0.9325,1630
0.9381,1630
0.9438,1625
0.9491,1627
0.9548,1634
0.9604,1628
0.9658,1627
0.9714,1631
0.977,1631
0.9827,1625
0.988,1627
0.9937,1634
0.9993,1630
1.0047,1626
1.0103,1630
1.016,1630
1.0213,1627
1.027,1627
1.0326,1631
1.0382,1630
1.0436,1624
1.0492,1627
1.0548,1632
1.0602,1629
1.0659,1627
1.0715,1630
1.0769,1631
1.0825,1624
1.0882,1629
1.0936,1632
1.0992,1625
1.1048,1626
1.1105,1631
1.1158,1630
1.1215,1628
1.1271,1629
1.1325,1632
1.1381,1625
1.1437,1629
1.1494,1631
1.1547,1627
1.1603,1628
1.166,1631
1.1713,1629
1.177,1625
1.1826,1630
1.1883,1631
1.1936,1625
1.1993,1627
1.2049,1632
1.2103,1627
1.2159,1626
1.2215,1629
1.2269,1631
1.2325,1625
1.238,1628
1.2436,1633
1.2492,1628
1.2548,1627
1.2605,1632
1.2658,1631
1.2714,1623
1.2771,1626
1.2824,1633
1.2881,1627
1.2938,1627
1.2991,1631
1.3048,1630
1.3104,1629
1.3158,1631
1.3215,1632
1.3271,1626
1.3325,1627
1.3381,1631
1.3438,1626
1.3492,1626
1.3548,1632
1.3604,1630
1.3658,1624
1.3715,1630
1.3771,1630
1.3825,1626
1.3882,1627
1.3938,1630
1.3992,1631
1.4048,1626
1.4102,1630
1.4158,1631
1.4215,1627
1.4271,1629
1.4325,1631
1.4381,1627
1.4437,1626
1.4491,1632
1.4547,1629
1.4604,1626
1.466,1630
1.4714,1632
1.477,1628
1.4826,1625
1.4883,1631
1.4936,1633
1.4992,1625
1.5048,1628
1.5105,1633
1.5158,1630
1.5215,1625
1.527,1630
1.5324,1633
1.5381,1626
1.5438,1628
1.5491,1631
1.5548,1629
1.5604,1624
1.5658,1628
1.5714,1633
1.577,1628
1.5827,1627
1.588,1631
1.5937,1629
1.5993,1625
1.6047,1630
1.6103,1631
1.6159,1624
1.6215,1627
1.6271,1633
1.6325,1630
1.6381,1625
1.6437,1631
1.6493,1632
1.6547,1626
1.6603,1626
1.6659,1632
1.6715,1630
1.6769,1625
1.6825,1631
1.6882,1631
1.6938,1626
1.6992,1629
1.7048,1631
1.7105,1626
1.7158,1629
1.7215,1631
1.7271,1629
1.7327,1625
1.7381,1630
1.7438,1631
1.7491,1626
1.7548,1627
1.7604,1632
1.7658,1631
1.7714,1624
1.7771,1628
1.7827,1631
1.7881,1627
1.7937,1627
1.7993,1632
1.8047,1629
1.8103,1626
1.816,1629
1.8214,1630
1.827,1626
1.8326,1627
1.8383,1631
1.8436,1626
1.8492,1626
1.8549,1634
1.8603,1626
1.8659,1625
1.8715,1631
1.8772,1632
1.8825,1625
1.8881,1627
1.8937,1631
1.8994,1629
1.9047,1626
1.9103,1632
1.9159,1637
1.9216,1626
1.9269,1627
1.9326,1631
1.9381,1629
1.9437,1626
1.9491,1631
1.9548,1630
1.9604,1625
1.9658,1630
1.9714,1631
1.977,1625
1.9827,1627
1.9881,1632
1.9937,1629
1.9993,1624
2.0047,1627
2.0104,1632
2.0158,1626
2.0214,1629
2.027,1632
2.0327,1627
2.0381,1627
2.0437,1633
2.0493,1631
2.0547,1626
2.0604,1630
2.066,1631
2.0714,1624
2.077,1627
2.0827,1632
2.088,1630
2.0937,1623
2.0993,1630
2.1047,1633
2.1103,1625
2.1159,1629
2.1216,1631
2.1269,1626
2.1326,1627
2.1382,1633
2.1438,1629
2.1492,1627
2.1548,1629
2.1604,1633
2.1658,1626
2.1714,1626
2.177,1632
2.1827,1630
2.188,1624
2.1937,1628
2.1992,1632
2.2048,1625
2.2102,1623
2.2158,1631
2.2215,1633
2.227,1625
2.2327,1627
2.2381,1630
2.2437,1626
2.2493,1631
2.2547,1632
2.2603,1630
2.266,1625
2.2713,1630
2.277,1633
2.2826,1626
2.2883,1625
2.2937,1633
2.2993,1628
2.3047,1626
2.3103,1628
2.3159,1633
2.3216,1627
2.3269,1627
2.3326,1633
2.3382,1628
2.3436,1626
2.3493,1632
2.3549,1630
2.3603,1625
2.3659,1627
2.3716,1632
2.3769,1629
2.3826,1626
2.3882,1630
2.3936,1631
2.3992,1625
2.4049,1628
2.4102,1634
2.4159,1629
2.4215,1625
2.4269,1631
2.4325,1632
2.4382,1625
2.4438,1627
2.4492,1630
2.4548,1630
2.4605,1624
2.4659,1628
2.4715,1630
2.4772,1626
2.4826,1627
2.4882,1633
2.4936,1625
2.4992,1626
2.5049,1631
2.5102,1629
2.5159,1624
2.5216,1631
2.527,1631
2.5326,1628
2.538,1626
2.5437,1634
2.5493,1629
2.5547,1627
2.5603,1632
2.566,1629
2.5714,1626
2.577,1630
2.5827,1633
2.5881,1627
2.5938,1624
2.5991,1630
2.6048,1633
2.6105,1627
2.6158,1628
2.6215,1633
2.6272,1629
2.6326,1624
2.6382,1631
2.6436,1633
2.6493,1626
2.6547,1625
2.6603,1631
2.666,1629
2.6714,1624
2.677,1630
2.6825,1631
2.6882,1625
2.6939,1626
2.6993,1632
2.7049,1630
2.7103,1626
2.716,1630
2.7214,1628
2.727,1624
2.7327,1631
2.7381,1631
