Experiment: July_9_negative_cntrl_expt vial 1, Fri Jul  9 17:30:37 2021
0,0
0.047,0.4
9.0973,0.2
9.1194,0.4
10.6693,0.2
10.6917,0.4
12.1918,0.2
12.2138,0.4
13.3861,0.2
13.4084,0.4
15.0473,0.2
15.0751,0.4
16.8139,0.2
16.8362,0.4
18.5308,0.2
18.5531,0.4
20.1752,0.2
20.1975,0.4
21.942,0.2
21.9697,0.4
23.6476,0.2
23.6753,0.4
25.3809,0.2
25.4086,0.4
27.1254,0.2
27.1533,0.4
28.9031,0.2
28.9309,0.4
30.6367,0.2
30.6644,0.4
32.3532,0.2
32.3756,0.4
34.1479,0.2
34.1757,0.4
35.9145,0.2
35.9422,0.4
37.2035,0.2
37.2425,0.4
38.8425,0.2
38.8702,0.4
40.7313,0.2
40.7647,0.4
42.4648,0.2
42.4925,0.4
44.1813,0.2
44.2091,0.4
45.9369,0.2
45.9647,0.4
47.6314,0.2
47.6535,0.4
49.326,0.2
49.3537,0.4
51.065,0.2
51.0927,0.4
52.7982,0.2
52.8317,0.4
54.5648,0.2
54.5928,0.4
56.3261,0.2
56.3482,0.4
58.0538,0.2
58.0818,0.4
59.8484,0.2
59.8705,0.4
61.254,0.2
61.2817,0.4
62.9041,0.2
62.9429,0.4
64.7486,0.2
64.7707,0.4
66.4041,0.2
66.432,0.4
68.1043,0.2
68.1319,0.4
69.8933,0.2
69.921,0.4
71.6541,0.2
71.6822,0.4
85.4047,0.2
85.4324,0.4
92.4605,0.2
92.4882,0.4
94.2384,0.2
94.2716,0.4
99.6664,0.2
99.7385,0.4
103.2829,0.2
103.3552,0.4
105.0777,0.2
105.1498,0.4
106.8832,0.2
106.9054,0.4
127.4336,0.2
127.4503,0.4
129.2837,0.2
129.3059,0.4
135.1116,0.2
135.134,0.4
142.9175,0.2
142.9396,0.4
196.3414,0.2
196.4691,0.4
260.5375,0.2
