Experiment: July_9_negative_cntrl_expt vial 4, Fri Jul  9 17:30:40 2021
0.0025,32672
0.0082,32669
0.0135,32672
0.0192,32668
0.0248,32669
0.0305,32670
0.0358,32671
0.0413,32671
0.047,32673
0.0526,32671
0.0579,32665
0.0636,32669
0.0691,32672
0.0748,32671
0.0804,32668
0.0858,32672
0.0914,32671
0.0969,32671
0.1026,32671
0.1082,32672
0.1136,32667
0.1192,32671
0.1247,32670
0.1304,32670
0.136,32669
0.1414,32669
0.147,32673
0.1526,32672
0.1582,32670
0.1635,32669
0.1692,32668
0.1748,32669
0.1802,32670
0.1858,32671
0.1914,32671
0.1971,32669
0.2024,32671
0.2081,32668
0.2137,32670
0.2191,32673
0.2247,32667
0.2304,32669
0.2358,32667
0.2414,32667
0.2471,32670
0.2524,32669
0.2581,32668
0.2637,32669
0.2691,32669
0.2747,32671
0.2804,32674
0.286,32666
0.2914,32669
0.297,32669
0.3027,32668
0.308,32673
0.3136,32664
0.3193,32672
0.3246,32670
0.3303,32670
0.3359,32667
0.3415,32668
0.3469,32674
0.3526,32672
0.3582,32673
0.3635,32670
0.3692,32671
0.3748,32670
0.3805,32667
0.3858,32667
0.3915,32672
0.3971,32671
0.4025,32674
0.4081,32669
0.4138,32672
0.4192,32673
0.4248,32668
0.4302,32673
0.4358,32672
0.4415,32672
0.4471,32675
0.4525,32673
0.4581,32672
0.4638,32674
0.4691,32668
0.4748,32669
0.4804,32669
0.4858,32670
0.4914,32672
0.4971,32672
0.5024,32670
0.5081,32668
0.5137,32671
0.5193,32675
0.5247,32670
0.5304,32672
0.536,32670
0.5414,32670
0.547,32667
0.5526,32666
0.558,32670
0.5636,32669
0.5693,32671
0.5749,32672
0.5802,32668
0.5859,32671
0.5915,32670
0.5969,32668
0.6025,32670
0.6082,32667
0.6138,32668
0.6191,32670
0.6248,32669
0.6304,32669
0.6358,32672
0.6414,32670
0.6471,32670
0.6527,32668
0.6581,32668
0.6637,32673
0.6694,32668
0.6748,32672
0.6804,32671
0.6858,32674
0.6914,32670
0.697,32673
0.7027,32672
0.708,32670
0.7137,32670
0.7193,32671
0.7247,32670
0.7303,32671
0.7359,32669
0.7416,32673
0.7469,32671
0.7526,32670
0.7582,32668
0.7636,32668
