Experiment: July_9_negative_cntrl_expt vial 1, Fri Jul  9 17:30:37 2021
0,0
9.0973,23.64
10.6693,23.54
12.1918,23.5
13.3861,23.53
15.0473,23.72
16.8139,23.52
18.5308,23.54
20.1752,23.8
21.942,23.71
23.6476,23.54
25.3809,23.6
27.1254,23.77
28.9031,23.56
30.6367,23.52
32.3532,23.52
34.1479,23.9
35.9145,23.69
37.2035,23.51
38.8425,23.58
40.7313,23.5
42.4648,23.66
44.1813,23.51
45.9369,23.52
47.6314,23.53
49.326,23.79
51.065,23.59
52.7982,23.78
54.5648,23.6
56.3261,23.53
58.0538,23.51
59.8484,23.51
61.254,23.56
62.9041,23.5
64.7486,23.65
66.4041,23.57
68.1043,23.67
69.8933,23.52
71.6541,23.54
73.4044,23.68
75.1599,23.68
76.91,23.68
78.6602,23.68
80.4155,23.68
82.1656,23.68
83.9157,23.68
85.4047,23.51
87.1603,23.68
88.9158,23.68
90.6659,23.68
92.4605,23.53
94.2384,23.52
96.044,23.68
97.8441,23.68
99.6497,23.68
101.4553,23.68
103.2609,23.68
105.061,23.68
106.8611,23.68
108.6664,23.68
110.4665,23.68
112.2668,23.68
114.0723,23.68
115.8724,23.68
117.6778,23.68
119.6279,23.68
121.5779,23.68
123.5281,23.68
125.4781,23.68
127.4282,23.68
129.2837,23.92
131.2339,23.68
133.184,23.68
135.1116,23.53
137.0728,23.68
139.0285,23.68
140.9786,23.68
142.9175,23.53
144.8731,23.68
146.8286,23.68
148.7787,23.68
150.7288,23.68
152.6845,23.68
154.6399,23.68
156.5901,23.68
158.5458,23.68
160.5011,23.68
162.6348,23.68
164.5901,23.68
166.5404,23.68
168.4905,23.68
170.4407,23.68
172.3963,23.68
174.3519,23.68
176.3075,23.68
178.2629,23.68
180.2132,23.68
182.1687,23.68
184.1242,23.68
186.0744,23.68
188.03,23.68
189.9801,23.68
191.9355,23.68
193.8857,23.68
195.8414,23.68
196.3414,23.68
196.4419,24.39
198.397,23.68
200.3471,23.68
202.3026,23.68
204.2527,23.68
206.2084,23.68
208.1639,23.68
210.1195,23.68
212.0695,23.68
214.0197,23.68
215.9698,23.68
217.9253,23.68
219.8753,23.68
221.8255,23.68
223.7809,23.68
225.7366,23.68
227.6923,23.68
229.6478,23.68
231.5979,23.68
