Experiment: July_9_negative_cntrl_expt vial 5, Fri Jul  9 17:30:40 2021
0.0025,1616
0.0082,1612
0.0135,1610
0.0192,1615
0.0248,1612
0.0305,1608
0.0358,1612
0.0413,1615
0.047,1608
0.0526,1613
0.0579,1616
0.0636,1608
0.0691,1608
0.0748,1618
0.0804,1611
0.0858,1610
0.0914,1615
0.0969,1614
0.1026,1608
0.1082,1613
0.1136,1618
0.1192,1610
0.1247,1613
0.1304,1614
0.136,1610
0.1414,1613
0.147,1615
0.1526,1607
0.1582,1611
0.1635,1616
0.1692,1610
0.1748,1613
0.1802,1613
0.1858,1610
0.1914,1611
0.1971,1615
0.2024,1611
0.2081,1607
0.2137,1616
0.2191,1615
0.2247,1606
0.2304,1612
0.2358,1618
0.2414,1612
0.2471,1607
0.2524,1614
0.2581,1617
0.2637,1609
0.2691,1609
0.2747,1616
0.2804,1613
0.286,1609
0.2914,1612
0.297,1615
0.3027,1610
0.308,1611
0.3136,1615
0.3193,1609
0.3246,1612
0.3303,1618
0.3359,1609
0.3415,1610
0.3469,1615
0.3526,1611
0.3582,1607
0.3635,1615
0.3692,1613
0.3748,1607
0.3805,1613
0.3858,1614
0.3915,1608
0.3971,1611
0.4025,1617
0.4081,1608
0.4138,1608
0.4192,1614
0.4248,1611
0.4302,1607
0.4358,1613
0.4415,1614
0.4471,1609
0.4525,1611
0.4581,1616
0.4638,1611
0.4691,1609
0.4748,1617
0.4804,1611
0.4858,1608
0.4914,1612
0.4971,1615
0.5024,1609
0.5081,1609
0.5137,1614
0.5193,1612
0.5247,1611
0.5304,1616
0.536,1613
0.5414,1610
0.547,1615
0.5526,1610
0.558,1610
0.5636,1617
0.5693,1615
0.5749,1607
0.5802,1610
0.5859,1621
0.5915,1616
0.5969,1609
0.6025,1606
0.6082,1615
0.6138,1618
0.6191,1612
0.6248,1606
0.6304,1614
0.6358,1620
0.6414,1612
0.6471,1607
0.6527,1614
0.6581,1618
0.6637,1613
0.6694,1606
0.6748,1610
0.6804,1620
0.6858,1616
0.6914,1606
0.697,1606
0.7027,1614
0.708,1615
0.7137,1608
0.7193,1614
0.7247,1618
0.7303,1611
0.7359,1608
0.7416,1616
0.7469,1615
0.7526,1611
0.7582,1610
0.7636,1618
0.7692,1612
0.7748,1609
0.7802,1616
0.7859,1612
0.7915,1613
0.7971,1615
0.8025,1612
0.8081,1608
0.8138,1614
0.8191,1618
0.8248,1614
0.8304,1608
0.8358,1615
0.8414,1617
0.847,1609
0.8527,1609
0.858,1619
0.8637,1615
0.8693,1609
0.8747,1611
0.8803,1616
0.886,1610
0.8913,1609
0.897,1615
0.9026,1613
0.9082,1606
0.9136,1610
0.9192,1617
0.9249,1613
0.9302,1609
0.9359,1613
0.9415,1613
0.9469,1610
0.9525,1614
0.9582,1616
0.9638,1610
0.9692,1611
0.9748,1615
0.9805,1611
0.9858,1610
0.9915,1617
0.9971,1614
1.0025,1606
1.0081,1613
1.0137,1615
1.0191,1607
1.0247,1612
1.0304,1617
1.036,1611
1.0414,1605
1.047,1614
1.0527,1615
1.058,1607
1.0637,1611
1.0693,1615
1.0747,1613
1.0803,1608
1.086,1611
1.0913,1617
1.097,1614
1.1026,1611
1.108,1615
1.1136,1613
1.1193,1611
1.1249,1615
1.1303,1616
1.1359,1607
1.1415,1614
1.1469,1617
1.1526,1612
1.1582,1608
1.1635,1615
1.1692,1614
1.1748,1607
1.1805,1608
1.1858,1615
1.1914,1612
1.1971,1606
1.2025,1613
1.2081,1612
1.2137,1609
1.2194,1614
1.2247,1614
1.2304,1608
1.236,1615
1.2414,1615
1.247,1608
1.2526,1614
1.2583,1615
1.2636,1610
1.2693,1610
1.2749,1616
1.2803,1613
1.2859,1608
1.2916,1613
1.2969,1617
1.3026,1610
1.3082,1608
1.3136,1616
1.3192,1613
1.3248,1608
1.3305,1613
1.3358,1616
1.3414,1610
1.3471,1613
1.3525,1615
1.3581,1609
1.3637,1608
1.3691,1614
1.3747,1615
1.3804,1609
1.386,1609
1.3913,1616
1.397,1613
1.4026,1608
1.4082,1614
1.4136,1615
1.4192,1608
1.4249,1613
1.4302,1616
1.4359,1609
1.4415,1610
1.4471,1615
1.4525,1609
1.4581,1617
1.4638,1616
1.4691,1613
1.4748,1609
1.4804,1616
1.486,1614
1.4914,1606
1.4971,1612
1.5024,1616
1.5081,1611
1.5137,1610
1.5194,1616
1.5247,1615
1.5304,1611
1.536,1612
1.5414,1615
1.547,1611
1.5526,1605
1.5583,1615
1.5636,1615
1.5692,1609
1.5748,1612
1.5805,1619
1.5858,1612
1.5914,1608
1.597,1616
1.6027,1613
1.608,1608
1.6136,1613
1.6192,1618
1.6248,1611
1.6305,1609
1.6358,1613
1.6415,1610
1.647,1608
1.6526,1617
1.658,1617
1.6636,1610
1.6693,1610
1.6747,1616
1.6803,1612
1.6859,1607
1.6916,1614
1.6969,1616
1.7026,1610
1.7082,1609
1.7136,1617
1.7192,1613
1.7248,1608
1.7304,1614
1.736,1614
1.7414,1610
1.747,1615
1.7525,1617
1.7581,1608
1.7637,1611
1.7691,1618
1.7747,1613
1.7804,1610
1.7858,1615
1.7915,1615
1.7971,1609
1.8025,1611
1.8081,1616
1.8137,1611
1.8194,1610
1.8247,1616
1.8304,1614
1.836,1608
1.8415,1610
1.847,1616
1.8526,1612
1.8583,1607
1.8636,1616
1.8693,1616
1.8747,1608
1.8803,1611
1.8859,1618
1.8916,1612
1.8969,1608
1.9026,1616
1.9082,1614
1.9138,1607
1.9192,1611
1.9248,1616
1.9304,1612
1.9358,1608
1.9414,1615
1.9471,1616
1.9527,1610
1.9581,1609
1.9637,1619
1.9694,1614
1.9747,1607
1.9803,1612
1.9859,1617
1.9915,1611
1.9969,1609
2.0025,1618
2.0082,1615
2.0136,1610
2.0192,1611
2.0249,1616
2.0303,1611
2.0359,1609
2.0416,1615
2.0469,1617
2.0526,1610
2.0582,1613
2.0636,1616
2.0692,1610
2.0749,1609
2.0805,1618
2.0859,1615
2.0915,1610
2.0969,1612
2.1025,1615
2.1082,1611
2.1138,1609
2.1193,1617
2.1249,1616
2.1303,1608
2.1359,1612
2.1415,1616
2.1472,1610
2.1525,1610
2.1581,1616
2.1638,1612
2.1691,1611
2.1748,1616
2.1805,1610
2.1859,1609
2.1915,1615
2.1969,1614
2.2025,1609
2.2081,1615
2.2138,1614
2.2191,1608
2.2248,1609
2.2304,1617
2.236,1615
2.2414,1608
2.247,1610
2.2527,1616
2.2581,1613
2.2637,1610
2.2693,1614
2.2749,1616
2.2803,1608
2.2859,1613
2.2916,1617
2.297,1615
2.3026,1607
2.3082,1611
2.3136,1616
2.3192,1613
2.3249,1608
2.3305,1613
2.3359,1617
2.3415,1611
2.3472,1611
2.3525,1617
2.3581,1613
2.3638,1609
2.3691,1614
2.3748,1617
2.3804,1610
2.3858,1610
2.3914,1618
2.3971,1617
2.4027,1607
2.4081,1610
2.4137,1619
2.4193,1615
2.4247,1608
2.4303,1611
2.436,1616
2.4416,1612
2.447,1608
2.4526,1618
2.4583,1615
2.4636,1609
2.4693,1613
2.4749,1616
2.4803,1610
2.4859,1609
2.4913,1621
2.497,1615
2.5026,1608
2.5082,1612
2.5136,1619
2.5193,1613
2.5249,1610
2.5303,1615
2.5359,1611
2.5416,1609
2.5469,1616
2.5526,1611
2.5582,1609
2.5636,1618
2.5692,1614
2.5749,1607
2.5805,1611
2.5859,1618
2.5915,1613
2.5971,1608
2.6025,1617
2.6081,1616
2.6138,1608
2.6194,1612
2.6248,1616
2.6304,1611
2.636,1609
2.6414,1615
2.647,1615
2.6527,1608
2.6583,1612
2.6636,1616
2.6693,1610
2.6749,1609
2.6803,1614
2.6859,1614
2.6916,1608
2.6969,1610
2.7026,1618
2.7082,1611
2.7138,1611
2.7192,1617
2.7248,1612
2.7305,1608
2.7359,1614
2.7415,1615
2.7471,1611
2.7525,1609
2.7581,1616
2.7638,1610
2.7691,1608
2.7748,1614
2.7804,1613
2.7861,1608
2.7914,1612
2.7971,1616
2.8027,1611
2.8081,1610
2.8137,1616
2.8194,1614
2.8248,1608
2.8304,1614
2.836,1615
2.8414,1609
2.847,1611
2.8527,1617
2.8581,1612
2.8637,1608
2.8694,1615
2.8747,1616
2.8804,1606
2.886,1613
2.8914,1616
2.897,1613
2.9027,1607
2.9083,1616
2.9137,1613
2.9194,1607
2.9248,1611
2.9304,1616
2.936,1615
2.9414,1607
2.9471,1615
2.9527,1615
2.9581,1607
2.9637,1610
2.9693,1618
2.9747,1615
2.9803,1606
2.986,1611
2.9916,1616
2.997,1611
3.0025,1606
3.0081,1618
3.0138,1614
3.0192,1605
3.0248,1612
3.0303,1618
3.036,1613
3.0416,1608
3.047,1615
3.0526,1615
3.0581,1609
3.0638,1609
3.0694,1617
3.0748,1613
3.0804,1607
3.0859,1613
3.0916,1617
3.0969,1610
3.1026,1609
3.1082,1615
3.1137,1616
3.1194,1607
3.1247,1610
3.1304,1617
3.136,1613
3.1414,1606
3.147,1614
3.1527,1619
3.158,1612
3.1637,1608
3.1693,1617
3.175,1616
3.1803,1609
3.186,1611
3.1916,1618
3.197,1613
3.2026,1608
3.2082,1614
3.2136,1616
3.2192,1609
3.2249,1612
3.2303,1616
3.2359,1611
3.2415,1609
3.2472,1616
3.2525,1614
3.2582,1608
3.2638,1612
3.2692,1616
3.2748,1611
3.2805,1608
3.2858,1616
3.2915,1616
3.2971,1609
3.3025,1610
3.3081,1615
3.3138,1615
3.3194,1609
3.3248,1613
3.3304,1616
3.3361,1611
3.3414,1608
3.347,1617
3.3527,1612
3.3583,1607
3.3637,1614
3.3693,1616
3.375,1609
3.3803,1608
3.386,1616
3.3916,1614
3.397,1606
3.4026,1610
3.4083,1618
3.4136,1612
3.4193,1609
3.4249,1617
3.4303,1619
3.4359,1608
3.4416,1611
3.447,1615
3.4526,1614
3.4582,1609
3.4636,1614
3.4692,1617
3.4749,1610
3.4805,1609
3.4859,1617
3.4915,1613
3.4971,1609
3.5028,1615
3.5081,1617
3.5138,1609
3.5192,1612
3.5248,1618
3.5305,1612
3.5361,1609
3.5414,1615
3.5471,1616
3.5527,1610
3.5581,1613
3.5637,1617
3.5694,1611
3.5747,1607
3.5804,1616
3.586,1616
3.5914,1609
3.5971,1611
3.6027,1616
3.6081,1610
3.6137,1610
3.6193,1615
3.625,1616
3.6304,1609
3.636,1613
3.6416,1615
3.647,1608
3.6526,1612
3.6583,1615
3.6637,1611
3.6693,1608
3.675,1615
3.6803,1614
3.686,1610
3.6916,1613
3.6972,1617
3.7026,1610
3.7082,1609
3.7136,1617
3.7192,1613
3.7249,1608
3.7305,1615
3.7359,1619
3.7415,1613
3.7472,1606
3.7525,1615
3.7582,1614
3.7638,1606
3.7692,1609
3.7748,1617
3.7805,1611
3.7859,1607
3.7915,1614
3.7972,1617
3.8025,1609
3.8082,1610
3.8138,1617
3.8192,1614
3.8248,1610
3.8305,1613
3.8359,1616
3.8415,1610
3.8472,1609
3.8525,1616
3.8582,1614
3.8638,1608
3.8692,1613
3.8748,1613
3.8805,1611
3.8858,1610
3.8915,1615
3.8971,1610
3.9025,1608
3.9081,1615
3.9138,1614
3.9194,1608
3.9248,1612
3.9304,1615
3.936,1610
3.9414,1607
3.9471,1615
3.9527,1616
