Experiment: June_23_negative_cntrl_expt vial 9, Wed Jun 23 11:25:37 2021
0,0
0.0268,0.4
6.6826,0.2
6.6991,0.4
8.1713,0.2
8.1881,0.4
9.6881,0.2
9.7048,0.4
11.2325,0.2
11.2491,0.4
12.6714,0.2
12.6882,0.4
14.1771,0.2
14.1938,0.4
15.6883,0.2
15.705,0.4
17.1771,0.2
17.1939,0.4
18.6106,0.2
18.6272,0.4
20.0551,0.2
20.0715,0.4
21.5662,0.2
21.5829,0.4
23.0164,0.2
23.0328,0.4
24.5218,0.2
24.5385,0.4
25.9609,0.2
25.9775,0.4
27.483,0.2
27.4997,0.4
28.9274,0.2
28.9607,0.4
30.3608,0.2
30.383,0.4
31.822,0.2
31.8555,0.4
33.2664,0.2
33.3054,0.4
34.4943,0.2
34.5554,0.4
35.8111,0.2
35.8609,0.4
37.2665,0.2
37.3553,0.4
39.1945,0.2
39.2667,0.4
40.5388,0.2
40.6167,0.4
42.2946,0.2
42.339,0.4
43.7111,0.2
43.7946,0.4
45.6002,0.2
45.639,0.4
46.9336,0.2
47.0224,0.4
48.8279,0.2
48.8557,0.4
50.217,0.2
50.3113,0.4
52.1558,0.2
52.2392,0.4
54.1114,0.2
54.1615,0.4
55.4837,0.2
55.5615,0.4
56.9393,0.2
57.0116,0.4
58.3506,0.2
58.4116,0.4
59.7393,0.2
59.8005,0.4
61.2282,0.2
61.3005,0.4
62.5671,0.2
62.6173,0.4
63.9841,0.2
64.0118,0.4
65.3783,0.2
65.4505,0.4
66.7117,0.2
66.7394,0.4
68.2173,0.2
68.2841,0.4
69.5841,0.2
69.6452,0.4
71.0341,0.2
71.0953,0.4
72.412,0.2
72.4397,0.4
73.9288,0.2
73.9952,0.4
75.3343,0.2
75.3565,0.4
76.7176,0.2
76.7454,0.4
78.1621,0.2
78.2177,0.4
79.6121,0.2
79.6399,0.4
81.0232,0.2
81.0566,0.4
82.4457,0.2
82.4678,0.4
83.7844,0.2
83.851,0.4
85.2068,0.2
85.229,0.4
86.6734,0.2
86.7069,0.4
87.868,0.2
87.8901,0.4
89.2236,0.2
89.2514,0.4
90.6181,0.2
90.6791,0.4
92.0513,0.2
92.0734,0.4
93.5513,0.2
93.6069,0.4
94.9737,0.2
95.0181,0.4
96.4516,0.2
96.4905,0.4
97.9348,0.2
97.9626,0.4
99.3737,0.2
99.4072,0.4
100.8794,0.2
100.9237,0.4
102.4736,0.2
102.5293,0.4
103.8461,0.2
103.8682,0.4
105.4073,0.2
105.435,0.4
107.0352,0.2
107.0628,0.4
108.6295,0.2
108.6517,0.4
110.213,0.2
110.2351,0.4
111.7406,0.2
111.7797,0.4
113.2574,0.2
113.2797,0.4
114.9299,0.2
114.9575,0.4
116.4352,0.2
116.4632,0.4
118.1576,0.2
118.1908,0.4
119.7019,0.2
119.7243,0.4
121.5021,0.2
121.5242,0.4
123.63,0.2
123.6522,0.4
125.7132,0.2
125.7356,0.4
127.9745,0.2
127.9967,0.4
130.1911,0.2
130.2135,0.4
132.3858,0.2
132.408,0.4
134.4468,0.2
134.4746,0.4
136.4582,0.2
136.4803,0.4
138.3913,0.2
138.4136,0.4
140.5247,0.2
140.547,0.4
142.2917,0.2
142.3138,0.4
144.175,0.2
144.1972,0.4
146.0084,0.2
146.0304,0.4
148.0194,0.2
148.0416,0.4
149.8417,0.2
149.8639,0.4
