Experiment: June_23_negative_cntrl_expt vial 2, Wed Jun 23 11:25:39 2021
0.0044,174
0.0101,171
0.0157,171
0.0211,172
0.0268,171
0.0324,172
0.0378,172
0.0435,172
0.0489,172
0.0545,174
0.0602,175
0.0656,170
0.0713,174
0.0766,174
0.0823,172
0.0879,172
0.0933,172
0.099,170
0.1046,171
0.11,170
0.1157,171
0.1213,172
0.1267,171
0.1324,174
0.1377,171
0.1434,171
0.149,171
0.1546,170
0.16,174
0.1656,171
0.1713,175
0.1766,173
0.1822,171
0.1879,174
0.1935,171
0.1989,174
0.2045,172
0.2099,172
0.2156,171
0.2213,171
0.2266,172
0.2323,173
0.238,173
0.2434,172
0.249,174
0.2544,175
0.2601,173
0.2657,173
0.2711,173
0.2768,173
0.2821,171
0.2878,174
0.2934,173
0.2991,173
0.3044,173
0.31,173
0.3157,173
0.3213,171
0.3267,173
0.3323,173
0.3379,171
0.3433,171
0.3489,171
0.3546,171
0.3602,174
0.3655,175
0.3712,170
0.3768,171
0.3822,173
0.3879,172
0.3935,174
0.3989,172
0.4045,171
0.4102,171
0.4155,171
0.4212,174
0.4268,169
0.4322,174
0.4379,172
0.4433,171
0.4489,174
0.4546,172
0.4602,171
0.4656,172
0.4711,173
0.4768,176
0.4822,173
0.4878,173
0.4934,174
0.4989,175
0.5046,175
0.5102,173
0.5156,173
0.5212,173
0.5266,173
0.5323,174
0.5379,172
0.5435,171
0.5489,172
0.5544,173
0.5601,172
0.5657,174
0.5713,173
0.5767,175
0.5823,173
0.5879,175
0.5935,173
0.5989,171
0.6045,174
0.6101,171
0.6157,172
0.6213,169
0.6267,174
0.6323,172
0.6379,175
0.6435,174
0.6488,174
0.6545,175
0.6601,173
0.6657,174
0.6713,173
0.6767,172
0.6823,174
0.6879,171
0.6935,173
0.6989,175
0.7045,174
0.7101,177
0.7157,175
0.7211,174
0.7267,175
0.7324,173
0.7377,173
0.7434,175
0.749,173
0.7546,174
0.76,171
0.7656,174
0.7712,173
0.7768,173
0.7822,172
0.7878,177
0.7935,173
0.7991,174
0.8044,174
0.8101,175
0.8157,171
0.8211,170
0.8267,173
0.8323,173
0.838,172
0.8433,173
0.8489,175
0.8546,172
0.8602,174
0.8655,173
0.8712,173
0.8768,175
0.8824,174
0.8878,173
0.8934,173
0.899,172
0.9046,173
0.91,174
0.9156,172
0.9212,168
0.9266,174
0.9322,175
0.9379,175
0.9435,174
0.9491,172
0.9545,175
0.9601,175
0.9657,172
0.9711,173
0.9767,177
0.9823,175
0.988,175
0.9933,175
0.9989,174
1.0046,174
1.01,174
1.0156,175
1.0213,172
1.0266,174
1.0323,175
1.0379,175
1.0433,175
1.0489,175
1.0544,172
1.0601,174
1.0655,175
1.0712,174
1.0766,174
1.0822,175
1.0879,174
1.0933,173
1.099,175
1.1044,175
1.1101,174
1.1158,175
1.1211,177
1.1268,176
1.1322,176
1.1379,174
1.1435,174
1.1489,174
1.1545,174
1.1602,175
1.1656,175
1.1712,174
1.1769,173
1.1822,174
1.1879,174
1.1935,173
1.1989,175
1.2046,173
1.21,176
1.2157,171
1.2211,175
1.2268,173
1.2325,171
1.2379,173
1.2436,175
1.249,173
1.2546,173
1.2601,172
1.2658,176
1.2712,173
1.2768,173
1.2823,173
1.2879,174
1.2934,172
1.299,176
1.3044,174
1.3102,171
1.3156,172
1.3213,173
1.3267,169
1.3324,174
1.3378,171
1.3435,174
1.3489,174
1.3546,175
1.36,173
1.3657,174
1.3711,173
1.3768,172
1.3823,174
1.388,175
1.3934,174
1.3991,173
1.4045,173
1.4101,174
1.4155,174
1.4212,174
1.4266,174
1.4323,174
1.438,174
1.4434,172
1.4491,172
1.4545,172
1.4602,177
1.4656,173
1.4713,173
1.4767,174
1.4824,174
1.4878,175
1.4935,171
1.4989,175
1.5046,174
1.51,174
1.5157,175
1.5211,175
1.5268,174
1.5322,177
1.5379,174
1.5433,175
1.549,175
1.5547,174
1.5601,173
1.5658,172
1.5712,174
1.5769,174
1.5823,173
1.5879,176
1.5933,173
1.5991,175
1.6045,175
1.6102,177
1.6156,174
1.6213,175
1.6267,174
1.6324,174
1.6378,174
1.6435,172
1.6489,174
1.6545,174
1.6602,174
1.6656,176
1.6713,175
1.6766,174
1.6823,173
1.6879,174
1.6935,170
1.6989,172
1.7046,177
1.7099,174
1.7157,172
1.7211,174
