Experiment: June_23_negative_cntrl_expt vial 1, Wed Jun 23 11:25:37 2021
0,0
7.3714,23.52
8.5326,24.32
10.0324,24.0
11.4492,23.63
11.6213,26.47
11.9047,27.05
13.9271,30
16.355,23.51
16.9495,24.3
17.616,23.73
18.8829,26.46
19.4494,25.21
21.0939,30
23.4331,23.64
23.9164,30
23.9829,27.03
27.1106,23.75
28.3773,23.59
29.694,23.7
30.972,23.63
32.3054,23.52
33.6554,23.51
35.0221,23.82
36.3556,23.78
37.65,24.91
37.861,25
40.1165,23.56
41.3501,23.64
42.4779,23.5
42.5446,11.07
43.8947,23.6
43.9667,11.37
45.8891,23.53
47.1614,23.61
48.2723,23.57
49.6614,23.69
50.9336,23.57
52.3169,23.6
53.6671,23.55
55.0171,23.55
56.2114,23.89
57.6949,23.61
59.0893,23.75
60.4617,24.02
61.8616,23.66
62.4618,25
64.5117,23.57
65.8339,23.66
67.1729,23.76
68.4175,23.76
69.7508,23.61
70.623,23.97
72.3396,23.57
73.6121,23.58
74.8785,23.57
76.1787,23.54
77.5898,23.91
78.9845,23.81
80.2123,24.31
81.7511,23.67
83.151,23.66
84.5067,23.68
84.6901,24.96
86.8345,23.51
88.1069,23.83
89.3401,23.81
90.3792,23.61
91.4901,23.96
92.5125,23.98
93.8958,25
95.2848,23.54
96.5571,23.85
97.8683,23.72
99.0517,23.5
100.2128,24.14
101.6459,23.5
102.1627,25
104.1238,24.12
105.5017,23.76
106.6685,23.53
108.0573,23.58
109.3018,23.51
110.6962,23.71
111.9964,23.62
113.4131,23.57
114.5185,23.61
115.7464,23.52
116.8354,23.94
118.6576,23.56
120.0966,23.69
121.5742,23.53
123.0133,23.86
124.5577,23.97
126.0079,23.68
127.5412,24.04
129.2689,24.15
130.869,23.57
132.4801,25
134.2745,23.87
135.6525,24.47
137.5358,23.55
139.2803,23.64
141.0469,23.87
142.9805,23.82
144.9751,23.67
147.6748,23.6
150.0807,24.37
