Experiment: June_23_negative_cntrl_expt vial 3, Wed Jun 23 11:25:39 2021
0.0044,1628
0.0101,1625
0.0157,1624
0.0211,1629
0.0268,1626
0.0324,1623
0.0378,1630
0.0435,1627
0.0489,1623
0.0545,1626
0.0602,1630
0.0656,1621
0.0713,1626
0.0766,1629
0.0823,1622
0.0879,1624
0.0933,1629
0.099,1625
0.1046,1621
0.11,1632
0.1157,1625
0.1213,1623
0.1267,1630
0.1324,1624
0.1377,1623
0.1434,1628
0.149,1627
0.1546,1623
0.16,1628
0.1656,1625
0.1713,1624
0.1766,1627
0.1822,1625
0.1879,1624
0.1935,1629
0.1989,1628
0.2045,1623
0.2099,1629
0.2156,1627
0.2213,1623
0.2266,1629
0.2323,1628
0.238,1625
0.2434,1628
0.249,1625
0.2544,1624
0.2601,1631
0.2657,1627
0.2711,1624
0.2768,1629
0.2821,1624
0.2878,1624
0.2934,1627
0.2991,1624
0.3044,1626
0.31,1630
0.3157,1623
0.3213,1625
0.3267,1630
0.3323,1625
0.3379,1625
0.3433,1629
0.3489,1625
0.3546,1624
0.3602,1627
0.3655,1625
0.3712,1623
0.3768,1629
0.3822,1625
0.3879,1623
0.3935,1629
0.3989,1627
0.4045,1622
0.4102,1630
0.4155,1626
0.4212,1621
0.4268,1627
0.4322,1630
0.4379,1624
0.4433,1625
0.4489,1628
0.4546,1624
0.4602,1624
0.4656,1630
0.4711,1624
0.4768,1623
0.4822,1631
0.4878,1625
0.4934,1624
0.4989,1628
0.5046,1628
0.5102,1623
0.5156,1627
0.5212,1614
0.5266,1625
0.5323,1629
0.5379,1625
0.5435,1626
0.5489,1629
0.5544,1624
0.5601,1626
0.5657,1627
0.5713,1623
0.5767,1629
0.5823,1625
0.5879,1625
0.5935,1631
0.5989,1625
0.6045,1623
0.6101,1630
0.6157,1625
0.6213,1621
0.6267,1630
0.6323,1626
0.6379,1624
0.6435,1629
0.6488,1629
0.6545,1622
0.6601,1628
0.6657,1626
0.6713,1624
0.6767,1627
0.6823,1626
0.6879,1623
0.6935,1627
0.6989,1630
0.7045,1623
0.7101,1627
0.7157,1629
0.7211,1624
0.7267,1629
0.7324,1627
0.7377,1622
0.7434,1626
0.749,1628
0.7546,1624
0.76,1627
0.7656,1628
0.7712,1624
0.7768,1629
0.7822,1624
0.7878,1627
0.7935,1627
0.7991,1625
0.8044,1630
0.8101,1628
0.8157,1625
0.8211,1628
0.8267,1626
0.8323,1623
0.838,1628
0.8433,1624
0.8489,1626
0.8546,1628
0.8602,1621
0.8655,1626
0.8712,1628
0.8768,1622
0.8824,1630
0.8878,1629
0.8934,1625
0.899,1628
0.9046,1625
0.91,1628
0.9156,1626
0.9212,1626
0.9266,1627
0.9322,1624
0.9379,1627
0.9435,1630
0.9491,1624
0.9545,1626
0.9601,1628
0.9657,1623
0.9711,1625
0.9767,1628
0.9823,1626
0.988,1626
0.9933,1629
0.9989,1622
1.0046,1626
1.01,1628
1.0156,1622
1.0213,1625
1.0266,1629
1.0323,1623
1.0379,1625
1.0433,1630
1.0489,1623
1.0544,1624
1.0601,1629
1.0655,1625
1.0712,1623
1.0766,1629
1.0822,1625
1.0879,1625
1.0933,1629
1.099,1625
1.1044,1625
1.1101,1628
1.1158,1623
1.1211,1627
1.1268,1627
1.1322,1624
1.1379,1628
1.1435,1628
1.1489,1626
1.1545,1628
1.1602,1624
1.1656,1628
1.1712,1628
1.1769,1622
1.1822,1629
1.1879,1625
1.1935,1623
1.1989,1630
1.2046,1628
1.21,1624
1.2157,1630
1.2211,1628
1.2268,1621
1.2325,1629
1.2379,1626
1.2436,1624
1.249,1626
1.2546,1629
1.2601,1623
1.2658,1627
1.2712,1628
1.2768,1623
1.2823,1624
1.2879,1628
1.2934,1625
1.299,1626
1.3044,1629
1.3102,1625
1.3156,1625
1.3213,1631
1.3267,1624
1.3324,1626
1.3378,1631
1.3435,1625
1.3489,1624
1.3546,1628
1.36,1624
1.3657,1624
1.3711,1629
1.3768,1625
1.3823,1623
1.388,1628
1.3934,1626
1.3991,1625
1.4045,1630
1.4101,1625
1.4155,1623
1.4212,1629
1.4266,1626
1.4323,1623
1.438,1629
1.4434,1626
1.4491,1623
1.4545,1629
1.4602,1624
1.4656,1630
1.4713,1627
1.4767,1624
1.4824,1626
1.4878,1626
1.4935,1624
1.4989,1627
1.5046,1623
1.51,1626
1.5157,1627
1.5211,1623
1.5268,1627
1.5322,1628
1.5379,1625
1.5433,1627
1.549,1628
1.5547,1622
1.5601,1627
1.5658,1628
1.5712,1624
1.5769,1628
1.5823,1626
1.5879,1625
1.5933,1629
1.5991,1624
1.6045,1625
1.6102,1629
1.6156,1626
1.6213,1623
1.6267,1628
1.6324,1626
1.6378,1626
1.6435,1627
1.6489,1625
1.6545,1624
1.6602,1629
1.6656,1627
1.6713,1626
1.6766,1628
1.6823,1625
1.6879,1627
1.6935,1627
1.6989,1624
1.7046,1628
1.7099,1630
1.7157,1622
1.7211,1628
1.7266,1630
1.7323,1622
1.738,1627
1.7434,1631
1.7491,1626
1.7545,1623
1.76,1629
1.7656,1626
1.7711,1623
1.7766,1629
1.7823,1630
1.7878,1623
1.7933,1626
1.799,1629
1.8045,1623
1.81,1623
1.8157,1631
1.8211,1624
1.8267,1622
1.8323,1629
1.8377,1625
1.8433,1623
1.849,1629
1.8545,1628
1.86,1623
1.8657,1628
1.8711,1626
1.8767,1622
1.8823,1630
1.8878,1627
1.8934,1623
1.899,1627
1.9044,1625
1.91,1625
1.9157,1630
1.9211,1624
1.9267,1626
1.9324,1627
1.9378,1621
1.9434,1625
1.9491,1628
1.9545,1624
1.96,1626
1.9657,1631
1.9711,1623
1.9767,1627
1.9824,1629
1.9878,1624
1.9933,1625
1.999,1629
2.0044,1623
2.0101,1625
2.0158,1629
2.0211,1623
2.0268,1629
2.0325,1626
2.0379,1624
2.0433,1629
2.0489,1626
2.0546,1622
2.06,1626
2.0657,1628
2.0711,1623
2.0766,1628
2.0823,1626
2.0878,1623
2.0934,1629
2.0989,1629
2.1045,1623
2.1101,1628
2.1155,1626
2.1212,1622
2.1266,1631
2.1323,1627
2.138,1626
2.1434,1629
2.1491,1629
2.1545,1624
2.1601,1628
2.1658,1629
2.1712,1624
2.1768,1629
2.1822,1627
2.1879,1624
2.1933,1628
2.199,1628
2.2044,1623
2.2101,1626
2.2155,1627
2.2212,1623
2.2268,1627
2.2322,1626
2.2379,1625
2.2433,1627
2.249,1625
2.2544,1627
2.2601,1627
2.2655,1624
2.2712,1628
2.2766,1625
2.2823,1625
2.2878,1630
2.2935,1624
2.2989,1623
2.3046,1630
2.31,1627
2.3157,1623
2.3211,1631
2.3268,1626
2.3323,1623
2.338,1629
2.3434,1624
2.3491,1624
2.3545,1629
2.3602,1627
2.3656,1621
2.3713,1629
2.3767,1627
2.3824,1622
2.3878,1628
2.3935,1627
2.3989,1625
2.4046,1627
2.41,1629
2.4157,1625
2.4211,1626
2.4268,1631
2.4322,1624
2.4379,1622
2.4433,1630
2.449,1626
2.4544,1625
2.4601,1628
2.4655,1627
2.4712,1625
2.4767,1629
2.4823,1625
2.488,1629
2.4934,1626
2.4991,1625
2.5046,1629
2.51,1626
2.5157,1625
2.5211,1628
