Experiment: Mar_16_osmo_expt vial 10, Tue Mar 16 20:56:43 2021
0.0015,32773
0.0064,32767
0.0118,32770
0.0175,32763
0.0229,32769
0.0286,32768
0.034,32768
0.0397,32765
0.0451,32763
0.0508,32767
0.0562,32765
0.0619,32768
0.0673,32766
0.073,32766
0.0784,32767
0.0841,32765
0.0897,32767
0.0951,32767
0.1008,32770
0.1062,32767
0.1119,32767
0.1173,32765
0.123,32766
0.1284,32761
0.1341,32760
0.1395,32765
0.1452,32768
0.1505,32761
0.1562,32763
0.1619,32765
0.1673,32769
0.173,32766
0.1784,32765
0.1841,32766
0.1895,32766
0.1952,32767
0.2006,32768
0.2063,32767
0.2117,32767
0.2173,32770
0.2231,32768
0.2285,32766
0.2342,32769
0.2395,32766
0.2452,32765
0.2506,32768
0.2563,32768
0.2617,32769
0.2673,32764
0.273,32766
0.2784,32768
0.284,32763
0.2897,32765
0.2951,32767
0.3008,32768
0.3062,32770
0.3119,32766
0.3173,32766
0.3229,32767
0.3286,32766
0.334,32765
0.3397,32765
0.3451,32765
0.3507,32765
0.3561,32765
0.3618,32764
0.3673,32766
0.3729,32766
0.3785,32764
0.3839,32767
0.3897,32769
0.3951,32770
0.4007,32768
0.4061,32768
0.4118,32773
0.4172,32767
0.4229,32765
0.4283,32769
0.434,32770
0.4397,32767
0.4451,32767
0.4508,32769
0.4562,32768
0.462,32768
0.4674,32769
0.473,32771
0.4785,32766
0.4841,32768
0.4895,32769
0.4952,32772
0.5007,32769
0.5063,32768
0.5117,32766
0.5174,32767
0.5228,32766
0.5285,32767
0.5342,32766
0.5396,32765
0.5453,32766
0.5507,32768
0.5564,32768
0.5618,32765
0.5675,32765
0.5729,32767
0.5786,32769
0.584,32769
0.5897,32768
0.5951,32768
0.6008,32770
0.6062,32768
0.6119,32770
0.6173,32769
0.623,32767
0.6285,32767
0.6341,32769
0.6395,32768
0.6452,32769
0.6506,32766
0.6563,32769
0.6617,32769
0.6674,32767
0.6728,32769
0.6785,32768
0.684,32768
0.6897,32768
0.6951,32768
0.7007,32769
0.7062,32769
0.7119,32767
0.7173,32769
0.723,32767
0.7286,32775
0.7341,32772
0.7398,32765
0.7451,32768
0.7508,32767
0.7562,32769
0.7619,32771
0.7673,32767
0.773,32769
0.7784,32770
0.7841,32764
0.7895,32766
0.7952,32767
0.8006,32768
0.8063,32765
0.812,32767
0.8174,32770
0.8231,32770
0.8285,32765
0.8341,32767
0.8396,32769
0.8453,32765
0.8507,32768
0.8561,32769
0.8618,32770
0.8675,32767
0.8729,32767
0.8786,32770
0.884,32767
0.8897,32768
0.8951,32763
0.9008,32765
0.9062,32765
0.9119,32767
0.9173,32767
0.923,32766
0.9284,32764
0.9341,32767
0.9395,32762
0.9452,32769
0.9507,32770
0.9564,32769
0.9618,32765
0.9675,32762
0.9729,32769
0.9786,32769
0.984,32767
0.9897,32768
0.9951,32768
1.0008,32769
1.0062,32770
1.0119,32769
1.0173,32770
1.023,32768
1.0284,32768
1.0341,32768
1.0395,32768
1.0452,32769
1.0506,32769
1.0563,32765
1.0618,32769
1.0675,32768
1.0729,32772
1.0786,32767
1.084,32765
1.0897,32771
1.0951,32772
1.1007,32773
1.1062,32766
1.1119,32765
1.1173,32769
1.1229,32773
1.1284,32769
1.134,32771
1.1394,32768
1.1451,32771
1.1508,32769
1.1563,32766
1.1619,32769
1.1673,32770
1.173,32769
1.1784,32770
1.1841,32771
1.1895,32764
1.1952,32770
1.2006,32765
1.2063,32769
1.212,32768
1.2174,32769
1.2231,32770
1.2285,32768
1.2342,32766
1.2396,32766
1.2453,32768
1.2507,32769
1.2564,32770
1.2618,32765
1.2674,32768
1.2728,32763
1.2785,32761
1.284,32767
1.2897,32770
1.2951,32771
1.3007,32770
1.3064,32768
1.3118,32768
1.3175,32771
1.3229,32769
1.3286,32773
1.334,32771
1.3397,32768
1.3451,32771
1.3508,32768
1.3562,32769
1.3619,32766
1.3673,32772
1.373,32775
1.3784,32772
1.3841,32768
1.3895,32770
1.3952,32769
1.4006,32768
1.4063,32771
1.4117,32773
1.4174,32771
1.4228,32767
1.4285,32770
1.4339,32769
1.4396,32773
1.445,32771
1.4507,32770
1.4561,32765
1.4618,32765
1.4672,32767
1.4729,32767
1.4786,32765
1.484,32766
1.4897,32766
1.4951,32768
1.5008,32771
1.5062,32764
1.5119,32766
1.5173,32769
1.523,32767
1.5284,32768
1.5341,32770
1.5395,32771
1.5452,32769
1.5507,32768
1.5564,32769
1.5617,32768
1.5674,32772
1.5729,32772
1.5785,32768
1.584,32768
1.5897,32767
1.5951,32769
1.6008,32767
1.6062,32770
1.6119,32773
1.6173,32772
1.6229,32770
1.6286,32770
1.634,32766
1.6397,32772
1.6451,32767
1.6508,32766
1.6562,32764
1.6619,32764
1.6673,32768
1.673,32769
1.6784,32768
1.6841,32766
1.6895,32768
1.6952,32766
1.7006,32766
1.7061,32768
1.7118,32770
1.7175,32771
1.7229,32771
1.7286,32770
1.7339,32771
1.7396,32771
1.7453,32770
1.7507,32769
1.7564,32768
1.7617,32772
1.7674,32772
1.7731,32771
1.7785,32768
1.7842,32769
1.7895,32765
1.7952,32768
1.8006,32770
1.8063,32770
1.8117,32769
1.8174,32768
1.823,32768
1.8284,32767
1.8341,32770
1.8396,32771
1.8452,32770
1.8506,32770
1.8563,32765
1.8617,32770
1.8674,32770
1.873,32769
1.8784,32769
1.8841,32770
1.8897,32769
1.8951,32767
1.9008,32769
1.9062,32767
1.9119,32766
1.9173,32768
1.923,32767
1.9284,32769
1.9341,32768
1.9397,32767
1.9452,32769
1.9508,32769
1.9563,32765
1.9619,32763
1.9674,32766
1.973,32764
1.9784,32767
1.9841,32762
1.9895,32767
1.9952,32763
2.0007,32764
2.0064,32766
2.0118,32768
2.0173,32768
2.023,32769
2.0286,32768
2.0341,32766
2.0398,32765
2.0452,32767
2.0508,32769
2.0562,32766
2.0619,32766
2.0673,32772
2.073,32766
2.0784,32763
2.0841,32768
2.0895,32764
2.0952,32766
2.1009,32766
2.1063,32767
2.112,32770
2.1174,32762
2.1228,32766
2.1285,32770
2.134,32768
2.1396,32767
2.1453,32767
2.1507,32765
2.1564,32766
2.1618,32764
2.1675,32768
2.1729,32768
2.1786,32766
2.184,32768
2.1897,32767
2.1951,32768
2.2008,32768
2.2062,32768
2.2119,32768
2.2175,32768
2.223,32764
2.2286,32763
2.234,32767
2.2397,32769
2.2451,32765
2.2508,32769
2.2563,32768
2.2619,32768
2.2673,32764
2.273,32768
2.2784,32769
2.2841,32770
2.2898,32768
2.2952,32763
2.3009,32767
2.3063,32769
2.312,32770
2.3174,32765
2.3231,32766
2.3285,32769
2.3342,32770
2.3396,32765
2.3452,32766
2.3506,32767
2.3563,32765
2.3617,32764
2.3674,32764
2.3731,32766
2.3785,32773
2.3842,32766
2.3896,32768
2.3953,32767
2.4007,32767
2.4064,32768
2.4118,32771
2.4175,32769
2.4229,32766
2.4286,32769
2.434,32772
2.4397,32768
2.4451,32768
2.4508,32767
2.4562,32764
2.4619,32768
2.4673,32769
2.473,32768
2.4784,32768
2.4841,32766
2.4895,32769
2.4952,32769
2.5009,32766
2.5063,32767
2.512,32766
2.5174,32769
2.5231,32770
2.5285,32770
2.5342,32766
2.5396,32770
2.5453,32769
2.5507,32769
2.5564,32770
2.5618,32767
2.5675,32765
2.5729,32766
2.5786,32763
2.584,32768
2.5896,32767
2.5953,32770
2.6007,32768
2.6064,32770
2.6118,32767
2.6175,32769
2.6229,32770
2.6286,32772
2.6341,32766
2.6398,32768
2.6452,32770
2.6509,32771
2.6563,32768
2.6619,32768
2.6674,32770
2.6731,32768
2.6785,32769
2.6841,32769
2.6898,32768
2.6952,32769
2.7009,32768
2.7063,32770
2.712,32767
2.7174,32770
2.7231,32769
2.7285,32771
2.7342,32772
2.7396,32770
2.7453,32767
2.7507,32768
2.7564,32769
2.762,32767
2.7674,32770
2.7731,32767
2.7785,32769
2.7842,32774
2.7896,32771
2.7953,32769
2.8007,32770
2.8064,32772
2.812,32772
2.8175,32769
2.8231,32770
2.8285,32766
2.8342,32768
2.8396,32770
2.8453,32768
2.8507,32768
2.8564,32771
2.8618,32768
2.8675,32771
2.8729,32770
2.8786,32772
2.884,32770
2.8897,32767
2.8954,32767
2.9008,32769
2.9065,32768
2.9119,32769
2.9175,32768
2.923,32769
2.9286,32769
2.934,32767
2.9397,32769
2.9451,32771
2.9508,32772
2.9565,32773
2.9619,32770
2.9676,32768
2.973,32769
2.9787,32768
2.9841,32766
2.9898,32769
2.9952,32769
3.0009,32768
3.0063,32766
3.012,32768
3.0174,32770
3.0229,32770
3.0286,32768
3.0343,32771
3.0397,32770
3.0454,32767
3.0508,32770
3.0565,32770
3.0619,32769
3.0676,32767
3.073,32767
3.0787,32765
3.0841,32767
3.0898,32765
3.0952,32770
3.1008,32766
3.1063,32768
3.1119,32768
3.1174,32771
3.1231,32770
3.1284,32767
3.1341,32769
3.1398,32769
3.1452,32765
3.1509,32767
3.1563,32769
3.162,32769
3.1674,32771
3.1731,32769
3.1785,32763
3.1842,32767
3.1896,32765
3.1953,32764
3.2007,32766
3.2064,32772
3.2118,32766
3.2175,32767
3.2231,32768
3.2285,32766
3.2342,32766
3.2396,32765
3.2453,32762
3.2507,32771
3.2564,32766
3.2618,32764
3.2675,32766
3.2729,32763
3.2786,32764
3.284,32765
3.2897,32768
3.2951,32766
3.3008,32763
3.3065,32763
3.3118,32770
3.3175,32769
3.3229,32765
3.3286,32767
3.334,32767
3.3397,32768
3.3453,32771
3.3507,32767
3.3564,32765
3.3618,32769
3.3675,32770
3.3731,32767
3.3786,32767
3.3842,32765
3.3897,32768
3.3953,32767
3.401,32762
3.4064,32763
3.4118,32763
3.4175,32767
3.4231,32767
3.4285,32768
3.4342,32768
3.4396,32768
3.4453,32765
3.4507,32764
3.4564,32766
3.4621,32762
3.4675,32767
3.4729,32766
3.4786,32768
3.4843,32766
3.4897,32765
3.4954,32765
3.5008,32766
3.5065,32767
3.5119,32766
3.5176,32770
3.523,32768
3.5287,32768
3.5341,32768
3.5398,32770
3.5452,32765
3.5509,32767
3.5565,32761
3.5619,32764
3.5676,32766
3.573,32766
3.5787,32762
3.5841,32764
3.5898,32766
3.5952,32768
3.6009,32767
3.6063,32766
3.6121,32763
3.6175,32766
3.6232,32768
3.6286,32767
3.6343,32768
3.6397,32768
3.6454,32766
3.6508,32763
3.6564,32766
3.6618,32768
3.6675,32763
3.6729,32772
3.6786,32769
3.684,32768
3.6897,32767
3.6951,32766
3.7008,32766
3.7065,32766
3.7119,32771
3.7176,32764
3.723,32767
3.7287,32768
3.7341,32766
3.7398,32769
3.7453,32771
3.7509,32765
3.7563,32766
3.762,32762
3.7674,32768
3.7731,32766
3.7785,32764
3.7842,32767
3.7896,32766
3.7953,32768
3.8007,32768
3.8064,32767
3.8118,32769
3.8175,32769
3.8232,32765
3.8286,32767
3.8343,32765
3.8397,32766
3.8454,32766
3.8508,32765
3.8565,32768
3.8619,32767
3.8676,32769
3.873,32766
3.8787,32769
3.8841,32769
3.8897,32767
3.8954,32765
3.9008,32769
3.9065,32769
3.9119,32766
3.9176,32770
3.923,32772
3.9287,32769
3.9341,32767
3.9398,32767
3.9453,32767
3.951,32768
3.9563,32766
3.962,32767
3.9674,32764
3.9731,32763
3.9785,32764
3.9842,32767
3.9896,32768
3.9953,32770
4.001,32768
4.0065,32770
4.0119,32767
4.0175,32767
4.0229,32771
4.0287,32770
4.034,32771
4.0397,32768
4.0454,32767
4.0508,32767
4.0565,32766
