Experiment: Mar_16_osmo_expt vial 3, Tue Mar 16 20:56:43 2021
0.0015,1624
0.0064,1621
0.0118,1628
0.0175,1631
0.0229,1626
0.0286,1622
0.034,1630
0.0397,1625
0.0451,1625
0.0508,1628
0.0562,1627
0.0619,1624
0.0673,1628
0.073,1626
0.0784,1624
0.0841,1629
0.0897,1626
0.0951,1625
0.1008,1630
0.1062,1626
0.1119,1624
0.1173,1629
0.123,1626
0.1284,1621
0.1341,1628
0.1395,1626
0.1452,1624
0.1505,1630
0.1562,1626
0.1619,1624
0.1673,1628
0.173,1628
0.1784,1622
0.1841,1627
0.1895,1629
0.1952,1623
0.2006,1627
0.2063,1630
0.2117,1623
0.2173,1625
0.2231,1630
0.2285,1624
0.2342,1625
0.2395,1628
0.2452,1624
0.2506,1623
0.2563,1629
0.2617,1625
0.2673,1624
0.273,1630
0.2784,1625
0.284,1625
0.2897,1627
0.2951,1625
0.3008,1627
0.3062,1628
0.3119,1623
0.3173,1627
0.3229,1631
0.3286,1622
0.334,1626
0.3397,1630
0.3451,1623
0.3507,1621
0.3561,1629
0.3618,1629
0.3673,1622
0.3729,1628
0.3785,1627
0.3839,1623
0.3897,1627
0.3951,1628
0.4007,1624
0.4061,1628
0.4118,1628
0.4172,1623
0.4229,1629
0.4283,1629
0.434,1622
0.4397,1626
0.4451,1627
0.4508,1623
0.4562,1626
0.462,1629
0.4674,1623
0.473,1625
0.4785,1629
0.4841,1623
0.4895,1624
0.4952,1628
0.5007,1623
0.5063,1623
0.5117,1631
0.5174,1624
0.5228,1623
0.5285,1628
0.5342,1625
0.5396,1622
0.5453,1628
0.5507,1626
0.5564,1624
0.5618,1627
0.5675,1627
0.5729,1624
0.5786,1629
0.584,1625
0.5897,1624
0.5951,1629
0.6008,1624
0.6062,1625
0.6119,1631
0.6173,1626
0.623,1624
0.6285,1629
0.6341,1626
0.6395,1625
0.6452,1629
0.6506,1624
0.6563,1625
0.6617,1628
0.6674,1624
0.6728,1625
0.6785,1627
0.684,1625
0.6897,1624
0.6951,1627
0.7007,1622
0.7062,1626
0.7119,1630
0.7173,1622
0.723,1624
0.7286,1628
0.7341,1626
0.7398,1626
0.7451,1629
0.7508,1621
0.7562,1625
0.7619,1632
0.7673,1622
0.773,1625
0.7784,1632
0.7841,1624
0.7895,1626
0.7952,1630
0.8006,1626
0.8063,1624
0.812,1630
0.8174,1626
0.8231,1622
0.8285,1627
0.8341,1627
0.8396,1623
0.8453,1628
0.8507,1628
0.8561,1620
0.8618,1626
0.8675,1628
0.8729,1622
0.8786,1625
0.884,1632
0.8897,1623
0.8951,1626
0.9008,1628
0.9062,1623
0.9119,1626
0.9173,1630
0.923,1622
0.9284,1627
0.9341,1630
0.9395,1624
0.9452,1627
0.9507,1627
0.9564,1623
0.9618,1629
0.9675,1629
0.9729,1623
0.9786,1626
0.984,1627
0.9897,1622
0.9951,1631
1.0008,1626
1.0062,1622
1.0119,1628
1.0173,1626
1.023,1623
1.0284,1626
1.0341,1627
1.0395,1623
1.0452,1624
1.0506,1630
1.0563,1624
1.0618,1626
1.0675,1629
1.0729,1625
1.0786,1626
1.084,1628
1.0897,1622
1.0951,1627
1.1007,1627
1.1062,1623
1.1119,1628
1.1173,1629
1.1229,1622
1.1284,1622
1.134,1630
1.1394,1627
1.1451,1623
1.1508,1629
1.1563,1628
1.1619,1622
1.1673,1627
1.173,1628
1.1784,1622
1.1841,1627
1.1895,1629
1.1952,1624
1.2006,1628
1.2063,1629
1.212,1623
1.2174,1624
1.2231,1629
1.2285,1622
1.2342,1624
1.2396,1629
1.2453,1624
1.2507,1626
1.2564,1629
1.2618,1623
1.2674,1624
1.2728,1629
1.2785,1627
1.284,1623
1.2897,1629
1.2951,1627
1.3007,1623
1.3064,1625
1.3118,1627
1.3175,1622
1.3229,1626
1.3286,1630
1.334,1621
1.3397,1626
1.3451,1631
1.3508,1623
1.3562,1624
1.3619,1630
1.3673,1624
1.373,1624
1.3784,1629
1.3841,1625
1.3895,1625
1.3952,1628
1.4006,1624
1.4063,1624
1.4117,1628
1.4174,1626
1.4228,1625
1.4285,1629
1.4339,1624
1.4396,1623
1.445,1629
1.4507,1628
1.4561,1624
1.4618,1630
1.4672,1626
1.4729,1624
1.4786,1629
1.484,1626
1.4897,1621
1.4951,1628
1.5008,1626
1.5062,1625
1.5119,1630
1.5173,1625
1.523,1625
1.5284,1627
1.5341,1624
1.5395,1625
1.5452,1628
1.5507,1624
1.5564,1627
1.5617,1628
1.5674,1624
1.5729,1628
1.5785,1627
1.584,1623
1.5897,1630
1.5951,1625
1.6008,1623
1.6062,1630
1.6119,1627
1.6173,1624
1.6229,1628
1.6286,1626
1.634,1624
1.6397,1627
1.6451,1626
1.6508,1624
1.6562,1627
1.6619,1628
1.6673,1619
1.673,1629
1.6784,1627
1.6841,1620
1.6895,1625
1.6952,1629
1.7006,1623
1.7061,1626
1.7118,1629
1.7175,1622
1.7229,1626
1.7286,1629
1.7339,1623
1.7396,1626
1.7453,1629
1.7507,1623
1.7564,1625
1.7617,1630
1.7674,1623
1.7731,1626
1.7785,1629
1.7842,1623
1.7895,1626
1.7952,1630
1.8006,1624
1.8063,1628
1.8117,1633
1.8174,1622
1.823,1627
1.8284,1628
1.8341,1622
1.8396,1627
1.8452,1632
1.8506,1623
1.8563,1624
1.8617,1629
1.8674,1625
1.873,1625
1.8784,1627
1.8841,1628
1.8897,1625
1.8951,1628
1.9008,1630
1.9062,1621
1.9119,1626
1.9173,1629
