Experiment: Mar_18_osmo_expt vial 10, Thu Mar 18 18:20:50 2021
0.0052,59580
0.0109,59580
0.0165,59579
0.0219,59582
0.0275,59578
0.0332,59584
0.0388,59583
0.0442,59578
0.0498,59578
0.0554,59579
0.0608,59579
0.0664,59581
0.072,59578
0.0777,59581
0.083,59583
0.0887,59580
0.0943,59580
0.0997,59582
0.1053,59584
0.111,59580
0.1163,59584
0.122,59586
0.1276,59579
0.1332,59580
0.1386,59580
0.1442,59578
0.1498,59580
0.1554,59576
0.1608,59581
0.1664,59580
0.1721,59580
0.1774,59580
0.183,59578
0.1887,59580
0.1943,59578
0.1997,59580
0.2053,59578
0.2109,59579
0.2166,59577
0.2219,59578
0.2276,59581
0.2332,59579
0.2386,59577
0.2442,59576
0.2498,59578
0.2555,59578
0.2608,59576
0.2665,59579
0.2721,59578
0.2775,59578
0.283,59579
0.2886,59577
0.2942,59578
0.2999,59576
0.3052,59577
0.3108,59576
0.3164,59577
0.3221,59580
0.3275,59578
0.3331,59576
0.3386,59576
0.3442,59572
0.3499,59578
0.3552,59577
0.3608,59580
0.3664,59580
0.372,59580
0.3774,59577
0.383,59575
0.3887,59577
0.3942,59575
0.3998,59577
0.4052,59576
0.4108,59575
0.4165,59573
0.422,59579
0.4277,59579
0.433,59577
0.4387,59578
0.4443,59578
0.4496,59574
0.4553,59573
0.4609,59574
0.4666,59578
0.4719,59573
0.4776,59574
0.4832,59577
0.4885,59577
0.4942,59574
0.4998,59576
0.5054,59574
0.5108,59576
0.5164,59575
0.522,59574
0.5277,59573
0.533,59575
0.5387,59578
0.5443,59573
0.5497,59574
0.5553,59577
0.561,59575
0.5666,59579
0.572,59577
0.5776,59576
0.5832,59576
0.5886,59577
0.5942,59577
0.5999,59577
0.6052,59574
0.6108,59575
0.6165,59575
0.6221,59574
0.6277,59578
0.6331,59573
0.6387,59575
0.6444,59573
0.6497,59572
0.6554,59575
0.661,59575
0.6663,59578
0.672,59576
0.6776,59577
0.6832,59576
0.6886,59573
0.6942,59573
0.6999,59575
0.7052,59573
0.7109,59573
0.7165,59573
0.7221,59572
0.7275,59574
0.7331,59573
0.7388,59576
0.7441,59572
0.7498,59576
0.7554,59573
0.7607,59575
0.7664,59572
0.772,59574
0.7777,59574
0.783,59574
0.7887,59574
0.7943,59576
0.7997,59576
0.8053,59577
0.8109,59577
0.8166,59576
0.8219,59572
0.8276,59577
0.8332,59577
0.8385,59576
0.8442,59578
0.8498,59572
0.8555,59573
0.8608,59576
0.8664,59577
0.872,59578
0.8777,59574
0.883,59577
0.8887,59579
0.8943,59578
0.8997,59575
0.9053,59577
0.9109,59580
0.9163,59576
0.9219,59575
0.9276,59578
0.9332,59575
0.9388,59577
0.9442,59577
0.9498,59573
0.9555,59574
0.9608,59577
0.9663,59573
0.972,59572
0.9776,59577
0.9832,59576
0.9886,59576
0.9941,59576
0.9998,59578
1.0054,59575
1.0108,59577
1.0164,59573
1.022,59577
1.0276,59578
1.0332,59573
1.0386,59573
1.0443,59575
1.0498,59576
1.0554,59575
1.0608,59577
1.0664,59575
1.072,59578
1.0776,59577
1.0832,59575
1.0886,59575
1.0942,59569
1.0999,59578
1.1054,59580
1.111,59574
1.1164,59575
1.122,59576
1.1276,59575
1.133,59575
1.1386,59574
1.1443,59576
1.1499,59574
1.1553,59574
1.1609,59574
1.1666,59574
1.1719,59574
1.1776,59576
1.1832,59575
1.1888,59575
1.1942,59575
1.1998,59580
1.2054,59574
1.2108,59579
1.2164,59578
1.222,59575
1.2277,59575
1.233,59571
1.2387,59575
1.2443,59576
1.2499,59572
1.2553,59574
1.2609,59578
1.2666,59574
1.2719,59578
1.2776,59575
1.2832,59573
1.2888,59571
1.2942,59577
1.2998,59578
1.3055,59578
1.3108,59576
1.3165,59577
1.3221,59578
1.3275,59577
1.3331,59579
1.3387,59578
1.3444,59575
1.3497,59576
1.3554,59580
1.361,59573
1.3664,59575
1.372,59578
1.3776,59576
1.383,59574
1.3886,59579
1.3943,59579
1.3999,59579
1.4053,59581
1.4109,59575
1.4166,59578
1.4219,59576
1.4275,59574
1.4332,59576
1.4388,59579
1.4442,59578
1.4498,59575
1.4554,59576
1.4608,59573
1.4664,59575
1.4721,59579
1.4777,59569
1.4831,59579
1.4887,59575
1.4943,59575
1.4997,59576
1.5053,59577
1.511,59577
1.5166,59575
1.522,59576
1.5276,59575
1.5333,59576
1.5386,59576
1.5443,59575
1.5499,59575
1.5553,59576
1.5609,59579
1.5665,59576
1.5722,59577
1.5775,59577
1.5832,59576
1.5888,59580
1.5942,59576
1.5998,59576
1.6054,59577
1.6108,59576
1.6165,59575
1.6221,59574
1.6277,59575
1.6331,59578
1.6387,59574
1.6443,59576
1.6497,59573
1.6553,59574
1.661,59572
1.6666,59575
1.6719,59573
1.6776,59575
1.6832,59575
1.6886,59574
1.6942,59575
1.6998,59574
1.7055,59573
1.7108,59576
1.7164,59574
1.7221,59576
1.7277,59574
1.7331,59573
1.7387,59576
1.7443,59574
1.7497,59575
1.7553,59576
1.761,59576
1.7666,59573
1.772,59574
1.7776,59575
1.7833,59575
1.7886,59574
1.7942,59575
1.7999,59576
1.8053,59575
1.8109,59576
1.8165,59573
1.8221,59577
1.8275,59579
1.8331,59578
1.8388,59576
1.8441,59574
1.8498,59577
1.8554,59578
1.861,59575
1.8664,59577
1.872,59576
1.8776,59577
1.8833,59578
1.8886,59573
1.8943,59575
1.8999,59576
1.9053,59576
1.9109,59573
1.9164,59576
1.922,59576
1.9277,59575
1.9333,59575
1.9386,59575
1.9442,59575
1.9499,59574
1.9555,59577
1.9609,59578
1.9665,59576
1.972,59574
1.9777,59575
1.9831,59577
1.9887,59577
1.9943,59576
1.9997,59574
2.0053,59578
2.0108,59579
2.0164,59575
2.022,59575
2.0276,59574
2.0333,59571
2.0386,59578
2.0443,59577
2.0499,59575
2.0553,59574
2.0609,59576
2.0666,59573
2.0719,59575
2.0776,59575
2.0832,59574
2.0886,59570
2.0942,59571
2.0998,59572
2.1055,59572
2.1108,59569
2.1165,59573
2.1221,59570
2.1277,59568
2.1331,59570
2.1387,59572
2.1443,59572
2.1497,59571
2.1554,59571
2.161,59569
2.1666,59573
2.172,59568
2.1776,59570
2.1832,59570
2.1886,59570
2.1943,59572
2.1999,59570
2.2052,59573
2.2109,59572
2.2165,59567
2.2219,59569
2.2275,59570
2.2332,59570
2.2388,59566
2.2442,59569
2.2498,59566
2.2555,59570
2.2608,59566
2.2665,59567
2.2721,59569
2.2775,59570
2.2831,59571
2.2887,59568
2.2944,59568
2.2997,59569
2.3054,59571
2.311,59571
2.3166,59566
2.322,59570
2.3277,59568
2.3333,59570
2.3386,59569
2.3443,59572
2.3499,59568
2.3555,59570
2.3609,59568
2.3665,59566
2.3721,59567
2.3775,59571
2.3831,59567
2.3888,59567
2.3944,59565
2.3998,59568
2.4054,59571
2.4108,59567
2.4164,59570
2.4221,59569
2.4277,59572
2.4331,59571
2.4387,59566
2.4443,59571
2.45,59568
2.4553,59571
2.461,59565
2.4666,59565
2.4719,59567
2.4776,59568
2.4832,59564
2.4888,59569
2.4942,59566
2.4998,59569
2.5055,59571
2.5108,59567
2.5164,59570
2.522,59568
2.5276,59570
2.5333,59567
2.5386,59570
2.5442,59565
2.5498,59566
2.5554,59567
2.5608,59569
2.5665,59570
2.572,59566
2.5776,59570
2.5833,59567
2.5886,59566
2.5942,59569
2.5998,59568
2.6054,59568
2.6111,59570
2.6164,59565
2.6221,59570
2.6276,59568
2.6332,59566
2.6386,59565
2.6442,59569
2.6499,59566
2.6554,59566
2.6611,59569
