Experiment: Mar_18_osmo_expt vial 11, Thu Mar 18 18:20:51 2021
0.0052,1622
0.0109,1624
0.0165,1625
0.0219,1621
0.0275,1626
0.0332,1624
0.0388,1621
0.0442,1626
0.0498,1623
0.0554,1623
0.0608,1627
0.0664,1624
0.072,1622
0.0777,1627
0.083,1624
0.0887,1624
0.0943,1627
0.0997,1620
0.1053,1626
0.111,1627
0.1163,1620
0.122,1626
0.1276,1628
0.1332,1621
0.1386,1621
0.1442,1625
0.1498,1623
0.1554,1624
0.1608,1625
0.1664,1623
0.1721,1626
0.1774,1625
0.183,1621
0.1887,1626
0.1943,1625
0.1997,1622
0.2053,1625
0.2109,1625
0.2166,1623
0.2219,1628
0.2276,1625
0.2332,1621
0.2386,1624
0.2442,1626
0.2498,1621
0.2555,1623
0.2608,1627
0.2665,1621
0.2721,1624
0.2775,1626
0.283,1623
0.2886,1622
0.2942,1626
0.2999,1622
0.3052,1622
0.3108,1628
0.3164,1623
0.3221,1622
0.3275,1627
0.3331,1624
0.3386,1621
0.3442,1627
0.3499,1624
0.3552,1624
0.3608,1626
0.3664,1625
0.372,1623
0.3774,1626
0.383,1624
0.3887,1621
0.3942,1628
0.3998,1625
0.4052,1622
0.4108,1625
0.4165,1625
0.422,1622
0.4277,1627
0.433,1624
0.4387,1620
0.4443,1625
0.4496,1628
0.4553,1622
0.4609,1622
0.4666,1626
0.4719,1623
0.4776,1623
0.4832,1625
0.4885,1623
0.4942,1620
0.4998,1627
0.5054,1627
0.5108,1621
0.5164,1625
0.522,1626
0.5277,1623
0.533,1625
0.5387,1624
0.5443,1622
0.5497,1626
0.5553,1623
0.561,1624
0.5666,1626
0.572,1622
0.5776,1622
0.5832,1625
0.5886,1623
0.5942,1621
0.5999,1626
0.6052,1624
0.6108,1622
0.6165,1629
0.6221,1625
0.6277,1618
0.6331,1625
0.6387,1626
0.6444,1622
0.6497,1626
0.6554,1625
0.661,1623
0.6663,1627
0.672,1625
0.6776,1622
0.6832,1626
0.6886,1627
0.6942,1623
0.6999,1624
0.7052,1627
0.7109,1622
0.7165,1624
0.7221,1625
0.7275,1620
0.7331,1622
0.7388,1627
0.7441,1623
0.7498,1622
0.7554,1626
0.7607,1623
0.7664,1621
0.772,1626
0.7777,1626
0.783,1621
0.7887,1624
0.7943,1628
0.7997,1621
0.8053,1624
0.8109,1627
0.8166,1622
0.8219,1624
0.8276,1625
0.8332,1621
0.8385,1625
0.8442,1626
0.8498,1621
0.8555,1625
0.8608,1624
0.8664,1624
0.872,1625
0.8777,1623
0.883,1623
0.8887,1626
0.8943,1622
0.8997,1623
