Experiment: Mar_19_osmo_expt vial 3, Fri Mar 19 17:11:25 2021
0.0055,28472
0.0112,28475
0.0165,28487
0.0222,28486
0.0278,28487
0.0334,28489
0.0388,28486
0.0444,28498
0.05,28503
0.0554,27291
0.061,28506
0.0667,27386
0.0723,28504
0.0776,28446
0.0833,28540
0.0889,28525
0.0943,28515
0.0999,28507
0.1056,28319
0.111,28387
0.1167,28494
0.1223,28494
0.1276,28483
0.1333,28469
0.1389,28465
0.1446,28465
0.1499,28456
0.1555,28449
0.1612,28441
0.1665,28439
0.1722,28439
0.1778,28401
0.1832,28333
0.1888,28427
0.1945,28440
0.1998,28442
0.2055,28437
0.2111,28420
0.2167,28427
0.2221,28421
0.2277,28431
0.2333,28391
0.239,28433
0.2443,27820
0.25,28435
0.2555,28409
0.2611,28429
0.2667,28434
0.2721,28429
0.2777,28424
0.2834,28377
0.289,28424
0.2943,28424
0.3,28425
0.3056,28432
0.311,28414
0.3167,28422
0.3223,28437
0.3276,28429
0.3333,28417
0.3389,28439
0.3445,28416
0.3499,28433
0.3555,28377
0.3611,28419
0.3665,28326
0.3721,28312
0.3778,28423
0.3834,28398
0.389,28440
0.3944,28398
0.4,28392
0.4057,28434
0.411,28423
0.4166,28425
0.4223,28391
0.4276,28421
0.4332,28412
0.4389,28415
0.4445,28386
0.4499,28404
0.4555,28339
0.4612,28352
0.4666,28433
0.4722,28405
0.4778,28291
0.4832,28384
0.4888,28424
0.4945,28422
0.5001,28419
0.5054,28427
0.5111,28430
0.5167,28401
0.5221,28422
0.5278,28414
0.5334,28431
0.5387,28395
0.5444,28347
0.55,28432
0.5556,28407
0.561,28371
0.5666,28388
0.5722,28399
0.5779,28386
0.5832,28427
0.5889,28419
0.5943,28426
0.6,28421
0.6056,28425
0.6112,28428
0.6166,28431
0.6222,28431
0.6279,28430
0.6332,28433
0.6388,28435
0.6445,28419
0.6501,28433
0.6554,28435
0.6611,28431
0.6667,28436
0.6723,28432
0.6777,28437
0.6833,28433
0.6889,28430
0.6945,28431
0.6999,28436
0.7055,28434
0.7111,28425
0.7168,28420
0.7221,28226
0.7278,28361
0.7334,28425
0.739,28348
0.7444,28443
0.75,28224
0.7556,28358
0.7612,28434
0.7666,28440
0.7722,28442
0.7779,28435
0.7832,28433
0.7888,28442
0.7944,28429
0.8001,28425
0.8057,28439
0.8111,28436
0.8167,28443
0.8223,28442
0.8277,28441
0.8333,28434
0.8389,28445
0.8446,28408
0.8499,28424
0.8556,28385
0.8612,28435
0.8666,28401
0.8722,28423
0.8778,28350
0.8835,28419
0.8888,28415
0.8945,28404
0.9001,28423
0.9055,28385
0.911,28375
0.9167,28434
0.9223,28423
0.9277,28431
0.9333,28319
0.9389,28430
0.9443,28438
0.9499,28434
0.9555,28397
0.9612,28379
0.9668,28446
0.9722,28447
0.9778,28444
0.9832,28437
0.9889,28451
0.9945,28453
1.0001,28455
1.0055,28451
1.0112,28442
1.0166,28444
1.0222,28446
1.0278,28443
1.0334,28446
1.0388,28441
1.0444,28437
1.05,28452
1.0554,28448
1.061,28447
1.0667,28448
1.0723,28446
1.0777,28454
1.0833,28427
1.0889,28431
1.0946,28437
1.0999,28440
1.1055,28443
1.1111,28437
1.1168,28433
1.1221,28437
1.1278,28444
1.1334,28443
1.1387,28438
1.1444,28444
1.15,28440
1.1556,28441
1.161,28443
1.1666,28448
1.1722,28443
1.1777,28447
1.1833,28440
1.189,28443
1.1946,28445
1.2,28445
1.2056,28438
