Experiment: Mar_19_osmo_expt vial 7, Fri Mar 19 17:11:23 2021
0,0
5.7168,23.66
5.7557,24.42
5.7946,25.39
5.8334,26.08
5.8723,26.34
5.9113,27.09
5.9502,27.71
5.989,27.91
6.0224,28.26
6.0613,28.58
6.1,28.99
6.1336,29.88
6.1723,30.04
6.2058,30.4
6.2445,30.88
6.2781,31.31
6.3167,31.72
6.3556,32.12
6.3945,32.3
6.4279,32.65
6.4668,33.07
6.5057,33.12
6.5446,33.77
6.5835,33.58
6.6169,33.62
6.6556,34.07
6.6946,34.1
6.7336,34.42
6.7725,34.76
6.8112,34.73
6.8501,35.09
6.8891,35.04
6.928,35.2
6.9667,35.03
7.0002,35.37
7.0392,35.34
7.078,35.53
7.1114,35.7
7.1503,35.67
7.189,35.9
7.228,36.12
7.2669,35.93
7.3058,36.05
7.3447,36.23
7.3835,36.07
7.4224,36.25
7.4613,36.3
7.5003,36.46
7.5389,36.63
7.5724,36.35
7.6111,36.66
7.6445,36.54
7.6835,36.99
7.7224,36.84
7.7613,36.95
7.8001,37
7.839,37
7.878,37
7.9169,37
7.9556,37
7.9892,37
8.0279,37
8.0668,37
8.1002,37
8.139,37
8.178,37
8.2169,37
8.2558,37
8.2947,37
8.3336,37
8.3723,37
8.4059,37
8.4446,37
8.4836,37
8.5225,37
8.5614,37
8.6001,37
8.6336,37
8.6723,37
8.7059,37
8.7446,37
8.7781,37
8.8168,37
8.8503,37
8.889,37
8.9224,37
8.9613,37
9.0002,37
9.0336,37
9.0724,37
9.1113,37
9.1502,37
9.1836,37
9.217,37
9.2557,37
9.2891,37
9.3279,37
9.3615,37
9.4001,37
9.4335,37
9.4725,37
9.5112,37
9.5448,37
9.5836,37
9.6226,37
9.6615,37
9.7004,37
9.7391,37
9.778,37
9.8169,37
9.8559,37
9.8945,37
9.9281,37
9.9668,37
10.0058,37
10.0448,37
10.0837,37
10.1223,37
10.1557,37
10.1892,37
10.2281,37
10.2668,37
10.3058,37
10.3447,37
10.3837,37
10.4224,37
10.4614,37
10.5002,37
10.5336,37
10.5725,37
10.6114,37
10.6502,37
10.6891,37
10.7281,37
10.767,37
10.8004,37
10.839,37
10.8724,37
10.9059,37
10.9448,37
10.9836,37
11.017,37
11.0558,37
11.0947,37
11.1337,37
11.1726,37
11.2112,37
11.2448,37
11.2837,37
11.3225,37
11.3614,37
11.4003,37
11.4337,37
11.4726,37
11.5113,37
11.5448,37
11.5834,37
11.617,37
11.6557,37
11.6947,37
11.7336,37
11.7725,37
11.8115,37
11.8504,37
11.889,37
11.928,37
11.9669,37
12.0059,37
12.0448,37
12.0837,37
12.1226,37
12.1613,37
12.1949,37
12.2335,37
12.2724,37
12.3058,37
12.3392,37
12.3726,37
12.4113,37
12.4447,37
12.4836,37
12.5225,37
12.5614,37
12.6003,37
12.6393,37
12.6781,37
12.717,37
12.7559,37
12.7946,37
12.8282,37
12.8669,37
12.9004,37
12.9393,37
12.9782,37
13.017,37
13.0559,37
13.0948,37
13.1335,37
13.1671,37
13.206,37
13.2447,37
13.2836,37
13.3225,37
13.3615,37
13.4004,37
13.4391,37
13.4727,37
13.5116,37
13.5503,37
13.5837,37
13.6225,37
13.6559,37
13.6948,37
13.7337,37
13.7727,37
13.8113,37
13.8449,37
13.8836,37
13.9171,37
13.9558,37
13.9893,37
14.028,37
14.0615,37
14.1004,37
14.1393,37
14.1727,37
14.2113,37
14.2449,37
14.2838,37
14.3227,37
14.3614,37
14.3948,37
14.4337,37
14.4726,37
14.506,37
14.5448,37
14.5837,37
14.6227,37
14.6614,37
14.6949,37
14.7336,37
14.7725,37
14.8059,37
14.8449,37
14.8837,37
14.9227,37
14.9616,37
15.0003,37
15.0337,37
15.0726,37
15.1116,37
15.1504,37
15.1894,37
15.228,37
15.2616,37
15.3003,37
15.3339,37
15.3725,37
15.4059,37
15.4394,37
15.4781,37
15.5115,37
15.5505,37
15.5891,37
15.6225,37
15.6615,37
15.7005,37
15.7392,37
15.7782,37
15.8169,37
15.8503,37
15.8893,37
15.9282,37
15.9616,37
16.0002,37
16.0336,37
16.067,37
16.1059,37
