Experiment: Mar_19_osmo_expt vial 2, Fri Mar 19 17:11:25 2021
0.0055,1631
0.0112,1632
0.0165,1622
0.0222,1617
0.0278,1608
0.0334,1608
0.0388,1612
0.0444,1608
0.05,1606
0.0554,1609
0.061,1610
0.0667,1603
0.0723,1610
0.0776,1609
0.0833,1604
0.0889,1609
0.0943,1609
0.0999,1606
0.1056,1610
0.111,1607
0.1167,1605
0.1223,1611
0.1276,1610
0.1333,1605
0.1389,1611
0.1446,1611
0.1499,1607
0.1555,1606
0.1612,1613
0.1665,1606
0.1722,1604
0.1778,1610
0.1832,1609
0.1888,1606
0.1945,1606
0.1998,1613
0.2055,1609
0.2111,1605
0.2167,1607
0.2221,1612
0.2277,1607
0.2333,1606
0.239,1610
0.2443,1607
0.25,1604
0.2555,1611
0.2611,1610
0.2667,1607
0.2721,1607
0.2777,1611
0.2834,1605
0.289,1610
0.2943,1610
0.3,1607
0.3056,1606
0.311,1612
0.3167,1606
0.3223,1604
0.3276,1610
0.3333,1611
0.3389,1606
0.3445,1606
0.3499,1611
0.3555,1611
0.3611,1605
0.3665,1611
0.3721,1610
0.3778,1602
0.3834,1606
0.389,1612
0.3944,1608
0.4,1604
0.4057,1607
0.411,1613
0.4166,1605
0.4223,1607
0.4276,1611
0.4332,1607
0.4389,1604
0.4445,1610
0.4499,1611
0.4555,1604
0.4612,1608
0.4666,1612
0.4722,1606
0.4778,1604
0.4832,1610
0.4888,1609
0.4945,1605
0.5001,1607
0.5054,1611
0.5111,1604
0.5167,1608
0.5221,1613
0.5278,1605
0.5334,1606
0.5387,1613
0.5444,1608
0.55,1604
0.5556,1610
0.561,1611
0.5666,1605
0.5722,1608
0.5779,1612
0.5832,1606
0.5889,1607
0.5943,1611
0.6,1608
0.6056,1604
0.6112,1609
0.6166,1608
0.6222,1605
0.6279,1611
0.6332,1610
0.6388,1605
0.6445,1607
0.6501,1610
0.6554,1606
0.6611,1607
0.6667,1611
0.6723,1606
0.6777,1606
0.6833,1611
0.6889,1608
0.6945,1606
0.6999,1612
0.7055,1609
0.7111,1604
0.7168,1610
0.7221,1612
0.7278,1606
0.7334,1604
0.739,1611
0.7444,1612
0.75,1605
0.7556,1607
0.7612,1613
0.7666,1606
0.7722,1604
0.7779,1609
0.7832,1612
0.7888,1606
0.7944,1606
0.8001,1612
0.8057,1609
0.8111,1603
0.8167,1611
0.8223,1612
0.8277,1604
0.8333,1604
0.8389,1614
0.8446,1609
0.8499,1603
0.8556,1610
0.8612,1612
0.8666,1605
0.8722,1606
0.8778,1613
0.8835,1610
0.8888,1605
0.8945,1607
0.9001,1613
0.9055,1610
0.911,1603
0.9167,1609
0.9223,1612
0.9277,1607
0.9333,1606
0.9389,1613
0.9443,1610
0.9499,1603
0.9555,1607
0.9612,1613
0.9668,1609
0.9722,1604
0.9778,1608
0.9832,1611
0.9889,1606
0.9945,1606
1.0001,1613
1.0055,1605
1.0112,1606
1.0166,1610
1.0222,1612
1.0278,1605
1.0334,1608
1.0388,1611
1.0444,1606
1.05,1607
1.0554,1612
1.061,1606
1.0667,1605
1.0723,1612
1.0777,1610
1.0833,1604
1.0889,1610
1.0946,1612
1.0999,1606
1.1055,1608
1.1111,1610
1.1168,1606
1.1221,1608
1.1278,1611
1.1334,1606
1.1387,1607
1.1444,1611
1.15,1608
1.1556,1605
1.161,1610
1.1666,1609
1.1722,1605
1.1777,1608
1.1833,1611
1.189,1607
1.1946,1606
1.2,1610
1.2056,1607
1.211,1606
1.2166,1610
1.2223,1610
1.2279,1604
1.2332,1605
1.2388,1613
1.2445,1610
1.2501,1604
1.2555,1608
1.2611,1611
1.2667,1608
1.2723,1605
1.2777,1611
1.2834,1612
1.289,1605
1.2943,1608
1.3,1610
1.3056,1606
1.311,1609
1.3166,1612
1.3223,1604
1.3279,1607
1.3332,1612
1.3388,1609
1.3444,1601
1.3501,1609
1.3554,1611
1.3611,1605
1.3666,1607
1.3721,1610
1.3778,1609
1.3834,1606
1.3888,1608
1.3944,1612
1.4,1607
1.4056,1607
1.4113,1611
1.4166,1611
1.4222,1605
1.4279,1606
1.4332,1611
1.4389,1605
1.4445,1607
1.45,1612
1.4557,1608
1.461,1604
1.4666,1612
1.4723,1611
1.4779,1604
1.4832,1606
1.4888,1613
1.4944,1607
1.5,1605
1.5056,1608
1.511,1613
1.5166,1604
1.5222,1605
1.5279,1612
1.5332,1610
1.5388,1605
1.5445,1609
1.5501,1611
1.5557,1606
1.561,1606
1.5667,1613
1.5723,1607
1.5777,1605
1.5833,1609
1.5889,1611
1.5943,1605
1.5999,1609
1.6056,1612
1.6112,1605
1.6166,1603
1.6222,1611
1.6279,1609
1.6332,1606
1.6388,1609
1.6445,1611
1.6501,1606
1.6555,1607
1.6611,1613
1.6666,1606
1.6722,1607
1.6778,1611
1.6835,1608
1.6888,1604
1.6944,1610
1.7001,1611
1.7057,1604
1.711,1607
1.7167,1611
1.7223,1608
1.7276,1605
1.7333,1609
1.7389,1609
1.7445,1606
1.7499,1610
1.7555,1611
1.7612,1605
1.7668,1607
1.7721,1612
1.7778,1609
1.7834,1606
1.789,1612
1.7944,1609
1.8,1604
1.8056,1608
1.811,1613
1.8166,1606
1.8222,1604
1.8279,1609
1.8332,1609
1.8389,1605
1.8445,1610
1.8501,1610
1.8555,1606
1.8611,1607
1.8667,1613
1.8723,1609
1.8777,1603
1.8833,1609
1.8889,1613
1.8943,1607
1.8999,1603
1.9056,1610
1.9112,1610
1.9166,1605
1.9222,1607
1.9279,1612
1.9335,1610
1.9388,1605
1.9444,1612
1.9501,1609
1.9557,1604
1.961,1605
1.9667,1612
1.9723,1609
1.9777,1605
1.9833,1611
1.989,1608
1.9943,1605
2.0,1609
2.0056,1609
2.0111,1606
2.0167,1612
2.0224,1610
2.0277,1603
2.0333,1610
2.0389,1615
2.0446,1605
2.0499,1606
2.0556,1613
2.0612,1609
2.0668,1606
2.0722,1609
2.0778,1611
2.0834,1607
2.0888,1606
2.0944,1612
2.1,1610
2.1056,1605
2.111,1609
2.1166,1609
2.1223,1607
2.1279,1607
2.1333,1613
2.1389,1609
2.1445,1604
2.1501,1609
2.1555,1610
2.1611,1605
2.1667,1608
2.1724,1612
2.1777,1606
2.1833,1605
2.189,1610
2.1943,1608
2.2,1604
2.2056,1609
2.2112,1611
2.2166,1607
2.2222,1607
2.2278,1614
2.2335,1607
2.2388,1608
2.2445,1611
2.2501,1610
2.2554,1607
2.2611,1610
2.2667,1609
2.2723,1606
2.2777,1607
2.2833,1611
2.289,1605
2.2946,1607
2.3,1611
2.3056,1610
2.3112,1605
2.3166,1614
2.3222,1611
2.3278,1606
2.3334,1607
2.3388,1611
2.3444,1606
2.3501,1607
2.3557,1611
2.361,1609
2.3666,1605
2.3722,1610
2.3779,1610
2.3832,1605
2.3888,1610
2.3945,1609
2.4001,1605
2.4055,1608
2.4111,1613
2.4166,1606
2.4222,1607
2.4279,1613
2.4332,1607
2.4389,1605
2.4445,1611
2.4501,1611
2.4555,1605
2.4611,1607
2.4668,1611
2.4721,1607
2.4777,1606
2.4834,1612
2.4888,1605
2.4944,1609
2.5001,1611
2.5057,1607
2.511,1604
2.5166,1611
2.5223,1609
2.5276,1604
2.5333,1610
2.5388,1611
2.5445,1607
2.5501,1608
2.5557,1612
2.5611,1608
2.5667,1607
2.5723,1613
2.5777,1607
2.5834,1606
