Experiment: Mar_1_Turb_expt vial 3, Mon Mar  1 18:39:12 2021
0.0038,173
0.0094,172
0.0151,171
0.0204,168
0.0261,171
0.0318,168
0.0372,169
0.0429,171
0.0482,173
0.0539,170
0.0595,168
0.065,170
0.0707,172
0.0766,171
0.0817,171
0.0873,172
0.0927,173
0.0984,170
0.104,172
0.1094,173
0.115,169
0.1207,171
0.126,170
0.1317,172
0.1373,173
0.143,171
0.1483,171
0.154,173
0.1594,172
0.165,172
0.1707,170
0.1761,170
0.1817,171
0.1874,171
0.1928,168
0.1985,170
0.2039,172
0.2096,173
0.215,172
0.2205,171
0.2261,171
0.2315,168
0.2373,169
0.2427,171
0.2483,170
0.254,171
0.2594,170
0.265,170
0.2707,172
0.2761,171
0.2817,171
0.2874,170
0.2927,169
0.2984,169
