Experiment: Mar_1_Turb_expt vial 9, Mon Mar  1 18:39:09 2021
0,0
1.8817,24.03
2.2763,24.3
2.6595,24.28
3.0428,24.49
3.4262,24.63
3.8373,24.82
4.2315,24.26
4.6095,24.07
4.9704,24.05
5.3649,24.13
5.4594,24.01
5.4761,24.87
5.4983,25.96
5.515,26.72
5.5371,28.51
5.5539,28.95
5.5706,29.62
5.5873,30.34
5.6094,30.63
5.6261,30.85
5.6428,31.59
5.6595,32.49
5.6762,32.91
5.6983,33.42
5.7151,33.95
5.7372,34.65
5.7593,35.49
5.7761,36.16
5.7982,36.66
5.815,36.84
5.8317,37
5.8538,37
5.8706,37
5.8927,37
5.9094,37
5.9315,37
5.9483,37
5.9705,37
5.9872,37
6.0094,37
6.0317,37
6.0539,37
6.076,37
6.0927,37
6.1094,37
6.1317,37
6.1538,37
6.1705,37
6.1872,37
6.2039,37
6.2259,37
6.2427,37
6.2595,37
6.2815,37
6.2982,37
6.3149,37
6.3316,37
6.3483,37
6.365,37
6.3817,37
6.4038,37
6.4205,37
6.4372,37
6.4539,37
6.4759,37
6.4926,37
6.5094,37
6.5317,37
6.5484,37
6.5705,37
6.5872,37
6.6039,37
6.6206,37
6.6426,37
6.6593,37
6.676,37
6.6927,37
6.7094,37
6.7261,37
6.7482,37
6.7649,37
6.7817,37
6.8037,37
6.8204,37
6.8371,37
6.8539,37
6.8706,37
6.8926,37
6.9093,37
6.926,37
6.9427,37
6.9594,37
6.9815,37
6.9982,37
7.0149,37
7.0317,37
7.0538,37
7.0705,37
7.0872,37
7.1039,37
7.126,37
7.1427,37
7.1594,37
7.1761,37
7.1981,37
7.2149,37
7.2316,37
7.2483,37
7.265,37
7.2871,37
7.3038,37
7.3205,37
7.3372,37
7.3593,37
7.376,37
7.3927,37
7.4094,37
7.4261,37
7.4483,37
7.4706,37
7.4927,37
7.5094,37
7.5261,37
7.5428,37
7.5649,37
7.5816,37
7.6039,37
7.626,37
7.6427,37
7.6595,37
7.6817,37
7.6984,37
7.7204,37
7.7372,37
7.7539,37
7.7706,37
7.7927,37
7.8094,37
7.8261,37
7.8428,37
7.8595,37
7.8816,37
7.8983,37
7.915,37
7.9317,37
7.9538,37
7.9705,37
7.9873,37
8.0094,37
8.0261,37
8.0428,37
8.0595,37
8.0762,37
8.0983,37
8.115,37
8.1317,37
8.1484,37
8.1705,37
8.1872,37
8.2039,37
8.2207,37
8.2427,37
8.2594,37
8.2761,37
8.2928,37
8.3096,37
8.3263,37
8.3483,37
8.365,37
8.3817,37
8.3984,37
8.4151,37
8.4372,37
8.4539,37
8.4706,37
8.4873,37
8.5094,37
8.5261,37
8.5428,37
8.5595,37
8.5762,37
8.5929,37
8.615,37
8.6317,37
8.6484,37
8.6651,37
8.6818,37
8.7039,37
8.7206,37
8.7373,37
8.754,37
8.7761,37
8.7928,37
8.8095,37
8.8262,37
8.8429,37
8.8596,37
8.8763,37
8.8984,37
8.9151,37
8.9318,37
8.9485,37
8.9705,37
8.9873,37
9.004,37
9.0261,37
9.0429,37
9.0596,37
9.0763,37
9.0983,37
9.115,37
9.1317,37
9.1484,37
9.1652,37
9.1874,37
9.2096,37
9.2317,37
9.2485,37
9.2652,37
9.2874,37
9.3041,37
9.3261,37
9.3428,37
9.3596,37
9.3819,37
9.4039,37
9.4207,37
9.4374,37
9.4594,37
9.4761,37
9.4928,37
9.5095,37
9.5262,37
9.5429,37
9.5596,37
9.5817,37
9.5985,37
9.6152,37
9.6373,37
9.654,37
9.6707,37
9.6874,37
9.7095,37
9.7262,37
9.743,37
9.765,37
9.7817,37
9.7984,37
9.8151,37
9.8319,37
9.854,37
9.8763,37
9.8984,37
9.9151,37
9.9318,37
9.9539,37
9.9706,37
9.9873,37
10.004,37
10.0207,37
10.0374,37
10.0541,37
10.0762,37
10.0929,37
10.1096,37
10.1263,37
10.1484,37
10.1651,37
10.1818,37
10.2039,37
10.2206,37
10.2373,37
10.2541,37
10.2708,37
10.2928,37
10.3095,37
10.3263,37
10.3483,37
10.365,37
10.3817,37
10.3985,37
10.4152,37
10.4372,37
10.454,37
10.4707,37
