Experiment: Mar_1_Turb_expt vial 5, Mon Mar  1 18:39:12 2021
0.0038,1614
0.0094,1616
0.0151,1609
0.0204,1608
0.0261,1612
0.0318,1615
0.0372,1608
0.0429,1610
0.0482,1615
0.0539,1609
0.0595,1610
0.065,1615
0.0707,1614
0.0766,1609
0.0817,1616
0.0873,1614
0.0927,1605
0.0984,1612
0.104,1617
0.1094,1612
0.115,1609
0.1207,1618
0.126,1612
0.1317,1606
0.1373,1614
0.143,1615
0.1483,1610
0.154,1613
0.1594,1614
0.165,1609
0.1707,1611
0.1761,1616
0.1817,1608
0.1874,1610
0.1928,1617
0.1985,1609
0.2039,1609
0.2096,1617
0.215,1611
0.2205,1608
0.2261,1616
0.2315,1612
0.2373,1609
0.2427,1613
0.2483,1611
0.254,1608
0.2594,1613
0.265,1608
0.2707,1607
0.2761,1613
0.2817,1614
0.2874,1607
0.2927,1609
0.2984,1614
