Experiment: Mar_23_T2_osmo_expt vial 2, Tue Mar 23 18:19:48 2021
0.0016,167
0.0069,165
0.0125,168
0.0179,170
0.0235,168
0.0292,168
0.0348,170
0.0401,171
0.0458,167
0.0514,167
0.057,169
0.0624,169
0.068,169
0.0736,171
0.0793,170
0.0846,170
0.0902,168
0.0959,170
0.1015,171
0.1068,171
0.1124,170
0.1181,169
0.1234,168
0.129,170
0.1346,169
0.1403,170
0.1459,170
0.1512,171
0.1569,169
0.1625,169
0.1681,168
0.1735,169
0.1791,171
0.1847,170
0.1904,168
0.1957,168
0.2013,168
0.207,167
0.2123,169
0.2179,170
0.2236,171
0.2292,171
0.2346,168
0.2401,169
0.2457,170
0.2514,167
0.257,169
0.2623,168
0.2679,167
0.2735,170
0.2792,170
0.2848,168
0.2901,169
0.2957,170
0.3014,170
0.307,172
0.3123,169
0.318,168
0.3235,172
0.3292,172
0.3348,169
0.3401,168
0.3458,169
0.3513,171
0.357,171
0.3623,170
0.368,169
0.3736,173
0.3792,170
0.3848,170
0.3901,170
0.3958,169
0.4014,170
0.407,168
0.4126,168
0.4179,170
0.4236,169
0.4292,169
0.4348,172
0.4401,171
0.4458,170
0.4514,167
0.4568,170
0.4624,168
0.468,171
0.4737,170
0.479,169
0.4846,171
0.4903,170
0.4959,170
0.5012,169
0.5069,171
0.5125,168
0.5181,169
0.5234,168
0.5291,167
0.5347,172
0.5401,170
0.5458,171
0.5514,170
0.557,168
0.5623,168
0.568,170
0.5736,170
0.5792,170
0.5846,169
0.5902,168
0.5959,171
0.6015,170
0.6068,171
0.6125,169
0.6181,168
0.6237,170
0.629,170
0.6347,169
0.6403,166
0.6457,169
0.6513,170
0.6569,169
0.6625,170
0.6679,170
0.6735,171
0.6791,172
0.6847,170
0.6901,168
0.6957,171
0.7013,167
0.7069,172
0.7125,171
0.7179,169
0.7235,171
0.7291,172
0.7348,168
0.7401,169
0.7457,173
0.7514,169
0.757,171
0.7623,171
0.768,170
0.7736,168
0.7792,169
0.7846,166
0.7902,169
0.7958,168
0.8015,169
0.8068,170
0.8124,171
0.8181,170
0.8234,169
0.829,170
0.8347,170
0.8403,171
0.8459,169
0.8513,170
0.8569,168
0.8625,170
0.8679,168
0.8735,171
0.8792,168
0.8848,169
0.8902,169
0.8958,170
0.9014,170
0.9068,169
0.9124,167
0.9181,171
0.9237,171
0.929,169
0.9347,173
0.9403,168
0.9459,171
0.9513,169
0.9569,171
0.9625,168
0.9681,167
0.9735,168
0.9791,171
0.9847,168
0.9903,171
0.9957,171
1.0013,169
1.007,169
1.0126,171
1.0179,171
1.0235,170
1.0292,167
1.0348,170
1.0401,169
1.0458,171
1.0514,171
1.057,170
1.0626,170
1.068,171
1.0736,170
1.0792,172
1.0848,170
1.0902,169
1.0958,171
1.1014,172
1.1068,170
1.1124,169
1.1181,169
1.1237,169
1.129,171
1.1347,167
1.1403,173
1.1459,168
1.1513,171
1.157,166
1.1623,169
1.1679,168
1.1736,170
1.1792,169
1.1845,171
1.1901,169
1.1958,169
