Experiment: Mar_23_T2_osmo_expt vial 10, Tue Mar 23 18:19:48 2021
0.0016,4066
0.0069,4064
0.0125,4065
0.0179,4065
0.0235,4064
0.0292,4067
0.0348,4066
0.0401,4066
0.0458,4063
0.0514,4065
0.057,4066
0.0624,4065
0.068,4065
0.0736,4065
0.0793,4065
0.0846,4064
0.0902,4065
0.0959,4065
0.1015,4063
0.1068,4066
0.1124,4064
0.1181,4066
0.1234,4066
0.129,4063
0.1346,4064
0.1403,4065
0.1459,4066
0.1512,4066
0.1569,4064
0.1625,4066
0.1681,4065
0.1735,4066
0.1791,4066
0.1847,4064
0.1904,4064
0.1957,4065
0.2013,4064
0.207,4065
0.2123,4065
0.2179,4064
0.2236,4066
0.2292,4066
0.2346,4065
0.2401,4067
0.2457,4066
0.2514,4067
0.257,4064
0.2623,4068
0.2679,4067
0.2735,4066
0.2792,4067
0.2848,4065
0.2901,4066
0.2957,4064
0.3014,4066
0.307,4065
0.3123,4066
0.318,4066
0.3235,4065
0.3292,4065
0.3348,4065
0.3401,4067
0.3458,4066
0.3513,4065
0.357,4067
0.3623,4066
0.368,4066
0.3736,4065
0.3792,4067
0.3848,4066
0.3901,4062
0.3958,4066
0.4014,4065
0.407,4065
0.4126,4066
0.4179,4067
0.4236,4067
0.4292,4066
0.4348,4067
0.4401,4066
0.4458,4066
0.4514,4067
0.4568,4066
0.4624,4064
0.468,4066
0.4737,4065
0.479,4065
0.4846,4065
0.4903,4067
0.4959,4067
0.5012,4066
0.5069,4064
0.5125,4066
0.5181,4066
0.5234,4065
0.5291,4065
0.5347,4067
0.5401,4068
0.5458,4067
0.5514,4065
0.557,4066
0.5623,4065
0.568,4067
0.5736,4065
0.5792,4066
0.5846,4065
0.5902,4067
0.5959,4066
0.6015,4066
0.6068,4065
0.6125,4066
0.6181,4066
0.6237,4067
0.629,4067
0.6347,4065
0.6403,4066
0.6457,4067
0.6513,4067
0.6569,4067
0.6625,4066
0.6679,4067
0.6735,4067
0.6791,4066
0.6847,4065
0.6901,4065
0.6957,4067
0.7013,4065
0.7069,4067
0.7125,4067
0.7179,4068
0.7235,4065
0.7291,4065
0.7348,4065
0.7401,4066
0.7457,4066
0.7514,4065
0.757,4064
0.7623,4064
0.768,4066
0.7736,4065
0.7792,4066
0.7846,4066
0.7902,4066
0.7958,4066
0.8015,4067
0.8068,4066
0.8124,4065
0.8181,4066
0.8234,4065
0.829,4065
0.8347,4065
0.8403,4067
0.8459,4065
0.8513,4065
0.8569,4065
0.8625,4065
0.8679,4065
0.8735,4066
0.8792,4067
0.8848,4066
0.8902,4067
0.8958,4065
0.9014,4065
0.9068,4066
0.9124,4066
0.9181,4068
0.9237,4065
0.929,4066
0.9347,4064
0.9403,4065
0.9459,4066
0.9513,4066
0.9569,4068
0.9625,4065
0.9681,4066
0.9735,4067
0.9791,4066
0.9847,4066
0.9903,4066
0.9957,4065
1.0013,4065
1.007,4067
1.0126,4066
1.0179,4065
1.0235,4067
1.0292,4066
1.0348,4067
1.0401,4067
1.0458,4065
1.0514,4067
1.057,4065
1.0626,4068
1.068,4067
1.0736,4064
1.0792,4067
1.0848,4067
1.0902,4066
1.0958,4066
1.1014,4067
1.1068,4065
1.1124,4067
1.1181,4066
1.1237,4066
1.129,4066
1.1347,4067
1.1403,4067
1.1459,4067
1.1513,4067
1.157,4064
1.1623,4065
1.1679,4067
1.1736,4065
1.1792,4066
1.1845,4066
1.1901,4066
1.1958,4065
1.2014,4065
1.207,4066
1.2124,4066
1.218,4067
1.2237,4068
1.2293,4065
1.2346,4066
1.2402,4066
1.2459,4065
1.2515,4065
1.2568,4063
1.2625,4065
1.2681,4066
1.2737,4067
1.279,4065
1.2847,4067
1.2903,4066
1.2957,4068
1.3013,4067
1.3069,4066
1.3125,4066
1.3179,4067
1.3235,4065
1.3292,4065
1.3348,4067
1.3401,4065
1.3458,4068
1.3514,4068
1.357,4067
1.3624,4066
1.368,4068
1.3736,4066
1.379,4067
1.3846,4068
1.3903,4066
1.3959,4066
1.4012,4068
1.4069,4066
1.4125,4065
1.4181,4065
1.4235,4066
1.4291,4067
1.4348,4069
1.4401,4066
1.4458,4066
1.4514,4067
1.457,4067
1.4624,4066
1.468,4066
1.4736,4066
1.4792,4067
1.4846,4066
1.4903,4069
1.4959,4066
1.5012,4068
1.5069,4067
1.5125,4065
1.5181,4065
1.5235,4067
1.5291,4069
1.5348,4068
1.5401,4068
1.5458,4066
1.5514,4067
1.5568,4067
1.5624,4067
1.568,4067
1.5736,4067
1.5793,4066
1.5846,4066
1.5902,4066
1.5959,4068
1.6015,4068
1.6068,4066
1.6124,4066
1.6181,4066
1.6237,4064
1.6291,4064
1.6347,4066
1.6403,4066
1.6457,4068
1.6513,4066
1.6569,4065
1.6626,4065
1.6679,4066
1.6736,4066
1.6792,4066
1.6848,4067
1.6902,4067
1.6958,4066
1.7015,4068
1.7068,4066
1.7124,4068
1.7181,4067
1.7237,4066
1.729,4066
1.7346,4067
1.7403,4067
1.7459,4066
1.7513,4067
1.7569,4064
1.7624,4066
1.768,4067
1.7736,4066
1.7793,4067
1.7846,4068
1.7902,4067
1.7958,4068
1.8014,4065
1.8071,4068
1.8124,4067
1.818,4067
1.8236,4066
1.8293,4064
1.8346,4068
1.8402,4066
1.8458,4064
1.8514,4067
1.8571,4067
1.8624,4066
1.868,4065
1.8736,4066
1.8792,4065
1.8846,4066
1.8902,4066
1.8958,4066
1.9014,4066
1.9071,4067
1.9124,4068
1.918,4066
1.9237,4066
1.9292,4066
1.9349,4065
1.9402,4067
1.9458,4067
1.9515,4067
1.9568,4066
1.9624,4065
1.9681,4067
1.9737,4077
1.979,4067
1.9847,4066
1.9903,4066
1.9959,4067
2.0069,4065
2.0126,4066
2.018,4066
2.0236,4064
2.0292,4067
2.0348,4066
2.0402,4068
2.0458,4066
2.0515,4068
2.0568,4066
2.0624,4067
2.0681,4066
2.0737,4067
2.0791,4068
2.0847,4067
2.0904,4067
2.096,4067
2.1013,4066
2.107,4066
2.1126,4067
2.1179,4067
2.1236,4076
2.1292,4066
2.1348,4065
2.1401,4067
2.1458,4065
2.1514,4067
2.157,4067
2.1624,4066
2.168,4067
2.1736,4068
2.1793,4069
2.1846,4067
2.1902,4064
2.1959,4065
2.2015,4067
2.2069,4066
2.2125,4066
2.2181,4066
2.2235,4067
2.2291,4066
2.2347,4066
2.2404,4068
2.2457,4066
2.2514,4067
2.257,4066
2.2627,4065
2.268,4066
2.2737,4067
2.2793,4066
2.2847,4066
2.2903,4069
2.2959,4064
2.3015,4066
2.3069,4068
2.3125,4067
2.3182,4065
2.3235,4065
2.3291,4065
2.3348,4068
2.3404,4066
2.3457,4066
2.3514,4065
2.357,4068
2.3626,4065
2.368,4064
2.3736,4065
2.3792,4066
2.3849,4067
2.3902,4065
2.3958,4065
2.4015,4066
2.4068,4066
2.4124,4066
2.4181,4066
2.4237,4066
2.4293,4066
2.4347,4066
2.4403,4066
2.446,4066
2.4513,4067
2.457,4066
2.4626,4065
2.4682,4067
2.4736,4067
2.4792,4068
2.4848,4065
2.4902,4068
2.4958,4067
2.5014,4064
2.5071,4067
2.5124,4066
2.5181,4067
2.5237,4067
2.5293,4066
2.5347,4066
2.5403,4065
2.5459,4066
2.5513,4066
