Experiment: Mar_25_Phage_osmo_expt vial 4, Thu Mar 25 17:24:53 2021
0.0026,106
0.0083,104
0.0137,102
0.0194,104
0.0247,104
0.0304,102
0.036,102
0.0414,103
0.0471,101
0.0528,104
0.0581,98
0.0638,100
0.0694,102
0.0748,101
0.0804,103
0.0861,104
0.0917,100
0.097,103
0.1027,103
0.1081,106
0.1138,102
0.1194,102
0.1248,102
0.1304,100
0.136,99
0.1417,99
0.147,101
0.1527,103
0.1583,105
0.1637,105
0.1693,101
0.1749,103
0.1806,101
0.1859,103
0.1915,102
0.1971,100
0.2028,101
0.2081,105
0.2137,103
0.2194,104
0.225,103
0.2304,101
0.236,102
0.2416,103
0.2472,102
0.2526,101
0.2582,104
0.2638,104
0.2695,105
0.2748,103
0.2804,104
0.2861,103
0.2915,104
0.2971,106
0.3026,103
0.3082,103
0.3138,102
0.3194,101
0.3248,99
0.3304,97
0.3361,100
0.3417,101
0.3473,101
0.3526,101
0.3582,108
0.3638,102
0.3694,102
0.3748,101
0.3804,102
0.386,96
0.3917,96
0.3971,103
0.4027,103
0.4083,103
0.4138,100
0.4193,106
0.4249,104
0.4306,104
0.4359,103
0.4416,105
0.4472,104
0.4526,103
0.4582,105
0.4639,101
0.4693,101
0.4749,103
0.4806,104
0.486,100
0.4917,102
0.4971,101
0.5027,101
0.5081,104
0.5137,103
0.5194,97
0.5248,104
0.5305,106
0.5361,105
0.5415,101
0.5472,105
0.5528,102
0.5581,103
0.5638,100
0.5694,103
0.5751,98
0.5804,101
0.586,104
0.5917,101
0.5971,104
0.6027,105
0.6084,105
0.6137,105
0.6194,104
0.625,107
0.6304,104
0.6361,103
0.6417,106
0.6473,106
0.6527,100
0.6583,101
0.6639,105
0.6695,105
0.6749,101
0.6805,102
0.6861,104
0.6915,104
0.6971,108
0.7028,106
0.7084,104
0.7137,106
0.7193,105
0.7249,103
0.7306,103
0.7359,108
0.7415,103
0.7471,104
0.7528,105
0.7584,104
0.7637,103
0.7694,104
0.775,102
0.7804,106
0.7861,108
0.7917,103
0.7971,107
0.8027,101
0.8083,104
0.8137,102
0.8194,111
0.825,103
0.8306,102
0.836,101
0.8416,103
0.8473,106
0.8527,103
0.8584,103
0.8637,102
0.8694,99
0.8749,99
0.8805,100
0.8862,97
0.8916,97
0.8973,102
0.9027,99
0.9083,104
0.9137,104
0.9194,104
0.9248,100
0.9305,102
0.9362,105
0.9416,100
0.9473,103
0.9527,103
0.9583,105
0.9637,102
0.9694,101
0.9748,101
0.9805,103
0.9862,103
0.9916,105
0.9972,100
1.0026,102
1.0083,105
1.014,103
1.0194,102
1.025,105
1.0304,102
1.0361,102
1.0418,102
1.0472,102
1.0528,103
1.0583,101
1.0639,103
1.0693,105
1.075,103
1.0804,103
1.0861,104
1.0918,103
1.0972,104
1.1028,106
1.1082,104
1.1139,102
1.1193,100
1.125,102
1.1304,105
1.136,100
1.1417,103
1.1471,103
1.1528,103
1.1582,101
1.1639,101
1.1695,105
1.1749,103
1.1806,104
1.186,103
1.1916,98
1.1973,98
1.2027,103
1.2084,102
1.2138,104
1.2195,104
1.2249,101
1.2306,104
1.236,106
1.2417,102
1.2471,103
1.2528,102
1.2582,107
1.2639,103
1.2696,103
1.275,103
1.2806,104
1.286,104
1.2917,105
1.2971,106
1.3028,102
1.3084,103
1.3138,103
1.3195,100
1.3249,103
1.3306,101
1.336,102
1.3416,101
1.3473,102
1.3527,100
1.3584,102
1.3638,103
1.3694,100
1.3751,101
1.3805,101
1.3862,103
1.3916,99
1.3972,97
1.4027,99
1.4083,100
1.414,102
1.4194,104
1.4251,100
1.4305,101
1.4361,103
1.4416,102
1.4473,100
1.4529,105
1.4583,103
1.464,104
1.4694,103
1.475,104
1.4804,102
1.4861,103
1.4918,101
1.4971,101
1.5028,102
1.5082,101
1.5139,100
1.5193,100
1.525,101
1.5307,101
1.5361,99
1.5418,99
1.5471,101
1.5528,101
1.5582,102
1.5639,105
1.5696,105
1.575,102
1.5806,104
1.586,103
1.5917,103
1.5974,104
1.6028,100
1.6084,102
1.6138,108
1.6195,104
1.6249,101
1.6305,103
1.6362,103
1.6416,103
1.6473,103
1.6527,100
1.6584,99
1.6637,99
