Experiment: Mar_25_Phage_osmo_expt vial 15, Thu Mar 25 17:24:53 2021
0.0026,1637
0.0083,1631
0.0137,1628
0.0194,1628
0.0247,1636
0.0304,1637
0.036,1631
0.0414,1626
0.0471,1628
0.0528,1633
0.0581,1637
0.0638,1634
0.0694,1627
0.0748,1626
0.0804,1632
0.0861,1638
0.0917,1636
0.097,1629
0.1027,1625
0.1081,1630
0.1138,1638
0.1194,1638
0.1248,1629
0.1304,1627
0.136,1628
0.1417,1635
0.147,1637
0.1527,1631
0.1583,1628
0.1637,1628
0.1693,1636
0.1749,1637
0.1806,1630
0.1859,1626
0.1915,1628
0.1971,1633
0.2028,1637
0.2081,1633
0.2137,1627
0.2194,1627
0.225,1636
0.2304,1636
0.236,1632
0.2416,1627
0.2472,1626
0.2526,1632
0.2582,1639
0.2638,1634
0.2695,1628
0.2748,1626
0.2804,1629
0.2861,1637
0.2915,1636
0.2971,1633
0.3026,1624
0.3082,1627
0.3138,1632
0.3194,1637
0.3248,1632
0.3304,1626
0.3361,1626
0.3417,1632
0.3473,1636
0.3526,1635
0.3582,1630
0.3638,1624
0.3694,1627
0.3748,1634
0.3804,1638
0.386,1632
0.3917,1627
0.3971,1625
0.4027,1632
0.4083,1639
0.4138,1637
0.4193,1627
0.4249,1627
0.4306,1632
0.4359,1639
0.4416,1635
0.4472,1629
0.4526,1624
0.4582,1631
0.4639,1639
0.4693,1636
0.4749,1631
0.4806,1626
0.486,1629
0.4917,1634
0.4971,1638
0.5027,1632
0.5081,1627
0.5137,1626
0.5194,1634
0.5248,1639
0.5305,1632
0.5361,1626
0.5415,1628
0.5472,1631
0.5528,1637
0.5581,1633
0.5638,1627
0.5694,1625
0.5751,1631
0.5804,1639
0.586,1640
0.5917,1632
0.5971,1626
0.6027,1628
0.6084,1636
0.6137,1636
0.6194,1631
0.625,1627
0.6304,1629
0.6361,1637
0.6417,1637
0.6473,1633
0.6527,1625
0.6583,1624
0.6639,1631
0.6695,1638
0.6749,1636
0.6805,1629
0.6861,1623
0.6915,1629
0.6971,1636
0.7028,1638
0.7084,1634
0.7137,1625
0.7193,1627
0.7249,1632
0.7306,1638
0.7359,1636
0.7415,1629
0.7471,1625
0.7528,1631
0.7584,1637
0.7637,1638
0.7694,1632
0.775,1625
0.7804,1625
0.7861,1632
0.7917,1638
0.7971,1634
0.8027,1629
0.8083,1625
0.8137,1628
0.8194,1636
0.825,1636
0.8306,1631
0.836,1628
0.8416,1629
0.8473,1635
0.8527,1638
0.8584,1631
0.8637,1631
0.8694,1629
0.8749,1634
0.8805,1637
0.8862,1632
0.8916,1625
0.8973,1627
0.9027,1633
0.9083,1637
0.9137,1637
0.9194,1630
0.9248,1625
0.9305,1627
0.9362,1636
0.9416,1639
0.9473,1634
0.9527,1627
0.9583,1624
0.9637,1631
0.9694,1637
0.9748,1637
0.9805,1629
0.9862,1626
0.9916,1627
0.9972,1635
1.0026,1638
1.0083,1634
1.014,1628
1.0194,1626
1.025,1634
1.0304,1638
1.0361,1635
1.0418,1629
1.0472,1627
1.0528,1632
1.0583,1639
1.0639,1638
1.0693,1627
1.075,1626
1.0804,1631
1.0861,1636
1.0918,1636
1.0972,1630
1.1028,1627
1.1082,1630
1.1139,1637
1.1193,1636
1.125,1631
1.1304,1626
1.136,1627
1.1417,1635
1.1471,1641
1.1528,1632
1.1582,1628
1.1639,1629
1.1695,1635
1.1749,1636
