Experiment: Mar_29_Phage_osmo_expt vial 11, Mon Mar 29 18:22:37 2021
0,0
0.0251,0.4
12.2311,0.2
12.2476,0.4
13.842,0.2
13.8588,0.4
15.831,0.2
15.8478,0.4
17.7589,0.2
17.7757,0.4
19.7369,0.2
19.7534,0.4
21.5923,0.2
21.609,0.4
23.3591,0.2
23.3758,0.4
25.2478,0.2
25.2646,0.4
59.1821,0.2
59.1989,0.4
61.7543,0.2
61.771,0.4
64.2378,0.2
64.2544,0.4
66.3935,0.2
66.41,0.4
68.5545,0.2
68.5712,0.4
70.4157,0.2
70.4324,0.4
72.3381,0.2
72.3546,0.4
74.2548,0.2
74.2715,0.4
76.3269,0.2
76.3437,0.4
79.0993,0.2
79.116,0.4
81.5771,0.2
81.5939,0.4
83.8994,0.2
83.9162,0.4
85.9996,0.2
86.0163,0.4
87.9828,0.2
87.9995,0.4
90.0385,0.2
90.0553,0.4
91.9663,0.2
91.9831,0.4
93.9442,0.2
93.9607,0.4
95.822,0.2
95.8386,0.4
97.672,0.2
97.6885,0.4
99.6553,0.2
99.6721,0.4
101.5723,0.2
101.589,0.4
103.5278,0.2
103.5443,0.4
105.5223,0.2
105.5388,0.4
107.461,0.2
107.4778,0.4
109.4667,0.2
109.4835,0.4
111.4279,0.2
111.4447,0.4
113.3948,0.2
113.4112,0.4
115.3724,0.2
115.3891,0.4
117.4114,0.2
117.4282,0.4
119.3947,0.2
119.4115,0.4
121.4117,0.2
121.4282,0.4
123.4171,0.2
123.4339,0.4
125.5061,0.2
125.5226,0.4
127.5562,0.2
127.5727,0.4
129.6174,0.2
129.6339,0.4
131.7175,0.2
131.734,0.4
133.7008,0.2
133.7175,0.4
135.8896,0.2
135.9064,0.4
138.001,0.2
138.0175,0.4
140.0787,0.2
140.0955,0.4
142.1897,0.2
142.2065,0.4
144.1177,0.2
144.1342,0.4
146.2288,0.2
