Experiment: Mar_29_Phage_osmo_expt vial 7, Mon Mar 29 18:22:56 2021
0.0053,103
0.0085,102
0.0141,101
0.0197,102
0.0251,103
0.0307,102
0.0363,100
0.0419,101
0.0473,105
0.053,98
0.0586,100
0.064,104
0.0696,100
0.0752,101
0.0808,102
0.0862,101
0.0918,101
0.0974,101
0.103,102
0.1084,103
0.114,100
0.1197,101
0.1251,99
0.1308,102
0.1361,100
0.1418,102
0.1474,101
0.1531,98
0.1584,100
0.164,104
0.1697,99
0.175,101
0.1807,101
0.1863,99
0.192,104
0.1973,102
0.203,100
0.2086,98
0.214,102
0.2196,101
0.2253,103
0.2309,102
0.2362,100
0.2419,103
0.2475,100
0.2529,102
0.2585,100
0.2641,101
0.2695,100
0.2751,103
0.2808,101
0.2864,105
0.2917,100
0.2974,101
0.303,103
0.3084,104
0.314,103
0.3197,102
0.3253,100
0.3307,100
0.3363,99
0.342,101
0.3473,102
0.3529,104
0.3586,99
0.3642,101
0.3696,102
0.3752,105
0.3808,102
0.3862,102
0.3918,103
0.3975,100
0.4031,103
0.4085,102
0.4141,100
0.4197,98
0.4251,102
0.4307,102
0.4364,102
0.4417,100
0.4474,102
0.453,102
0.4586,101
0.464,101
0.4697,100
0.4753,98
0.4807,99
0.4863,100
0.4919,97
0.4973,99
0.5029,100
0.5086,100
0.5139,100
0.5196,99
0.5252,98
0.5307,101
0.5363,101
0.5419,100
0.5476,98
0.5529,100
0.5586,101
0.5642,100
0.5696,103
0.5752,101
0.5808,103
0.5865,105
0.5918,101
0.5975,102
0.6028,101
0.6085,104
0.6141,105
0.6197,101
0.6251,103
0.6308,104
0.6364,102
0.6418,99
0.6474,100
0.653,103
0.6586,104
0.664,103
0.6696,98
0.6753,101
0.6809,100
0.6863,100
0.6919,102
0.6975,101
0.7029,99
0.7085,101
0.7142,102
0.7198,102
0.7252,101
0.7308,98
0.7364,98
0.7418,102
0.7473,103
0.7529,103
0.7586,100
0.7642,104
0.7696,100
0.7751,99
0.7807,103
0.7864,105
0.792,99
0.7974,102
0.8029,103
