Experiment: Mar_29_Phage_osmo_expt vial 5, Mon Mar 29 18:22:37 2021
0,0
9.2919,22.25
10.3977,22.17
11.6865,22.23
12.9199,22.34
14.2143,22.18
15.5588,22.19
16.8144,22.21
18.0702,22.19
19.9979,22.2
37.6929,22.71
46.5764,22.28
48.9876,22.18
51.0541,22.18
52.9819,22.17
54.8043,22.25
56.6044,22.21
58.3432,22.2
60.0599,22.24
61.7489,22.18
63.5045,22.17
65.2545,22.2
66.9934,22.47
68.8656,22.45
70.7603,22.2
72.6436,22.19
74.4992,22.31
76.3269,22.19
78.2493,22.17
80.2048,22.17
82.1272,22.19
84.0827,22.25
86.0607,22.21
88.0328,22.18
90.1995,22.28
92.3774,22.26
94.8552,22.19
97.0943,22.21
99.6664,22.25
102.1555,22.2
104.9222,22.19
107.9555,22.21
111.2891,22.18
115.2724,22.35
120.8115,22.19
121.0672,24.55
129.4284,22.28
140.4787,22.18
151.7123,22.22
160.5458,22.62
165.6127,22.17
168.6518,22.24
170.6683,22.34
170.7073,20.09
170.7462,20.17
170.7851,20.92
170.8238,21.05
170.8573,21.5
170.8962,21.92
170.9351,22.27
170.9738,22.3
171.0073,22.63
171.0462,22.99
171.0852,23.2
171.1239,23.45
171.1574,23.78
171.196,24.3
171.2296,24.49
171.2682,24.68
171.3017,24.88
171.3404,25.25
171.3739,25.45
171.4129,25.83
171.4463,26.06
171.485,26.03
171.524,26.58
171.5629,26.89
171.6016,26.75
171.6351,27.33
171.674,27.41
171.7129,27.93
171.7516,27.86
171.7851,28.26
171.824,28.54
171.8627,28.75
171.8962,28.6
171.9351,28.76
171.9741,29.11
172.0127,29.18
172.0462,29.54
172.0849,29.61
172.1183,29.81
172.1518,29.68
172.1908,30.28
172.2294,30.35
172.2629,30.63
172.3018,30.94
172.3405,31.01
172.374,31.35
172.4129,31.17
172.4519,31.31
172.4905,31.49
172.524,31.62
172.563,31.79
172.6017,32.06
172.6352,32.19
172.6739,32.01
172.7073,32.31
172.7463,32.5
172.7852,32.57
172.8239,32.73
172.8574,32.9
172.8964,33.03
172.935,33.12
172.9685,33.42
173.0075,33.35
173.0464,33.36
173.0851,33.5
173.1241,33.74
173.1629,33.88
173.1964,33.86
173.2353,33.96
173.274,34.24
173.3075,34.21
173.3464,34.26
173.3851,34.43
173.4186,34.33
173.4573,34.34
173.4908,34.52
173.5295,34.67
173.563,34.63
173.6018,34.86
173.6353,34.9
173.6742,34.9
173.713,34.83
173.7519,35.0
173.7906,35.12
173.8241,35.29
173.863,35.35
173.902,35.29
173.9406,35.25
173.9741,35.42
174.0128,35.51
174.0463,35.59
174.0853,35.45
174.124,35.53
174.1575,35.51
174.1964,35.97
174.2353,35.9
174.274,36.03
174.3075,36.15
174.3464,36.1
174.3851,36.15
174.4186,36.35
174.4573,36.29
174.4908,36.39
174.5298,36.33
174.5684,36.32
174.6019,36.35
174.6409,36.54
174.6795,36.63
174.713,36.64
174.7517,36.76
174.7852,36.81
174.8187,36.62
174.8574,36.68
174.8909,36.76
174.9296,36.61
174.9631,36.8
175.0018,36.87
175.0353,36.89
175.074,36.92
175.1075,36.9
175.1465,36.82
175.1851,37.0
175.2186,37
175.2576,36.96
175.2962,37
175.3298,37
175.3684,37
175.4019,37
175.4409,37
175.4795,37
175.5131,37
175.552,37
175.5909,37
175.6296,37
175.6631,37
175.702,37
175.7407,37
175.7742,37
175.813,37
175.8465,37
175.8851,37
175.9186,37
175.9576,37
175.9962,37
176.0298,37
176.0685,37
176.102,37
176.1407,37
176.1742,37
176.2129,37
176.2464,37
176.2851,37
176.3186,37
176.3573,37
176.3909,37
176.4296,37
176.463,37
176.5019,37
176.5409,37
176.5796,37
176.6131,37
176.6518,37
176.6853,37
176.7242,37
176.7629,37
176.7964,37
176.8351,37
176.8686,37
176.9073,37
176.9408,37
176.9742,37
177.0129,37
177.0465,37
177.0851,37
177.1187,37
177.1576,37
177.1963,37
177.2298,37
177.2684,37
177.3019,37
177.3409,37
177.3795,37
177.4131,37
177.452,37
177.4909,37
177.5296,37
177.5631,37
177.6019,37
177.6409,37
177.6796,37
177.713,37
177.752,37
177.7909,37
177.8296,37
177.8631,37
177.902,37
177.9409,37
177.9796,37
178.0131,37
178.052,37
178.0909,37
178.1296,37
178.1631,37
178.202,37
178.2407,37
178.2742,37
178.3132,37
178.3519,37
178.3909,37
178.4298,37
178.4684,37
178.502,37
178.5407,37
178.5741,37
178.6075,37
178.6463,37
178.6853,37
178.7242,37
178.7629,37
178.7964,37
178.8354,37
178.874,37
178.9075,37
178.9465,37
178.9851,37
179.0187,37
179.0576,37
179.0963,37
179.1298,37
179.1685,37
179.202,36.94
179.2407,37
179.2743,37
179.3132,37
179.3519,37
179.3909,37
179.4298,36.95
179.4685,36.85
179.502,36.8
179.5409,36.89
179.5796,36.99
179.6131,36.83
179.652,36.76
179.6907,37
179.7242,36.79
179.7631,37
179.8021,36.86
179.8408,36.84
179.8743,36.88
179.913,36.74
179.9464,36.77
179.9854,36.8
180.0241,36.57
180.0576,36.78
180.0963,36.61
180.1298,36.82
180.1685,36.74
180.2021,36.76
180.2407,36.88
180.2743,36.62
180.3132,36.64
180.3518,36.67
180.3854,36.8
180.424,36.62
180.4576,36.73
180.4965,36.57
180.5352,36.54
180.5686,36.6
180.6073,36.62
180.6408,36.64
180.6798,36.8
180.7187,36.79
180.7576,36.59
180.7965,36.72
180.8354,36.62
180.8741,36.67
180.9076,36.67
180.9465,36.78
180.9854,36.77
181.0243,36.86
181.063,36.96
181.0965,37
181.1354,36.89
181.1743,36.91
181.213,37
181.2464,36.78
181.2854,36.86
181.3243,36.92
181.363,37
181.3965,37
181.4354,36.86
181.4743,37
181.513,36.98
181.5465,36.92
181.5854,36.87
181.6243,36.89
181.6632,36.81
181.7022,36.95
181.7409,37
181.7799,37
181.8186,36.95
181.8521,37
181.891,36.97
181.9299,36.97
181.9688,37
182.0077,37
182.0466,37
182.0855,37
182.1241,36.99
182.1576,37
182.1965,37
182.2355,37
182.2744,37
182.313,36.96
182.3465,37
182.3854,37
182.4189,37
182.4575,36.95
182.4909,37
182.5244,36.98
182.5633,36.91
182.6019,36.84
182.6354,36.82
182.6688,37
182.7077,36.93
182.7466,36.99
182.7853,37
182.8188,37
182.8577,36.93
182.8966,36.91
182.9355,37.0
182.9742,36.95
183.0076,37
183.0465,37
183.0855,36.9
183.1244,36.93
183.1633,36.91
183.202,36.93
183.2354,36.97
183.2743,37
183.3133,36.87
183.352,37
