Experiment: Mar_2_Turb_expt vial 14, Tue Mar  2 18:45:49 2021
0.0056,7183
0.0113,7200
0.0166,7195
0.0223,7184
0.0279,7186
0.0333,7209
0.0389,7210
0.0446,7185
0.0499,7152
0.0556,7192
0.0612,7172
0.0666,7181
0.0723,7168
0.0779,7144
0.0833,7147
0.0889,7167
0.0946,7187
0.0999,7171
0.1056,7191
0.1112,7185
0.1166,7198
0.1222,7220
0.1279,7165
0.1333,7170
0.1389,7203
0.1445,7202
0.1502,7170
0.1555,7186
0.1611,7200
0.1668,7172
0.1721,7177
0.1777,7178
0.1834,7180
0.189,7202
0.1944,7166
0.2,7193
0.2056,7203
0.2113,7222
0.2166,7200
0.2223,7220
0.2279,7207
0.2332,7220
0.2389,7240
0.2445,7239
0.2501,7229
0.2555,7207
0.2611,7235
0.2668,7217
0.2721,7200
0.2778,7204
0.2834,7176
0.289,7171
0.2944,7197
0.2999,7183
0.3056,7205
0.3112,7178
0.3165,7159
0.3222,7178
0.3277,7189
0.3333,7200
0.339,7215
0.3446,7197
0.3499,7165
0.3555,7183
0.3611,7199
0.3668,7164
0.3721,7158
0.3778,7156
0.3833,7182
0.3889,7188
0.3946,7173
0.3999,7166
0.4056,7172
0.4111,7177
0.4168,7154
0.4224,7165
0.4278,7162
0.4334,7178
0.4389,7155
0.4446,7132
0.4499,7163
0.4556,7149
0.4612,7141
0.4666,7172
0.4722,7141
0.4778,7117
0.4835,7126
0.4888,7129
0.4945,7128
0.5001,7103
0.5055,7122
0.5111,7111
0.5168,7117
0.5221,7116
0.5278,7104
0.5334,7114
0.5388,7135
0.5444,7138
0.5501,7151
0.5557,7131
0.5611,7118
0.5667,7149
0.5723,7133
0.5777,7148
0.5833,7147
0.589,7151
0.5943,7152
0.6,7154
0.6056,7148
0.6112,7187
0.6166,7171
0.6222,7157
0.6279,7202
0.6332,7170
0.6389,7166
0.6445,7167
0.6501,7160
0.6555,7149
0.6611,7180
0.6668,7176
0.6721,7195
0.6777,7191
0.6834,7199
0.689,7176
0.6944,7186
0.7,7225
0.7056,7188
0.7113,7179
0.7166,7193
0.7222,7184
0.7279,7179
0.7332,7205
0.7388,7165
0.7445,7139
0.7501,7168
0.7555,7177
0.7611,7168
0.7667,7150
0.7721,7159
0.7777,7176
0.7833,7187
0.789,7184
0.7946,7214
0.8,7204
0.8056,7206
0.811,7210
0.8166,7189
0.8222,7220
0.8279,7202
0.8332,7161
0.8389,7190
0.8445,7220
0.8501,7204
0.8555,7222
0.8612,7224
0.8668,7197
0.8722,7220
0.8778,7206
0.8834,7190
0.8888,7181
0.8944,7181
0.9001,7204
0.9054,7205
0.9111,7194
0.9167,7193
0.9223,7188
0.9277,7244
0.9333,7197
0.939,7216
0.9443,7235
0.95,7208
0.9554,7225
0.961,7226
0.9667,7202
0.9723,7228
0.9777,7258
0.9833,7215
0.989,7187
0.9943,7212
1.0,7205
1.0056,7250
1.0113,7239
1.0167,7196
1.0223,7203
1.0277,7224
1.0333,7202
1.039,7189
1.0443,7188
1.05,7217
1.0556,7215
1.061,7213
1.0666,7213
1.0723,7218
1.0779,7188
1.0833,7184
1.0889,7190
1.0945,7207
1.0999,7180
1.1055,7205
1.1112,7186
1.1168,7187
1.1222,7192
1.1278,7172
1.1334,7206
1.1388,7180
1.1444,7174
1.15,7197
1.1557,7196
1.161,7200
1.1667,7168
1.1723,7145
1.1777,7164
1.1833,7185
1.1889,7197
1.1943,7186
1.1999,7174
1.2055,7203
1.2112,7172
1.2166,7157
1.2222,7176
1.2278,7203
1.2332,7167
1.2388,7208
1.2444,7243
1.2501,7207
1.2554,7195
1.2611,7216
1.2667,7202
1.2723,7173
1.2777,7196
1.2833,7182
1.2889,7148
1.2946,7180
1.2999,7186
1.3056,7179
1.3112,7183
1.3165,7159
1.3222,7162
1.3278,7177
1.3334,7173
1.3388,7147
1.3445,7153
1.3501,7132
1.3554,7154
1.3611,7150
1.3667,7150
1.3724,7137
1.3777,7146
1.3833,7153
1.389,7154
1.3944,7149
1.4,7130
1.4057,7134
1.411,7145
1.4166,7157
1.4223,7138
1.4279,7119
1.4333,7165
1.4389,7142
1.4446,7119
1.4499,7159
1.4555,7164
1.4612,7141
1.4666,7111
1.4722,7122
1.4778,7149
1.4835,7157
1.4888,7122
1.4945,7127
1.5001,7137
1.5055,7136
1.5111,7157
1.5168,7121
1.5221,7126
1.5278,7129
1.5334,7127
1.539,7155
1.5444,7164
1.5501,7148
1.5557,7170
1.561,7173
1.5667,7175
1.5723,7173
1.5777,7162
1.5833,7177
1.589,7158
1.5946,7154
1.6,7156
1.6056,7150
1.6112,7153
1.6166,7137
1.6222,7154
1.6279,7174
1.6333,7143
1.6389,7149
1.6445,7132
1.6499,7149
1.6555,7129
1.6612,7133
1.6668,7140
1.6722,7124
1.6778,7123
1.6835,7151
1.6888,7160
1.6945,7149
1.7001,7151
1.7057,7190
1.7111,7215
1.7167,7199
1.7224,7214
1.7277,7184
1.7333,7204
1.739,7259
1.7446,7210
1.7499,7215
1.7556,7260
1.7612,7215
1.7668,7213
1.7722,7252
1.7778,7245
1.7835,7259
1.7888,7262
1.7944,7265
1.8,7279
1.8056,7263
1.8113,7225
1.8166,7264
1.8222,7270
1.8278,7251
1.8335,7251
1.8391,7257
1.8445,7277
1.85,7284
1.8556,7243
1.8613,7278
1.8666,7299
1.8723,7308
1.8778,7289
1.8835,7230
1.8891,7284
1.8945,7305
1.9001,7290
1.9056,7290
1.9113,7296
1.9166,7308
1.9223,7317
1.9279,7291
1.9334,7291
1.9391,7288
1.9444,7286
1.9501,7300
1.9557,7267
1.9611,7287
1.9668,7264
1.9724,7252
1.9778,7280
1.9834,7237
1.989,7268
1.9944,7280
2.0001,7222
2.0057,7259
2.0111,7268
2.0167,7229
2.0224,7282
2.0277,7258
2.0334,7227
2.039,7261
2.0447,7283
2.05,7292
2.0557,7281
2.061,7269
2.0667,7308
2.0722,7316
2.0778,7267
2.0835,7242
2.0889,7244
2.0945,7251
2.1,7243
2.1057,7211
2.1113,7203
2.1167,7205
2.1223,7244
2.1278,7237
2.1335,7256
2.1391,7254
2.1445,7225
2.1501,7221
2.1556,7198
2.1613,7225
2.1666,7205
2.1723,7204
2.1779,7190
2.1833,7187
2.1889,7186
2.1946,7216
2.2002,7178
2.2056,7211
2.2112,7207
2.2169,7184
2.2223,7183
2.2279,7153
2.2335,7168
2.2389,7212
2.2445,7175
2.2502,7182
2.2555,7194
2.2612,7175
2.2668,7190
2.2724,7202
2.2778,7159
2.2834,7160
2.2891,7159
2.2944,7153
2.3001,7186
2.3057,7152
2.3111,7134
2.3167,7183
2.3224,7176
2.328,7148
2.3334,7150
2.339,7176
2.3447,7157
2.3501,7168
2.3557,7166
2.3611,7148
2.3667,7152
2.3723,7165
2.378,7155
2.3833,7147
2.389,7164
2.3946,7127
2.4003,7157
2.4056,7185
2.4112,7140
2.4169,7134
2.4223,7144
2.4279,7108
