Experiment: Mar_2_Turb_expt vial 10, Tue Mar  2 18:45:49 2021
0.0056,4065
0.0113,4066
0.0166,4066
0.0223,4066
0.0279,4064
0.0333,4066
0.0389,4063
0.0446,4064
0.0499,4066
0.0556,4065
0.0612,4064
0.0666,4065
0.0723,4063
0.0779,4065
0.0833,4064
0.0889,4066
0.0946,4068
0.0999,4065
0.1056,4065
0.1112,4065
0.1166,4066
0.1222,4065
0.1279,4066
0.1333,4066
0.1389,4066
0.1445,4066
0.1502,4064
0.1555,4066
0.1611,4065
0.1668,4064
0.1721,4065
0.1777,4065
0.1834,4067
0.189,4064
0.1944,4064
0.2,4067
0.2056,4066
0.2113,4065
0.2166,4063
0.2223,4065
0.2279,4067
0.2332,4067
0.2389,4067
0.2445,4065
0.2501,4065
0.2555,4066
0.2611,4064
0.2668,4066
0.2721,4068
0.2778,4066
0.2834,4066
0.289,4065
0.2944,4066
0.2999,4066
0.3056,4066
0.3112,4066
0.3165,4066
0.3222,4064
0.3277,4066
0.3333,4066
0.339,4067
0.3446,4067
0.3499,4066
0.3555,4067
0.3611,4065
0.3668,4065
0.3721,4066
0.3778,4065
0.3833,4066
0.3889,4066
0.3946,4065
0.3999,4065
0.4056,4065
0.4111,4066
0.4168,4064
0.4224,4065
0.4278,4066
0.4334,4064
0.4389,4067
0.4446,4065
0.4499,4066
0.4556,4066
0.4612,4066
0.4666,4065
0.4722,4065
0.4778,4065
0.4835,4066
0.4888,4065
0.4945,4065
0.5001,4064
0.5055,4066
0.5111,4066
0.5168,4066
0.5221,4065
0.5278,4064
0.5334,4065
0.5388,4066
0.5444,4066
0.5501,4065
0.5557,4065
0.5611,4066
0.5667,4066
0.5723,4066
0.5777,4065
0.5833,4066
0.589,4066
0.5943,4067
0.6,4066
0.6056,4064
0.6112,4065
0.6166,4065
0.6222,4065
0.6279,4065
0.6332,4064
0.6389,4065
0.6445,4066
0.6501,4063
0.6555,4066
0.6611,4066
0.6668,4065
0.6721,4067
0.6777,4067
0.6834,4067
0.689,4067
0.6944,4065
0.7,4065
0.7056,4066
0.7113,4065
0.7166,4065
0.7222,4066
0.7279,4065
0.7332,4064
0.7388,4065
0.7445,4067
0.7501,4066
0.7555,4068
0.7611,4065
0.7667,4066
0.7721,4065
0.7777,4066
0.7833,4067
0.789,4066
0.7946,4065
0.8,4064
0.8056,4065
0.811,4066
0.8166,4065
0.8222,4065
0.8279,4067
0.8332,4064
0.8389,4064
0.8445,4065
0.8501,4065
0.8555,4064
0.8612,4064
0.8668,4066
0.8722,4066
0.8778,4067
0.8834,4065
0.8888,4066
0.8944,4066
0.9001,4064
0.9054,4063
0.9111,4067
0.9167,4065
0.9223,4065
0.9277,4064
0.9333,4066
0.939,4068
0.9443,4066
0.95,4066
0.9554,4065
0.961,4068
0.9667,4066
0.9723,4068
0.9777,4066
0.9833,4065
0.989,4066
0.9943,4067
1.0,4066
1.0056,4064
1.0113,4067
1.0167,4067
1.0223,4067
1.0277,4064
1.0333,4068
1.039,4066
1.0443,4066
1.05,4068
1.0556,4065
1.061,4066
1.0666,4065
1.0723,4066
1.0779,4063
1.0833,4066
1.0889,4064
1.0945,4066
1.0999,4067
1.1055,4067
1.1112,4066
1.1168,4068
1.1222,4067
1.1278,4064
1.1334,4066
1.1388,4066
1.1444,4066
1.15,4064
1.1557,4066
1.161,4067
1.1667,4065
1.1723,4065
1.1777,4067
1.1833,4065
1.1889,4065
1.1943,4066
1.1999,4067
1.2055,4063
1.2112,4066
1.2166,4065
1.2222,4067
1.2278,4066
1.2332,4065
1.2388,4066
1.2444,4066
1.2501,4066
1.2554,4066
1.2611,4066
1.2667,4065
1.2723,4066
1.2777,4066
1.2833,4066
1.2889,4066
1.2946,4067
1.2999,4066
1.3056,4064
1.3112,4067
1.3165,4067
1.3222,4065
1.3278,4066
1.3334,4066
1.3388,4067
1.3445,4066
1.3501,4065
1.3554,4064
1.3611,4066
1.3667,4067
1.3724,4064
1.3777,4066
1.3833,4066
1.389,4064
1.3944,4065
1.4,4068
1.4057,4066
1.411,4066
1.4166,4066
1.4223,4065
1.4279,4064
1.4333,4066
1.4389,4066
1.4446,4069
1.4499,4067
1.4555,4065
1.4612,4066
1.4666,4068
1.4722,4066
1.4778,4066
1.4835,4067
1.4888,4065
1.4945,4065
1.5001,4066
1.5055,4066
1.5111,4067
1.5168,4065
1.5221,4067
1.5278,4066
1.5334,4064
1.539,4067
1.5444,4064
1.5501,4067
1.5557,4066
1.561,4065
1.5667,4066
1.5723,4065
1.5777,4066
1.5833,4065
1.589,4065
1.5946,4066
1.6,4067
1.6056,4066
1.6112,4064
1.6166,4066
1.6222,4065
1.6279,4067
1.6333,4066
1.6389,4065
1.6445,4066
1.6499,4067
1.6555,4064
1.6612,4066
1.6668,4065
1.6722,4067
1.6778,4066
1.6835,4067
1.6888,4065
1.6945,4067
1.7001,4065
1.7057,4066
1.7111,4066
1.7167,4067
1.7224,4066
1.7277,4066
1.7333,4066
1.739,4065
1.7446,4066
1.7499,4067
1.7556,4066
1.7612,4065
1.7668,4065
1.7722,4066
1.7778,4068
1.7835,4065
1.7888,4066
1.7944,4066
1.8,4065
1.8056,4065
1.8113,4065
1.8166,4066
1.8222,4067
1.8278,4066
1.8335,4065
1.8391,4066
1.8445,4064
1.85,4066
1.8556,4068
1.8613,4065
1.8666,4067
1.8723,4065
1.8778,4065
1.8835,4064
1.8891,4065
1.8945,4068
1.9001,4065
1.9056,4063
1.9113,4066
1.9166,4067
1.9223,4066
1.9279,4068
1.9334,4067
1.9391,4067
1.9444,4065
1.9501,4067
1.9557,4065
1.9611,4067
1.9668,4066
1.9724,4065
1.9778,4067
1.9834,4064
1.989,4067
1.9944,4068
2.0001,4066
2.0057,4065
2.0111,4066
2.0167,4067
2.0224,4066
2.0277,4065
2.0334,4065
2.039,4066
2.0447,4067
2.05,4066
2.0557,4066
2.061,4064
2.0667,4066
2.0722,4066
2.0778,4066
2.0835,4064
2.0889,4065
2.0945,4066
2.1,4066
2.1057,4065
2.1113,4065
2.1167,4065
2.1223,4066
2.1278,4066
2.1335,4066
2.1391,4065
2.1445,4064
2.1501,4066
2.1556,4066
2.1613,4067
2.1666,4065
2.1723,4067
2.1779,4066
2.1833,4066
2.1889,4066
2.1946,4067
2.2002,4065
2.2056,4066
2.2112,4067
2.2169,4067
2.2223,4066
2.2279,4066
2.2335,4066
2.2389,4065
2.2445,4066
2.2502,4067
2.2555,4066
2.2612,4065
2.2668,4066
2.2724,4066
2.2778,4065
2.2834,4065
2.2891,4066
2.2944,4067
2.3001,4066
2.3057,4066
2.3111,4066
2.3167,4066
2.3224,4067
2.328,4066
2.3334,4066
2.339,4064
2.3447,4067
2.3501,4064
2.3557,4066
2.3611,4067
2.3667,4067
2.3723,4068
2.378,4067
2.3833,4066
2.389,4067
2.3946,4067
2.4003,4067
2.4056,4065
2.4112,4065
2.4169,4064
2.4223,4067
2.4279,4067
2.4335,4067
2.4389,4064
2.4446,4066
2.4502,4067
2.4556,4067
2.4612,4065
2.4669,4066
2.4722,4066
2.4779,4067
2.4835,4064
2.4892,4067
2.4945,4065
2.5002,4066
2.5055,4065
2.5112,4067
2.5169,4067
2.5222,4064
2.5279,4066
2.5335,4068
2.5389,4066
2.5445,4065
2.5502,4065
2.5555,4068
2.5612,4064
2.5669,4066
2.5722,4067
2.5779,4067
2.5835,4066
2.5889,4065
2.5945,4065
2.6002,4066
2.6058,4064
2.6112,4065
2.6168,4065
2.6225,4064
2.6278,4068
2.6335,4065
2.6391,4067
2.6445,4066
2.6501,4066
2.6558,4066
2.6611,4067
2.6668,4065
2.6724,4065
2.678,4066
2.6834,4067
2.689,4066
2.6947,4066
2.7,4067
2.7057,4064
2.7113,4065
2.7167,4066
2.7223,4066
2.728,4066
2.7333,4066
2.739,4067
2.7446,4067
2.7503,4065
2.7556,4065
2.7613,4067
2.7669,4066
2.7722,4065
2.7779,4065
2.7835,4066
2.7891,4065
2.7945,4066
2.8001,4067
2.8058,4068
2.8111,4064
2.8168,4066
2.8224,4068
2.8281,4064
2.8334,4067
2.8391,4066
2.8447,4066
2.85,4065
2.8557,4065
2.8613,4067
2.8669,4068
2.8723,4066
2.8779,4066
2.8836,4066
2.8889,4069
2.8946,4063
2.9002,4066
2.9056,4066
2.9112,4067
2.9169,4065
2.9225,4066
2.9279,4066
2.9336,4066
2.939,4067
2.9446,4065
2.95,4065
2.9556,4066
2.9613,4067
2.9667,4065
2.9723,4065
2.978,4066
2.9836,4066
2.989,4064
2.9947,4064
3.0,4066
3.0057,4065
3.0114,4065
3.0167,4064
3.0224,4065
3.028,4066
3.0334,4065
3.039,4065
3.0447,4067
3.05,4066
3.0557,4067
3.0613,4065
3.0669,4067
3.0723,4067
3.0779,4065
3.0835,4066
3.0889,4066
3.0946,4067
3.1002,4066
3.1056,4064
3.1112,4067
3.1168,4069
3.1225,4068
3.1278,4067
3.1335,4066
3.1391,4067
3.1445,4067
3.1501,4067
3.1557,4067
3.1614,4065
3.1668,4067
3.1724,4065
3.178,4066
3.1834,4064
3.1891,4067
3.1947,4069
3.2001,4065
3.2057,4067
3.2113,4064
3.2167,4064
3.2223,4065
3.228,4065
3.2336,4068
3.239,4066
3.2446,4068
3.2502,4067
3.2556,4066
3.2612,4066
3.2668,4067
3.2724,4067
3.2781,4064
3.2834,4066
3.289,4067
3.2946,4067
3.3002,4067
3.3059,4067
3.3112,4075
3.3168,4068
3.3224,4066
3.328,4065
3.3334,4065
3.339,4067
3.3446,4065
3.3502,4066
3.3556,4066
3.3612,4068
3.3669,4064
3.3724,4065
3.378,4066
3.3834,4065
3.389,4065
3.3947,4066
3.4001,4068
3.4058,4064
3.4111,4065
