Experiment: Mar_4_Turb_expt vial 11, Thu Mar  4 17:36:01 2021
0.0012,-6.102886622447633
0.0063,-6.10396028707691
0.0118,-6.104617113868728
0.0175,-6.104040258681591
0.0229,-6.102886622447633
0.0286,-6.103332072455623
0.034,-6.103463428207893
0.0397,-6.103726141138262
0.0451,-6.104617113868728
0.0508,-6.103777537095682
0.0562,-6.1045371405858715
0.0619,-6.104354381726172
0.0673,-6.103332072455623
0.073,-6.104040258681591
0.0786,-6.103594784435439
0.084,-6.104354381726172
0.0897,-6.104091651484722
0.0951,-6.1049312510701
0.1007,-6.1061878548881054
0.1063,-6.107290383229768
0.112,-6.103594784435439
0.1174,-6.103777537095682
0.1231,-6.104040258681591
0.1285,-6.104040258681591
0.1341,-6.1041716201874605
0.1395,-6.10396028707691
0.1452,-6.1032007171786296
0.1506,-6.104799880433415
0.1563,-6.1042230163678095
0.162,-6.104091651484722
0.1674,-6.101864425460003
0.1729,-6.105245393772725
0.1786,-6.102178496205185
0.184,-6.1041716201874605
0.1897,-6.1032007171786296
0.1961,-6.1032007171786296
0.2007,-6.1039088976509985
0.2064,-6.103594784435439
0.2119,-6.104040258681591
0.2174,-6.1027552719736855
0.2228,-6.103857498316361
0.2285,-6.104982644319088
0.234,-6.10293800805047
0.2397,-6.104982644319088
0.2452,-6.105165405525748
0.2507,-6.104851270305184
0.2564,-6.104091651484722
0.2618,-6.103828923144375
0.2675,-6.10230984140081
0.2729,-6.103777537095682
0.2786,-6.1039088976509985
0.284,-6.103017973396856
0.2897,-6.104354381726172
0.2951,-6.102441187071711
0.3007,-6.103777537095682
0.3064,-6.1042230163678095
0.3131,-6.1032007171786296
0.3173,-6.104405771375013
0.3238,-6.1045371405858715
0.3301,-6.103332072455623
0.3341,-6.103332072455623
0.3398,-6.104799880433415
0.3451,-6.104091651484722
0.3508,-6.105873695681729
0.3562,-6.1045371405858715
0.3619,-6.104668510272005
0.3673,-6.1032007171786296
0.373,-6.1042230163678095
0.3786,-6.1032007171786296
0.384,-6.103594784435439
0.3897,-6.104668510272005
0.3951,-6.1045371405858715
0.4008,-6.106136464347552
0.4065,-6.104354381726172
0.4119,-6.102886622447633
0.4173,-6.103777537095682
0.423,-6.104982644319088
0.4284,-6.104982644319088
0.4341,-6.103594784435439
0.4395,-6.103332072455623
0.4452,-6.103017973396856
0.4506,-6.1027552719736855
0.4563,-6.1032007171786296
0.4619,-6.106319243311151
0.4673,-6.104040258681591
0.473,-6.1032007171786296
0.4784,-6.102127107670986
0.4841,-6.103646177015642
0.4896,-6.102623921975014
0.4953,-6.10306936237691
0.5007,-6.1039088976509985
0.5063,-6.104799880433415
0.5117,-6.105114018808269
0.5174,-6.1027552719736855
0.5231,-6.103777537095682
0.5285,-6.1027552719736855
0.5342,-6.1056395215177535
0.5396,-6.104091651484722
0.5452,-6.1042230163678095
0.5506,-6.104799880433415
0.5563,-6.1049312510701
0.5618,-6.104091651484722
0.5675,-6.104668510272005
0.5729,-6.107027593450652
0.5785,-6.104799880433415
0.5839,-6.10230984140081
0.5896,-6.10306936237691
0.5953,-6.103463428207893
0.6007,-6.102572533217887
0.6064,-6.103332072455623
0.6118,-6.103383458281389
0.6175,-6.10396028707691
0.6229,-6.103594784435439
0.6286,-6.1045371405858715
0.6342,-6.104799880433415
0.6396,-6.104354381726172
0.6453,-6.106582021583067
0.6507,-6.1045371405858715
0.6564,-6.1042230163678095
0.6618,-6.104091651484722
0.6675,-6.1032007171786296
0.6729,-6.1045371405858715
0.6786,-6.104091651484722
0.684,-6.104091651484722
0.6896,-6.104091651484722
0.6953,-6.103514817410876
0.7007,-6.104982644319088
0.7064,-6.103412029096185
0.7118,-6.104668510272005
0.7175,-6.103646177015642
0.7229,-6.104274402639431
0.7286,-6.104485747559812
0.734,-6.105114018808269
0.7397,-6.1042230163678095
0.7451,-6.104485747559812
0.7508,-6.105245393772725
0.7562,-6.104040258681591
0.7619,-6.103828923144375
0.7675,-6.103332072455623
0.7729,-6.104485747559812
0.7786,-6.102623921975014
0.784,-6.104354381726172
0.7897,-6.102886622447633
0.7953,-6.102886622447633
0.8007,-6.1039088976509985
0.8062,-6.103646177015642
0.8119,-6.1045371405858715
0.8173,-6.104799880433415
0.823,-6.104091651484722
0.8287,-6.1039088976509985
0.8341,-6.102886622447633
0.8397,-6.105690921744103
0.8451,-6.105559541976601
0.8508,-6.1042230163678095
0.8562,-6.103777537095682
0.8619,-6.104799880433415
0.8676,-6.10306936237691
0.873,-6.103828923144375
0.8785,-6.104091651484722
0.8841,-6.102047151484837
0.8896,-6.1042230163678095
0.8952,-6.104091651484722
0.9007,-6.106136464347552
0.9063,-6.103332072455623
0.912,-6.104485747559812
0.9174,-6.105114018808269
0.9231,-6.104091651484722
0.9285,-6.1042230163678095
0.9342,-6.104485747559812
0.9396,-6.1032007171786296
0.9453,-6.1039088976509985
0.9507,-6.102492572451619
0.9564,-6.102441187071711
0.9618,-6.103646177015642
0.9675,-6.1027552719736855
0.9731,-6.1060050797770025
0.9785,-6.104091651484722
0.9842,-6.103777537095682
0.9896,-6.104405771375013
0.9953,-6.104405771375013
1.0064,-6.105873695681729
1.0118,-6.104851270305184
1.0174,-6.106450632209471
1.0231,-6.105873695681729
1.0285,-6.1049312510701
1.0342,-6.10306936237691
1.0396,-6.1045371405858715
1.0453,-6.105296783867422
1.0507,-6.105559541976601
1.0564,-6.1042230163678095
1.0618,-6.103777537095682
1.0675,-6.103777537095682
1.0729,-6.102886622447633
1.0786,-6.105165405525748
1.084,-6.104405771375013
1.0897,-6.1032007171786296
1.0951,-6.103514817410876
1.1008,-6.104799880433415
1.1062,-6.103777537095682
1.1119,-6.10230984140081
1.1176,-6.103594784435439
1.123,-6.1039088976509985
1.1287,-6.103017973396856
1.1341,-6.103646177015642
1.1398,-6.104668510272005
1.1451,-6.1042230163678095
1.1508,-6.1042230163678095
1.1563,-6.1032007171786296
1.1619,-6.1027552719736855
1.1673,-6.104799880433415
1.173,-6.105325365831819
1.1785,-6.104799880433415
1.1841,-6.102886622447633
1.1896,-6.103017973396856
1.1952,-6.102886622447633
1.2007,-6.103777537095682
1.2064,-6.103777537095682
1.212,-6.104354381726172
1.2174,-6.102572533217887
1.2231,-6.103280676721131
1.2287,-6.1039088976509985
1.2341,-6.103463428207893
1.2398,-6.102886622447633
1.2452,-6.104091651484722
1.2509,-6.102572533217887
1.2563,-6.102127107670986
1.2619,-6.103594784435439
1.2674,-6.102127107670986
1.2731,-6.103017973396856
1.2785,-6.103332072455623
1.2842,-6.102441187071711
1.2897,-6.1049312510701
1.2951,-6.102572533217887
1.3008,-6.101681696756155
1.3062,-6.102886622447633
1.3119,-6.1027552719736855
1.3176,-6.103777537095682
1.323,-6.101419024151265
1.3284,-6.10270387983934
1.3343,-6.102623921975014
1.3396,-6.103463428207893
1.3452,-6.1032007171786296
