Experiment: Mar_4_Turb_expt vial 14, Thu Mar  4 17:36:03 2021
0.0012,169
0.0063,171
0.0118,168
0.0175,171
0.0229,168
0.0286,170
0.034,171
0.0397,170
0.0451,169
0.0508,169
0.0562,172
0.0619,169
0.0673,168
0.073,166
0.0786,170
0.084,169
0.0897,170
0.0951,169
0.1007,168
0.1063,168
0.112,167
0.1174,167
0.1231,171
0.1285,171
0.1341,173
0.1395,171
0.1452,172
0.1506,171
0.1563,169
0.162,171
0.1674,170
0.1729,170
0.1786,173
0.184,169
0.1897,170
0.1961,172
0.2007,170
0.2064,168
0.2119,169
0.2174,170
0.2228,167
0.2285,171
0.234,170
0.2397,170
0.2452,171
0.2507,170
0.2564,170
0.2618,171
0.2675,170
0.2729,171
0.2786,170
0.284,169
0.2897,168
0.2951,169
0.3007,172
0.3064,171
0.3131,170
0.3173,171
0.3238,170
0.3301,172
0.3341,171
0.3398,172
0.3451,170
0.3508,173
0.3562,170
0.3619,169
0.3673,171
0.373,172
0.3786,171
0.384,169
0.3897,172
0.3951,168
0.4008,168
0.4065,169
0.4119,170
0.4173,171
0.423,169
0.4284,169
0.4341,170
0.4395,169
0.4452,172
0.4506,170
0.4563,169
0.4619,173
0.4673,172
0.473,171
0.4784,169
0.4841,169
0.4896,172
0.4953,170
0.5007,172
0.5063,170
0.5117,171
0.5174,170
0.5231,169
0.5285,172
0.5342,171
0.5396,169
0.5452,172
0.5506,169
0.5563,169
0.5618,170
0.5675,171
0.5729,169
0.5785,169
0.5839,171
0.5896,172
0.5953,170
0.6007,171
0.6064,170
0.6118,170
0.6175,170
0.6229,169
0.6286,171
0.6342,166
0.6396,170
0.6453,171
0.6507,170
0.6564,171
0.6618,171
0.6675,169
0.6729,170
0.6786,168
0.684,171
0.6896,171
0.6953,173
0.7007,169
0.7064,169
0.7118,171
0.7175,171
0.7229,169
0.7286,169
0.734,171
0.7397,168
0.7451,170
0.7508,169
0.7562,170
0.7619,171
0.7675,173
0.7729,172
0.7786,172
0.784,170
0.7897,168
0.7953,167
0.8007,167
0.8062,172
0.8119,169
0.8173,170
0.823,169
0.8287,169
0.8341,172
0.8397,169
0.8451,169
0.8508,170
0.8562,170
0.8619,170
0.8676,170
0.873,171
0.8785,172
0.8841,171
0.8896,171
0.8952,170
0.9007,169
0.9063,172
0.912,169
0.9174,167
0.9231,170
0.9285,171
0.9342,171
0.9396,169
0.9453,169
0.9507,170
0.9564,171
0.9618,169
0.9675,173
0.9731,171
0.9785,170
0.9842,167
0.9896,171
0.9953,172
1.0064,170
1.0118,170
1.0174,170
1.0231,170
1.0285,170
1.0342,172
1.0396,171
1.0453,171
1.0507,171
1.0564,169
1.0618,171
1.0675,170
1.0729,170
1.0786,170
1.084,169
1.0897,172
1.0951,171
1.1008,172
1.1062,170
1.1119,169
1.1176,167
1.123,169
1.1287,169
1.1341,168
1.1398,171
1.1451,169
1.1508,170
1.1563,172
1.1619,170
1.1673,170
1.173,169
1.1785,168
1.1841,168
1.1896,169
1.1952,167
1.2007,171
1.2064,169
1.212,168
1.2174,169
1.2231,170
1.2287,169
1.2341,168
1.2398,167
1.2452,169
1.2509,169
1.2563,171
1.2619,168
1.2674,169
1.2731,168
1.2785,167
1.2842,169
1.2897,170
1.2951,169
1.3008,168
1.3062,168
1.3119,173
1.3176,171
1.323,171
1.3284,167
1.3343,170
1.3396,171
1.3452,169
1.3509,168
1.3563,172
1.3618,169
1.3675,171
1.3729,171
1.3786,170
1.384,169
1.3896,168
1.3952,170
1.4007,171
1.4064,171
1.4118,169
1.4175,173
1.423,172
1.4287,171
1.4341,170
1.4396,168
1.4453,169
1.4509,169
1.4564,170
1.4618,169
1.4674,171
1.473,172
1.4785,170
1.4841,170
1.4898,170
1.4952,169
1.5007,172
1.5064,168
1.512,170
1.5173,171
1.523,171
1.5284,173
1.5341,171
1.5398,169
1.5451,167
1.5508,168
1.5565,170
1.5619,169
1.5674,170
1.5729,169
1.5784,169
1.584,169
1.5897,167
1.5952,173
1.6007,172
1.6064,171
1.6118,171
1.6175,169
1.6229,170
1.6285,170
1.6343,170
1.6397,172
1.6453,168
1.6507,169
1.6564,170
1.6618,170
1.6675,169
1.6729,170
1.6786,170
1.6842,170
1.6896,173
1.6953,170
1.7007,171
1.7063,169
1.7119,170
1.7173,171
1.723,171
1.7287,169
1.7341,169
1.7398,172
1.7452,169
1.7508,170
1.7562,170
1.7619,172
1.7676,171
1.773,170
1.7785,170
1.7842,170
1.7896,169
1.7953,168
1.8007,172
1.8063,170
1.812,171
1.8174,171
1.8231,169
1.8285,170
1.8342,171
1.8396,174
1.8453,171
1.8507,170
1.8563,171
1.862,171
1.8674,171
1.8731,171
1.8785,171
1.8842,170
1.8896,169
1.8952,172
1.9007,172
1.9064,170
1.9118,170
1.9175,169
1.9231,169
1.9285,171
1.9342,172
1.9396,172
1.9453,171
1.9507,170
1.9564,175
1.9618,174
1.9675,172
1.9729,172
1.9786,174
1.9842,170
1.9896,173
1.9953,172
2.0007,173
23.6681,167
