Experiment: Mar_4_Turb_expt vial 13, Thu Mar  4 17:36:03 2021
0.0012,1623
0.0063,1629
0.0118,1632
0.0175,1627
0.0229,1623
0.0286,1624
0.034,1630
0.0397,1631
0.0451,1630
0.0508,1621
0.0562,1621
0.0619,1627
0.0673,1632
0.073,1631
0.0786,1624
0.084,1620
0.0897,1624
0.0951,1633
0.1007,1634
0.1063,1629
0.112,1623
0.1174,1620
0.1231,1626
0.1285,1634
0.1341,1630
0.1395,1627
0.1452,1622
0.1506,1624
0.1563,1632
0.162,1632
0.1674,1626
0.1729,1620
0.1786,1625
0.184,1630
0.1897,1634
0.1961,1629
0.2007,1620
0.2064,1622
0.2119,1629
0.2174,1631
0.2228,1626
0.2285,1621
0.234,1621
0.2397,1628
0.2452,1631
0.2507,1630
0.2564,1624
0.2618,1619
0.2675,1623
0.2729,1630
0.2786,1632
0.284,1626
0.2897,1620
0.2951,1620
0.3007,1626
0.3064,1634
0.3131,1632
0.3173,1625
0.3238,1621
0.3301,1622
0.3341,1630
0.3398,1633
0.3451,1627
0.3508,1620
0.3562,1621
0.3619,1627
0.3673,1632
0.373,1628
0.3786,1622
0.384,1624
0.3897,1627
0.3951,1632
0.4008,1628
0.4065,1623
0.4119,1621
0.4173,1627
0.423,1632
0.4284,1630
0.4341,1622
0.4395,1620
0.4452,1627
0.4506,1632
0.4563,1627
0.4619,1623
0.4673,1619
0.473,1622
0.4784,1630
0.4841,1632
0.4896,1628
0.4953,1619
0.5007,1623
0.5063,1628
0.5117,1633
0.5174,1632
0.5231,1623
0.5285,1620
0.5342,1624
0.5396,1631
0.5452,1631
0.5506,1622
0.5563,1619
0.5618,1625
0.5675,1632
0.5729,1629
0.5785,1621
0.5839,1619
0.5896,1625
0.5953,1633
0.6007,1630
0.6064,1625
0.6118,1620
0.6175,1623
0.6229,1630
0.6286,1632
0.6342,1626
0.6396,1620
0.6453,1620
0.6507,1626
0.6564,1635
0.6618,1629
0.6675,1623
0.6729,1621
0.6786,1623
0.684,1630
0.6896,1630
0.6953,1623
0.7007,1621
0.7064,1622
0.7118,1630
0.7175,1633
0.7229,1628
0.7286,1621
0.734,1622
0.7397,1626
0.7451,1634
0.7508,1632
0.7562,1624
0.7619,1619
0.7675,1622
0.7729,1630
0.7786,1633
0.784,1631
0.7897,1621
0.7953,1621
0.8007,1627
0.8062,1632
0.8119,1628
0.8173,1622
0.823,1622
0.8287,1630
0.8341,1630
0.8397,1628
0.8451,1620
0.8508,1622
0.8562,1626
0.8619,1630
0.8676,1629
0.873,1623
0.8785,1620
0.8841,1625
0.8896,1632
0.8952,1631
0.9007,1624
0.9063,1621
0.912,1624
0.9174,1632
0.9231,1632
0.9285,1626
0.9342,1620
0.9396,1621
0.9453,1628
0.9507,1633
0.9564,1629
0.9618,1622
0.9675,1621
0.9731,1624
0.9785,1630
0.9842,1629
0.9896,1625
0.9953,1620
1.0064,1632
1.0118,1633
1.0174,1624
1.0231,1621
1.0285,1624
1.0342,1631
1.0396,1630
1.0453,1626
1.0507,1620
1.0564,1618
1.0618,1628
1.0675,1631
1.0729,1629
1.0786,1624
1.084,1622
1.0897,1627
1.0951,1632
1.1008,1628
