Experiment: Mar_5_T2_Turb_expt vial 1, Fri Mar  5 18:09:41 2021
0.0046,28622
0.0103,28625
0.0156,28619
0.0213,28621
0.0267,28620
0.0324,28609
0.0378,28614
0.0435,28620
0.0489,28620
0.0546,28612
0.0603,28618
0.0657,28622
0.0714,28623
0.0768,28616
0.0824,28619
0.0878,28614
0.0935,28619
0.0989,28617
0.1046,28610
0.11,28604
0.1157,28608
0.1214,28613
0.1268,28615
0.1325,28610
0.1379,28602
0.1436,28605
0.149,28611
0.1547,28620
0.1601,28613
0.1658,28614
0.1712,28612
0.1769,28614
0.1823,28618
0.1879,28614
0.1936,28611
0.199,28612
0.2047,28614
0.2101,28612
0.2158,28619
0.2212,28617
0.2269,28616
0.2323,28608
0.238,28616
0.2434,28614
0.2491,28622
0.2545,28624
0.2602,28618
0.2656,28620
0.2712,28617
0.2769,28619
0.2823,28614
0.288,28615
0.2934,28621
0.2991,28621
0.3045,28617
0.3102,28615
0.3156,28620
0.3213,28620
0.3267,28619
0.3324,28615
0.3381,28611
0.3435,28619
0.3491,28623
0.3545,28623
0.3602,28623
0.3656,28624
0.3713,28628
0.3767,28622
0.3824,28616
0.3878,28622
0.3935,28627
0.3989,28632
0.4046,28627
0.4103,28626
0.4157,28627
0.4214,28631
0.4268,28618
0.4324,28621
0.4378,28624
0.4435,28625
0.4489,28619
0.4546,28623
0.4603,28628
0.4657,28619
0.4714,28619
0.4768,28617
0.4825,28622
0.4879,28624
0.4936,28616
0.499,28622
0.5046,28619
0.51,28630
0.5157,28633
0.5211,28627
0.5268,28627
0.5325,28621
0.5379,28626
0.5436,28623
0.549,28629
0.5547,28625
0.5601,28629
0.5657,28624
0.5712,28622
0.5769,28630
0.5823,28624
0.588,28637
0.5936,28635
0.599,28636
0.6047,28632
0.6101,28629
0.6158,28627
0.6212,28635
0.6269,28630
0.6324,28626
0.638,28632
0.6435,28629
0.6491,28641
0.6545,28640
0.6602,28643
0.6656,28638
0.6713,28636
0.6768,28633
0.6825,28630
0.6879,28629
0.6936,28640
0.699,28637
0.7047,28637
0.7101,28631
0.7158,28634
0.7212,28629
0.7269,28627
0.7323,28628
0.738,28630
0.7434,28630
0.7491,28619
0.7545,28627
0.7602,28630
0.7657,28633
0.7714,28631
0.7768,28631
0.7825,28633
0.7879,28626
0.7936,28630
0.799,28634
0.8047,28630
0.8101,28629
0.8157,28636
0.8214,28625
0.8268,28624
0.8325,28626
0.8379,28615
0.8436,28612
0.849,28609
0.8547,28607
0.8601,28609
0.8658,28616
0.8712,28599
0.8769,28601
0.8823,28606
0.8879,28603
0.8936,28612
0.899,28613
0.9047,28612
0.9101,28618
0.9158,28623
0.9212,28612
0.9269,28614
0.9323,28615
0.938,28605
0.9434,28609
0.9491,28608
0.9546,28609
0.9601,28611
0.9658,28608
0.9712,28612
0.9769,28607
0.9823,28607
0.988,28603
0.9934,28601
0.9991,28606
1.0045,28613
1.0102,28610
1.0156,28604
1.0213,28606
1.0267,28602
1.0323,28607
1.038,28594
1.0434,28603
1.0489,28598
1.0546,28602
1.06,28607
1.0657,28612
1.0711,28605
1.0768,28608
1.0824,28620
1.0878,28613
1.0935,28609
1.0989,28616
1.1045,28615
1.1102,28617
1.1156,28615
1.1213,28619
1.1268,28614
1.1324,28614
1.1381,28608
1.1435,28609
1.1492,28602
1.1546,28603
1.1602,28594
1.1659,28604
1.1713,28600
1.177,28600
1.1824,28596
1.188,28603
1.1934,28598
1.1991,28601
1.2045,28601
1.2102,28603
1.2158,28603
1.2212,28598
1.2268,28597
1.2325,28607
1.2379,28607
1.2436,28599
1.249,28602
1.2546,28600
1.2603,28602
1.2657,28599
1.2714,28599
1.2768,28605
1.2825,28604
1.2879,28604
1.2936,28609
1.299,28605
1.3047,28612
1.3101,28612
1.3158,28608
1.3212,28610
1.3269,28615
1.3323,28612
1.338,28621
1.3434,28616
1.349,28611
1.3547,28609
1.3601,28598
1.3658,28613
1.3714,28610
1.3768,28610
1.3825,28606
1.3879,28604
1.3936,28605
1.399,28610
1.4047,28608
1.4104,28614
1.4158,28602
1.4212,28610
1.4269,28606
1.4325,28591
1.4379,28599
1.4436,28597
1.449,28601
1.4547,28608
1.4601,28606
1.4658,28600
1.4712,28607
1.4769,28606
1.4825,28599
1.488,28603
1.4934,28612
1.4991,28599
1.5045,28598
1.5102,28604
1.5159,28601
1.5213,28593
1.527,28599
1.5324,28585
1.538,28599
1.5434,28599
1.5491,28592
1.5545,28607
1.5602,28597
1.5657,28595
1.5714,28605
1.5768,28596
1.5825,28607
1.5878,28600
1.5935,28602
1.5989,28608
1.6046,28591
1.6103,28586
1.6157,28597
1.6214,28600
1.6268,28599
1.6325,28590
1.6378,28584
1.6435,28595
1.6492,28585
1.6546,28591
1.6603,28592
1.6657,28598
1.6714,28591
1.6768,28590
1.6825,28594
1.6879,28586
1.6936,28589
1.699,28588
1.7047,28582
1.7101,28591
1.7158,28582
1.7212,28585
1.7268,28584
1.7325,28585
1.738,28578
1.7434,28573
1.7491,28576
1.7545,28577
1.7602,28583
1.7658,28575
1.7712,28569
1.7769,28568
1.7823,28578
1.788,28570
1.7934,28583
1.799,28577
1.8047,28584
1.8101,28575
1.8158,28578
1.8212,28582
1.8269,28576
1.8325,28573
1.8379,28581
1.8436,28579
1.8491,28581
1.8547,28575
1.8601,28580
1.8658,28577
1.8712,28567
1.8769,28564
1.8823,28568
1.888,28574
1.8934,28568
1.8991,28576
1.9045,28569
1.9102,28568
1.9156,28568
1.9213,28567
1.927,28575
1.9324,28568
1.9381,28576
1.9435,28566
1.9492,28569
1.9546,28562
1.9603,28568
1.9657,28572
1.9713,28580
1.9768,28563
1.9824,28571
1.9878,28571
1.9935,28570
1.9989,28564
2.0047,28565
2.0101,28567
2.0157,28562
2.0214,28565
2.0268,28560
2.0325,28568
2.0379,28566
2.0436,28564
2.049,28561
2.0547,28560
2.0601,28548
2.0657,28555
2.0714,28556
2.0768,28551
2.0825,28553
2.0879,28546
2.0936,28553
2.099,28550
2.1047,28548
2.1101,28545
2.1158,28549
2.1214,28562
2.1268,28547
2.1325,28542
2.1379,28553
2.1436,28552
2.149,28553
2.1547,28552
2.1601,28548
2.1658,28536
2.1712,28559
2.1769,28539
2.1823,28548
2.188,28537
2.1934,28540
2.1991,28547
2.2045,28544
2.2102,28542
2.2156,28545
2.2213,28543
2.227,28541
2.2324,28537
2.2381,28539
2.2434,28539
2.2491,28532
2.2545,28540
2.2602,28540
2.2656,28520
2.2713,28534
2.277,28534
2.2824,28532
2.2881,28536
2.2935,28519
2.2992,28531
2.3045,28531
2.3102,28523
2.3156,28529
2.3213,28522
2.3267,28522
2.3324,28525
2.3378,28529
2.3435,28515
2.3489,28521
2.3546,28514
2.3603,28517
2.3657,28508
2.3713,28505
2.3767,28505
2.3824,28511
2.3878,28498
2.3935,28505
2.3992,28513
2.4046,28512
2.4103,28510
2.4157,28514
2.4213,28518
2.4267,28517
2.4324,28502
2.4378,28508
2.4435,28508
2.4492,28495
2.4546,28493
2.4603,28504
2.4657,28494
2.4714,28490
2.4768,28493
2.4825,28495
2.4879,28494
2.4936,28501
2.499,28495
2.5046,28489
2.51,28480
2.5157,28495
2.5214,28487
2.5268,28495
2.5325,28496
2.5379,28499
2.5436,28503
2.549,28500
2.5546,28485
2.5601,28487
2.5658,28475
2.5711,28486
2.5768,28482
2.5825,28475
2.5879,28482
2.5936,28480
2.599,28488
2.6047,28496
2.6101,28487
2.6158,28476
2.6212,28476
2.6267,28475
2.6323,28478
2.638,28476
2.6434,28481
2.6491,28468
2.6545,28476
2.6602,28478
2.6656,28482
2.6713,28473
2.677,28475
2.6823,28472
2.688,28472
2.6934,28451
2.6991,28471
2.7046,28468
2.7102,28469
2.7158,28472
2.7212,28462
2.7269,28468
2.7323,28467
2.738,28465
2.7434,28461
2.7491,28451
2.7546,28463
2.7602,28451
2.7657,28463
2.7713,28460
2.7768,28449
