Experiment: Mar_9_turb3_expt vial 3, Tue Mar  9 17:54:11 2021
0,0
0.0241,0.2
4.6467,0.15
4.6632,0.2
5.1023,0.15
5.1521,0.2
5.7967,0.15
5.8132,0.2
6.3689,0.15
6.38,0.2
6.8744,0.15
6.8855,0.2
7.3967,0.15
7.4132,0.2
7.9022,0.15
7.9188,0.2
8.4855,0.15
8.5023,0.2
9.041,0.15
9.0522,0.2
9.6023,0.15
9.6244,0.2
10.1358,0.15
10.1469,0.2
10.6967,0.15
10.7135,0.2
11.2355,0.15
11.2523,0.2
11.8025,0.15
11.8191,0.2
12.3025,0.15
12.3134,0.2
12.9024,0.15
12.9135,0.2
13.1579,0.15
13.169,0.2
13.7746,0.15
13.7914,0.2
14.2468,0.15
14.2636,0.2
14.6914,0.15
14.7079,0.2
15.0636,0.15
15.0912,0.2
